Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,9.790000,9.790000,9.720000,9.720000,9.720000,300
2021-08-31,9.720000,9.720000,9.720000,9.720000,9.720000,100
2021-09-01,9.820000,9.820000,9.820000,9.820000,9.820000,100
2021-09-02,9.820000,9.820000,9.820000,9.820000,9.820000,0
2021-09-03,9.820000,9.820000,9.820000,9.820000,9.820000,100
2021-09-07,9.700000,9.820000,9.620000,9.620000,9.620000,120800
2021-09-08,9.660000,9.690000,9.650000,9.660000,9.660000,27300
2021-09-09,9.660000,9.660000,9.660000,9.660000,9.660000,0
2021-09-10,9.660000,9.660000,9.650000,9.650000,9.650000,200
2021-09-13,9.630000,9.660000,9.630000,9.660000,9.660000,3500
2021-09-14,9.650000,9.750000,9.650000,9.660000,9.660000,2719300
2021-09-15,9.710000,9.710000,9.640000,9.650000,9.650000,297600
2021-09-16,9.630000,9.750000,9.630000,9.730000,9.730000,112400
2021-09-17,9.700000,9.740000,9.700000,9.740000,9.740000,89000
2021-09-20,9.760000,9.760000,9.760000,9.760000,9.760000,100
2021-09-21,9.760000,9.760000,9.760000,9.760000,9.760000,0
2021-09-22,9.700000,9.760000,9.658000,9.760000,9.760000,60100
2021-09-23,9.770000,9.770000,9.760000,9.760000,9.760000,1400
2021-09-24,9.760000,9.760000,9.760000,9.760000,9.760000,1200
2021-09-27,9.682000,9.760000,9.670000,9.760000,9.760000,2300
2021-09-28,9.707000,9.707000,9.707000,9.707000,9.707000,100
2021-09-29,9.750000,9.750000,9.680000,9.680000,9.680000,3000
2021-09-30,9.680000,9.680000,9.680000,9.680000,9.680000,0
2021-10-01,9.700000,9.700000,9.660000,9.700000,9.700000,66300
2021-10-04,9.750000,9.750000,9.690000,9.740000,9.740000,6400
2021-10-05,9.715000,9.715000,9.715000,9.715000,9.715000,100
2021-10-06,9.715000,9.715000,9.715000,9.715000,9.715000,0
2021-10-07,9.750000,9.750000,9.700000,9.710000,9.710000,29600
2021-10-08,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-10-11,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-10-12,9.750000,9.750000,9.750000,9.750000,9.750000,100
2021-10-13,9.750000,9.750000,9.700000,9.700000,9.700000,4300
2021-10-14,9.750000,9.750000,9.700000,9.730000,9.730000,6500
2021-10-15,9.700000,9.700000,9.700000,9.700000,9.700000,236700
2021-10-18,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-10-19,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-10-20,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-10-21,9.690000,9.700000,9.690000,9.700000,9.700000,1000
2021-10-22,9.720000,9.720000,9.680000,9.720000,9.720000,158600
2021-10-25,9.740000,9.740000,9.700000,9.700000,9.700000,34400
2021-10-26,9.750000,9.750000,9.720000,9.720000,9.720000,500
2021-10-27,9.720000,9.750000,9.715000,9.730000,9.730000,8300
2021-10-28,9.730000,9.750000,9.640000,9.700000,9.700000,201900
2021-10-29,9.700000,9.708000,9.680000,9.700000,9.700000,194000
2021-11-01,9.700000,9.710000,9.680000,9.700000,9.700000,12400
2021-11-02,9.700000,9.720000,9.690000,9.700000,9.700000,265000
2021-11-03,9.690000,9.700000,9.690000,9.690000,9.690000,8900
2021-11-04,9.710000,9.720000,9.680000,9.700000,9.700000,277200
2021-11-05,9.700000,9.700000,9.690000,9.700000,9.700000,100500
2021-11-08,9.700000,9.720000,9.700000,9.720000,9.720000,51400
2021-11-09,9.720000,9.730000,9.700000,9.700000,9.700000,4300
2021-11-10,9.740000,9.740000,9.700000,9.730000,9.730000,8000
2021-11-11,9.720000,9.720000,9.715000,9.715000,9.715000,1300
2021-11-12,9.710000,9.725000,9.690000,9.690000,9.690000,28700
2021-11-15,9.690000,9.720000,9.680000,9.710000,9.710000,134000
2021-11-16,9.700000,9.710000,9.690000,9.700000,9.700000,3000
2021-11-17,9.700000,9.700000,9.700000,9.700000,9.700000,200
2021-11-18,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-11-19,9.700000,9.710000,9.690000,9.700000,9.700000,8800
2021-11-22,9.710000,9.710000,9.700000,9.700000,9.700000,4500
2021-11-23,9.700000,9.710000,9.700000,9.710000,9.710000,49200
2021-11-24,9.690000,9.710000,9.690000,9.700000,9.700000,8100
2021-11-26,9.680000,9.720000,9.680000,9.720000,9.720000,22500
2021-11-29,9.720000,9.730000,9.710000,9.730000,9.730000,5900
2021-11-30,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-12-01,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-12-02,9.730000,9.730000,9.700000,9.720000,9.720000,300
2021-12-03,9.730000,9.740000,9.710000,9.720000,9.720000,7800
2021-12-06,9.720000,9.740000,9.720000,9.730000,9.730000,3400
2021-12-07,9.700000,9.730000,9.700000,9.730000,9.730000,600
2021-12-08,9.700000,9.700000,9.700000,9.700000,9.700000,400
2021-12-09,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-12-10,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-12-13,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-12-14,9.700000,9.700000,9.700000,9.700000,9.700000,23400
2021-12-15,9.720000,9.740000,9.700000,9.730000,9.730000,274000
2021-12-16,9.740000,9.750000,9.700000,9.720000,9.720000,87500
2021-12-17,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-12-20,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-12-21,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-12-22,9.720000,9.720000,9.720000,9.720000,9.720000,40300
2021-12-23,9.690000,9.700000,9.690000,9.700000,9.700000,3700
2021-12-27,9.740000,9.740000,9.690000,9.700000,9.700000,2700
2021-12-28,9.710000,9.710000,9.700000,9.700000,9.700000,1200
2021-12-29,9.690000,9.720000,9.690000,9.720000,9.720000,5000
2021-12-30,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-12-31,9.720000,9.720000,9.720000,9.720000,9.720000,0
2022-01-03,9.720000,9.720000,9.720000,9.720000,9.720000,0
2022-01-04,9.720000,9.740000,9.720000,9.720000,9.720000,49000
2022-01-05,9.720000,9.750000,9.720000,9.720000,9.720000,17700
2022-01-06,9.720000,9.720000,9.720000,9.720000,9.720000,0
2022-01-07,9.720000,9.720000,9.720000,9.720000,9.720000,0
2022-01-10,9.720000,9.720000,9.720000,9.720000,9.720000,0
2022-01-11,9.720000,9.720000,9.720000,9.720000,9.720000,0
2022-01-12,9.700000,9.725000,9.700000,9.725000,9.725000,1100
2022-01-13,9.700000,9.700000,9.700000,9.700000,9.700000,1000
2022-01-14,9.700000,9.700000,9.700000,9.700000,9.700000,0
2022-01-18,9.700000,9.700000,9.700000,9.700000,9.700000,200
2022-01-19,9.700000,9.700000,9.700000,9.700000,9.700000,2500
2022-01-20,9.700000,9.700000,9.680000,9.680000,9.680000,2600
2022-01-21,9.680000,9.680000,9.680000,9.680000,9.680000,100
2022-01-24,9.650000,9.660000,9.650000,9.660000,9.660000,100200
2022-01-25,9.680000,9.680000,9.640000,9.640000,9.640000,8000
2022-01-26,9.640000,9.640000,9.640000,9.640000,9.640000,0
2022-01-27,9.640000,9.640000,9.640000,9.640000,9.640000,200
2022-01-28,9.620000,9.620000,9.620000,9.620000,9.620000,700
2022-01-31,9.670000,9.690000,9.650000,9.690000,9.690000,1700
2022-02-01,9.710000,9.710000,9.660000,9.670000,9.670000,12900
2022-02-02,9.670000,9.670000,9.670000,9.670000,9.670000,0
2022-02-03,9.600000,9.689000,9.600000,9.680000,9.680000,12500
2022-02-04,9.600000,9.685000,9.600000,9.680000,9.680000,1700
2022-02-07,9.620000,9.720000,9.620000,9.720000,9.720000,8400
2022-02-08,9.640000,9.720000,9.640000,9.720000,9.720000,500
2022-02-09,9.680000,9.750000,9.680000,9.750000,9.750000,400
2022-02-10,9.630000,9.717000,9.630000,9.650000,9.650000,491500
2022-02-11,9.630000,9.720000,9.630000,9.720000,9.720000,300
2022-02-14,9.630000,9.680000,9.630000,9.640000,9.640000,2600
2022-02-15,9.630000,9.710000,9.630000,9.700000,9.700000,508500
2022-02-16,9.670000,9.700000,9.650000,9.700000,9.700000,291300
2022-02-17,9.660000,9.690000,9.660000,9.690000,9.690000,1000
2022-02-18,9.640000,9.720000,9.640000,9.720000,9.720000,8500
2022-02-22,9.680000,9.720000,9.680000,9.720000,9.720000,61900
2022-02-23,9.690000,9.700000,9.680000,9.690000,9.690000,2400
2022-02-24,9.640000,9.720000,9.640000,9.720000,9.720000,313900
2022-02-25,9.730000,9.730000,9.653000,9.680000,9.680000,18900
2022-02-28,9.680000,9.680000,9.680000,9.680000,9.680000,0
2022-03-01,9.660000,9.670000,9.660000,9.660000,9.660000,1400
2022-03-02,9.660000,9.660000,9.660000,9.660000,9.660000,0
2022-03-03,9.660000,9.700000,9.660000,9.700000,9.700000,2100
2022-03-04,9.700000,9.710000,9.670000,9.710000,9.710000,3900
2022-03-07,9.660000,9.710000,9.650000,9.690000,9.690000,53900
2022-03-08,9.660000,9.690000,9.650000,9.680000,9.680000,9900
2022-03-09,9.660000,9.670000,9.660000,9.670000,9.670000,700
2022-03-10,9.670000,9.670000,9.670000,9.670000,9.670000,421700
2022-03-11,9.660000,9.670000,9.655000,9.670000,9.670000,900
2022-03-14,9.660000,9.660000,9.660000,9.660000,9.660000,300
2022-03-15,9.660000,9.710000,9.655000,9.710000,9.710000,46500
2022-03-16,9.680000,9.680000,9.660000,9.660000,9.660000,13700
2022-03-17,9.650000,9.660000,9.645000,9.650000,9.650000,140900
2022-03-18,9.670000,9.680000,9.665000,9.675000,9.675000,25400
2022-03-21,9.640000,9.690000,9.640000,9.680000,9.680000,11200
2022-03-22,9.670000,9.670000,9.670000,9.670000,9.670000,200
2022-03-23,9.680000,9.710000,9.680000,9.710000,9.710000,7400
2022-03-24,9.700000,9.700000,9.690000,9.700000,9.700000,13300
2022-03-25,9.687000,9.687000,9.670000,9.680000,9.680000,42900
2022-03-28,9.680000,9.680000,9.680000,9.680000,9.680000,0
2022-03-29,9.670000,9.670000,9.670000,9.670000,9.670000,300
2022-03-30,9.700000,9.700000,9.700000,9.700000,9.700000,300
2022-03-31,9.710000,9.710000,9.710000,9.710000,9.710000,2200
2022-04-01,9.710000,9.710000,9.670000,9.695000,9.695000,177200
2022-04-04,9.690000,9.700000,9.690000,9.690000,9.690000,13300
2022-04-05,9.690000,9.700000,9.690000,9.690000,9.690000,25800
2022-04-06,9.700000,9.700000,9.680000,9.690000,9.690000,154100
2022-04-07,9.690000,9.700000,9.690000,9.700000,9.700000,1600
2022-04-08,9.720000,9.720000,9.690000,9.690000,9.690000,7200
2022-04-11,9.690000,9.690000,9.690000,9.690000,9.690000,0
2022-04-12,9.700000,9.700000,9.700000,9.700000,9.700000,600
2022-04-13,9.730000,9.730000,9.730000,9.730000,9.730000,800
2022-04-14,9.730000,9.750000,9.730000,9.750000,9.750000,1500
2022-04-18,9.720000,9.720000,9.710000,9.720000,9.720000,10000
2022-04-19,9.730000,9.750000,9.730000,9.750000,9.750000,4300
2022-04-20,9.740000,9.740000,9.740000,9.740000,9.740000,15500
2022-04-21,9.740000,9.740000,9.740000,9.740000,9.740000,100
2022-04-22,9.740000,9.740000,9.740000,9.740000,9.740000,300
2022-04-25,9.730000,9.740000,9.730000,9.740000,9.740000,27900
2022-04-26,9.730000,9.730000,9.720000,9.720000,9.720000,21600
2022-04-27,9.720000,9.720000,9.705000,9.710000,9.710000,72500
2022-04-28,9.710000,9.720000,9.710000,9.720000,9.720000,7000
2022-04-29,9.720000,9.720000,9.720000,9.720000,9.720000,0
2022-05-02,9.710000,9.710000,9.710000,9.710000,9.710000,7200
2022-05-03,9.730000,9.730000,9.710000,9.710000,9.710000,52300
2022-05-04,9.710000,9.710000,9.710000,9.710000,9.710000,13900
2022-05-05,9.670000,9.710000,9.670000,9.710000,9.710000,166700
2022-05-06,9.700000,9.710000,9.700000,9.710000,9.710000,16600
2022-05-09,9.690000,9.700000,9.680000,9.680000,9.680000,131200
2022-05-10,9.690000,9.700000,9.680000,9.690000,9.690000,60700
2022-05-11,9.660000,9.660000,9.660000,9.660000,9.660000,2200
2022-05-12,9.660000,9.660000,9.660000,9.660000,9.660000,0
2022-05-13,9.660000,9.660000,9.660000,9.660000,9.660000,0
2022-05-16,9.690000,9.690000,9.690000,9.690000,9.690000,500
2022-05-17,9.690000,9.690000,9.690000,9.690000,9.690000,200
2022-05-18,9.690000,9.690000,9.690000,9.690000,9.690000,5900
2022-05-19,9.690000,9.690000,9.690000,9.690000,9.690000,1400
2022-05-20,9.690000,9.690000,9.670000,9.690000,9.690000,10200
2022-05-23,9.690000,9.690000,9.690000,9.690000,9.690000,0
2022-05-24,9.670000,9.670000,9.670000,9.670000,9.670000,200
2022-05-25,9.670000,9.670000,9.670000,9.670000,9.670000,7800
2022-05-26,9.670000,9.670000,9.670000,9.670000,9.670000,0
2022-05-27,9.680000,9.680000,9.670000,9.670000,9.670000,328400
2022-05-31,9.670000,9.670000,9.670000,9.670000,9.670000,0
2022-06-01,9.660000,9.660000,9.660000,9.660000,9.660000,20500
