Date,Open,High,Low,Close,Adj Close,Volume
2021-03-03,9.700000,9.890000,9.440000,9.760000,9.760000,247100
2021-03-04,9.820000,9.820000,9.620000,9.690000,9.690000,742500
2021-03-05,9.740000,9.775000,9.650000,9.760000,9.760000,66900
2021-03-08,9.820000,9.820000,9.710000,9.725000,9.725000,273300
2021-03-09,9.800000,9.920000,9.720000,9.740000,9.740000,47800
2021-03-10,9.750000,9.770000,9.710000,9.730000,9.730000,196600
2021-03-11,9.700000,9.740000,9.700000,9.740000,9.740000,835900
2021-03-12,9.700000,9.740000,9.700000,9.720000,9.720000,29700
2021-03-15,9.760000,9.760000,9.690000,9.700000,9.700000,75500
2021-03-16,9.720000,9.730000,9.710000,9.710000,9.710000,13800
2021-03-17,9.690000,9.730000,9.690000,9.700000,9.700000,17600
2021-03-18,9.700000,9.700000,9.640000,9.680000,9.680000,63700
2021-03-19,9.660000,9.680000,9.660000,9.680000,9.680000,35900
2021-03-22,9.650000,9.680000,9.650000,9.680000,9.680000,10400
2021-03-23,9.660000,9.670000,9.590000,9.640000,9.640000,176700
2021-03-24,9.675000,9.675000,9.590000,9.610000,9.610000,396500
2021-03-25,9.560000,9.600000,9.550000,9.570000,9.570000,26300
2021-03-26,9.574000,9.690000,9.550000,9.650000,9.650000,35100
2021-03-29,9.680000,9.685000,9.640000,9.660000,9.660000,319900
2021-03-30,9.650000,9.670000,9.600000,9.630000,9.630000,41400
2021-03-31,9.680000,9.680000,9.610000,9.630000,9.630000,28300
2021-04-01,9.660000,9.730000,9.660000,9.730000,9.730000,82900
2021-04-05,9.740000,9.740000,9.700000,9.700000,9.700000,87100
2021-04-06,9.680000,9.710000,9.659000,9.710000,9.710000,117300
2021-04-07,9.740000,9.740000,9.700000,9.700000,9.700000,8400
2021-04-08,9.700000,9.710000,9.660000,9.700000,9.700000,91400
2021-04-09,9.700000,9.730000,9.700000,9.720000,9.720000,82200
2021-04-12,9.730000,9.770000,9.720000,9.770000,9.770000,51700
2021-04-13,9.756000,9.760000,9.700000,9.760000,9.760000,4300
2021-04-14,9.750000,9.830000,9.740000,9.830000,9.830000,359300
2021-04-15,9.760000,9.830000,9.760000,9.830000,9.830000,197800
2021-04-16,9.830000,9.840000,9.760000,9.840000,9.840000,223700
2021-04-19,9.840000,9.840000,9.760000,9.790000,9.790000,156600
2021-04-20,9.770000,9.800000,9.700000,9.740000,9.740000,53100
2021-04-21,9.740000,9.770000,9.740000,9.770000,9.770000,23900
2021-04-22,9.735000,9.750000,9.700000,9.700000,9.700000,7300
2021-04-23,9.700000,9.750000,9.700000,9.750000,9.750000,9800
2021-04-26,9.730000,9.745000,9.700000,9.700000,9.700000,12200
2021-04-27,9.720000,9.730000,9.680000,9.700000,9.700000,229500
2021-04-28,9.720000,9.760000,9.710000,9.720000,9.720000,69100
2021-04-29,9.720000,9.770000,9.700000,9.710000,9.710000,21200
2021-04-30,9.710000,9.710000,9.650000,9.710000,9.710000,45000
2021-05-03,9.730000,9.740000,9.690000,9.700000,9.700000,35600
2021-05-04,9.710000,9.720000,9.690000,9.690000,9.690000,17200
2021-05-05,9.700000,9.708000,9.680000,9.690000,9.690000,194900
2021-05-06,9.690000,9.710000,9.680000,9.708000,9.708000,11500
2021-05-07,9.710000,9.710000,9.690000,9.690000,9.690000,3700
2021-05-10,9.710000,9.710000,9.680000,9.710000,9.710000,7100
2021-05-11,9.660000,9.700000,9.650000,9.670000,9.670000,50400
2021-05-12,9.650000,9.700000,9.650000,9.650000,9.650000,7900
2021-05-13,9.690000,9.690000,9.660000,9.690000,9.690000,5800
2021-05-14,9.700000,9.710000,9.660000,9.700000,9.700000,5700
2021-05-17,9.660000,9.720000,9.660000,9.720000,9.720000,13900
2021-05-18,9.654000,9.710000,9.654000,9.710000,9.710000,10500
2021-05-19,9.680000,9.710000,9.680000,9.710000,9.710000,1300
2021-05-20,9.700000,9.700000,9.650000,9.700000,9.700000,1300
2021-05-21,9.700000,9.720000,9.700000,9.720000,9.720000,44000
2021-05-24,9.720000,9.730000,9.670000,9.700000,9.700000,16700
2021-05-25,9.695000,9.700000,9.650000,9.650000,9.650000,20200
2021-05-26,9.650000,9.730000,9.650000,9.670000,9.670000,5500
2021-05-27,9.678000,9.690000,9.650000,9.650000,9.650000,3200
2021-05-28,9.650000,9.670000,9.650000,9.660000,9.660000,2600
2021-06-01,9.690000,9.690000,9.650000,9.680000,9.680000,4500
2021-06-02,9.680000,9.680000,9.680000,9.680000,9.680000,0
2021-06-03,9.650000,9.680000,9.650000,9.660000,9.660000,7200
2021-06-04,9.660000,9.700000,9.660000,9.700000,9.700000,600
2021-06-07,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-06-08,9.650000,9.660000,9.650000,9.650000,9.650000,4100
2021-06-09,9.690000,9.700000,9.650000,9.690000,9.690000,28900
2021-06-10,9.700000,9.700000,9.660000,9.688000,9.688000,16800
2021-06-11,9.672000,9.700000,9.670000,9.700000,9.700000,500
2021-06-14,9.690000,9.690000,9.650000,9.670000,9.670000,48500
2021-06-15,9.670000,9.680000,9.670000,9.670000,9.670000,21900
2021-06-16,9.690000,9.690000,9.645000,9.690000,9.690000,20500
2021-06-17,9.690000,9.700000,9.690000,9.690000,9.690000,6500
2021-06-18,9.640000,9.680000,9.640000,9.670000,9.670000,14000
2021-06-21,9.670000,9.670000,9.670000,9.670000,9.670000,0
2021-06-22,9.650000,9.670000,9.630000,9.660000,9.660000,26200
2021-06-23,9.670000,9.690000,9.650000,9.690000,9.690000,126500
2021-06-24,9.670000,9.700000,9.660000,9.690000,9.690000,2100
2021-06-25,9.690000,9.690000,9.690000,9.690000,9.690000,0
2021-06-28,9.670000,9.680000,9.620000,9.670000,9.670000,49800
2021-06-29,9.660000,9.680000,9.650000,9.680000,9.680000,27300
2021-06-30,9.660000,9.690000,9.660000,9.690000,9.690000,103200
2021-07-01,9.660000,9.690000,9.660000,9.680000,9.680000,39400
2021-07-02,9.660000,9.690000,9.660000,9.680000,9.680000,46900
2021-07-06,9.680000,9.680000,9.650000,9.670000,9.670000,20400
2021-07-07,9.650000,9.650000,9.650000,9.650000,9.650000,200
2021-07-08,9.650000,9.670000,9.650000,9.670000,9.670000,15400
