Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,2.030000,2.040000,1.940000,1.950000,1.950000,8400
2010-06-30,2.000000,2.000000,1.850000,1.900000,1.900000,11600
2010-07-01,1.830000,1.840000,1.580000,1.670000,1.670000,70700
2010-07-02,1.630000,1.680000,1.550000,1.550000,1.550000,32600
2010-07-06,1.550000,1.650000,1.550000,1.620000,1.620000,17500
2010-07-07,1.620000,1.740000,1.620000,1.650000,1.650000,49500
2010-07-08,1.650000,1.870000,1.620000,1.700000,1.700000,30600
2010-07-09,1.750000,1.750000,1.700000,1.700000,1.700000,20400
2010-07-12,1.700000,1.700000,1.670000,1.700000,1.700000,10400
2010-07-13,1.720000,1.800000,1.650000,1.800000,1.800000,53300
2010-07-14,1.800000,1.830000,1.750000,1.800000,1.800000,15900
2010-07-15,1.700000,1.800000,1.700000,1.800000,1.800000,3200
2010-07-16,1.710000,1.710000,1.700000,1.700000,1.700000,700
2010-07-19,1.750000,1.750000,1.700000,1.700000,1.700000,9300
2010-07-20,1.620000,1.680000,1.620000,1.660000,1.660000,6600
2010-07-21,1.680000,1.750000,1.620000,1.730000,1.730000,12800
2010-07-22,1.690000,1.720000,1.520000,1.600000,1.600000,43100
2010-07-23,1.640000,1.660000,1.550000,1.630000,1.630000,14500
2010-07-26,1.710000,1.730000,1.520000,1.580000,1.580000,31400
2010-07-27,1.580000,1.630000,1.580000,1.580000,1.580000,15000
2010-07-28,1.580000,1.640000,1.520000,1.560000,1.560000,7600
2010-07-29,1.520000,1.590000,1.500000,1.520000,1.520000,6200
2010-07-30,1.510000,1.530000,1.510000,1.520000,1.520000,7800
2010-08-02,1.590000,1.590000,1.290000,1.300000,1.300000,173500
2010-08-03,1.330000,1.400000,1.190000,1.310000,1.310000,76800
2010-08-04,1.310000,1.440000,1.310000,1.390000,1.390000,10200
2010-08-05,1.380000,1.400000,1.360000,1.360000,1.360000,5000
2010-08-06,1.360000,1.360000,1.310000,1.310000,1.310000,800
2010-08-09,1.300000,1.330000,1.250000,1.260000,1.260000,10000
2010-08-10,1.280000,1.320000,1.280000,1.300000,1.300000,8300
2010-08-11,1.320000,1.320000,1.210000,1.210000,1.210000,12100
2010-08-12,1.210000,1.290000,1.210000,1.230000,1.230000,14700
2010-08-13,1.280000,1.320000,1.280000,1.320000,1.320000,17500
2010-08-16,1.320000,1.320000,1.290000,1.290000,1.290000,9900
2010-08-17,1.240000,1.480000,1.240000,1.420000,1.420000,59700
2010-08-18,1.400000,1.450000,1.260000,1.410000,1.410000,38300
2010-08-19,1.390000,1.450000,1.390000,1.420000,1.420000,2400
2010-08-20,1.270000,1.390000,1.220000,1.270000,1.270000,43100
2010-08-23,1.270000,1.430000,1.270000,1.350000,1.350000,30400
2010-08-24,1.350000,1.350000,1.240000,1.250000,1.250000,6200
2010-08-25,1.230000,1.260000,1.220000,1.220000,1.220000,12500
2010-08-26,1.220000,1.270000,1.220000,1.230000,1.230000,2600
2010-08-27,1.230000,1.300000,1.210000,1.210000,1.210000,5600
2010-08-30,1.210000,1.300000,1.210000,1.220000,1.220000,11500
2010-08-31,1.190000,1.210000,1.130000,1.200000,1.200000,14100
2010-09-01,1.200000,1.200000,1.120000,1.200000,1.200000,19800
2010-09-02,1.170000,1.170000,1.170000,1.170000,1.170000,3500
2010-09-03,1.130000,1.280000,1.130000,1.280000,1.280000,9300
2010-09-07,1.280000,1.330000,1.150000,1.330000,1.330000,4500
2010-09-08,1.330000,1.330000,1.330000,1.330000,1.330000,300
2010-09-09,1.240000,1.330000,1.240000,1.330000,1.330000,2900
2010-09-10,1.320000,1.390000,1.290000,1.360000,1.360000,7600
2010-09-13,1.270000,1.270000,1.170000,1.210000,1.210000,7900
2010-09-14,1.280000,1.320000,1.260000,1.270000,1.270000,10400
