Date,Open,High,Low,Close,Volume
1973-02-21,0.0,3.875,3.875,3.875,22600
1973-02-22,0.0,3.875,3.875,3.875,56100
1973-02-23,0.0,3.875,3.875,3.875,42200
1973-02-26,0.0,3.75,3.75,3.75,30300
1973-02-27,0.0,3.75,3.75,3.75,16300
1973-02-28,0.0,3.75,3.75,3.75,11500
1973-03-01,0.0,4.125,4.125,4.125,40100
1973-03-02,0.0,3.75,3.75,3.75,108100
1973-03-05,0.0,3.875,3.875,3.875,13600
1973-03-06,0.0,3.625,3.625,3.625,12700
1973-03-07,0.0,3.75,3.75,3.75,14800
1973-03-08,0.0,3.875,3.875,3.875,9800
1973-03-09,0.0,3.875,3.875,3.875,17300
1973-03-12,0.0,3.75,3.75,3.75,16000
1973-03-13,0.0,3.625,3.625,3.625,32600
1973-03-14,0.0,3.5,3.5,3.5,20400
1973-03-15,0.0,3.375,3.375,3.375,57100
1973-03-16,0.0,3.375,3.375,3.375,18900
1973-03-19,0.0,3.5,3.5,3.5,10400
1973-03-20,0.0,3.5,3.5,3.5,9400
1973-03-21,0.0,3.5,3.5,3.5,5200
1973-03-22,0.0,3.5,3.5,3.5,12200
1973-03-23,0.0,3.625,3.625,3.625,14600
1973-03-26,0.0,3.75,3.75,3.75,23700
1973-03-27,0.0,3.625,3.625,3.625,7800
1973-03-28,0.0,3.625,3.625,3.625,5100
1973-03-29,0.0,3.625,3.625,3.625,20100
1973-03-30,0.0,3.625,3.625,3.625,10000
1973-04-02,0.0,3.625,3.625,3.625,22800
1973-04-03,0.0,3.625,3.625,3.625,15600
1973-04-04,0.0,3.625,3.625,3.625,8700
1973-04-05,0.0,3.75,3.75,3.75,24500
1973-04-06,0.0,3.75,3.75,3.75,14000
1973-04-09,0.0,3.75,3.75,3.75,8600
1973-04-10,0.0,3.875,3.875,3.875,10900
1973-04-11,0.0,3.875,3.875,3.875,9300
1973-04-12,0.0,3.875,3.875,3.875,26100
1973-04-13,0.0,3.875,3.875,3.875,8200
1973-04-16,0.0,3.875,3.875,3.875,7400
1973-04-17,0.0,4.0,4.0,4.0,22500
1973-04-18,0.0,4.125,4.125,4.125,28000
1973-04-19,0.0,4.125,4.125,4.125,17600
1973-04-23,0.0,4.375,4.375,4.375,33800
1973-04-24,0.0,4.75,4.75,4.75,46400
1973-04-25,0.0,4.75,4.75,4.75,59700
1973-04-26,0.0,4.625,4.625,4.625,21000
1973-04-27,0.0,4.75,4.75,4.75,24400
1973-04-30,0.0,4.75,4.75,4.75,12000
1973-05-01,0.0,4.75,4.75,4.75,12500
1973-05-02,0.0,4.625,4.625,4.625,15800
1973-05-03,0.0,4.875,4.625,4.625,24500
1973-05-04,0.0,4.75,4.625,4.625,15700
1973-05-07,0.0,4.75,4.625,4.625,9200
1973-05-08,0.0,4.875,4.625,4.625,9700
1973-05-09,0.0,5.0,4.875,4.875,16000
1973-05-10,0.0,5.25,5.0,5.0,38300
1973-05-11,0.0,5.375,5.25,5.25,30700
1973-05-14,0.0,6.25,6.0,6.0,83200
1973-05-15,0.0,5.75,5.625,5.625,99200
1973-05-16,0.0,5.5,5.25,5.25,52000
1973-05-17,0.0,5.625,5.5,5.5,25600
1973-05-18,0.0,6.375,6.125,6.125,37900
1973-05-21,0.0,6.0,5.75,5.75,71200
1973-05-22,0.0,5.625,5.375,5.375,63100
1973-05-23,0.0,5.375,5.125,5.125,22600
1973-05-24,0.0,5.0,4.75,4.75,28900
1973-05-25,0.0,4.875,4.625,4.625,33100
1973-05-29,0.0,5.625,5.375,5.375,32000
1973-05-30,0.0,6.125,5.875,5.875,27900
1973-05-31,0.0,5.75,5.5,5.5,43400
1973-06-01,0.0,5.75,5.5,5.5,41000
1973-06-04,0.0,5.625,5.375,5.375,35500
1973-06-05,0.0,5.25,5.0,5.0,37900
1973-06-06,0.0,5.125,4.875,4.875,37300
1973-06-07,0.0,5.0,4.75,4.75,35500
1973-06-08,0.0,5.125,4.875,4.875,14700
1973-06-11,0.0,5.375,5.125,5.125,20300
1973-06-12,0.0,5.375,5.125,5.125,21600
1973-06-13,0.0,5.375,5.125,5.125,16400
1973-06-14,0.0,6.0,5.75,5.75,36900
1973-06-15,0.0,5.875,5.625,5.625,26700
1973-06-18,0.0,6.0,5.75,5.75,15700
1973-06-19,0.0,5.625,5.375,5.375,25800
1973-06-20,0.0,5.75,5.5,5.5,13300
1973-06-21,0.0,6.0,5.75,5.75,20200
1973-06-22,0.0,5.625,5.375,5.375,22300
1973-06-25,0.0,6.125,5.875,5.875,31900
1973-06-26,0.0,6.125,5.875,5.875,27000
1973-06-27,0.0,6.125,5.875,5.875,24000
1973-06-28,0.0,6.0,5.75,5.75,22400
1973-06-29,0.0,6.125,5.875,5.875,25000
1973-07-02,0.0,6.25,6.0,6.0,33300
1973-07-03,0.0,6.125,5.875,5.875,54400
1973-07-05,0.0,6.25,6.0,6.0,30100
1973-07-06,0.0,6.625,6.375,6.375,74100
1973-07-09,0.0,6.625,6.375,6.375,50300
1973-07-10,0.0,6.25,6.0,6.0,48800
1973-07-11,0.0,6.25,6.0,6.0,41600
1973-07-12,0.0,6.25,6.0,6.0,23100
1973-07-13,0.0,6.375,6.125,6.125,23000
1973-07-16,0.0,6.375,6.125,6.125,17400
1973-07-17,0.0,6.625,6.375,6.375,29300
1973-07-18,0.0,6.5,6.25,6.25,23500
1973-07-19,0.0,6.25,6.0,6.0,37900
1973-07-20,0.0,6.5,6.25,6.25,16600
1973-07-23,0.0,6.5,6.25,6.25,16700
1973-07-24,0.0,6.5,6.25,6.25,23000
1973-07-25,0.0,6.5,6.25,6.25,9200
1973-07-26,0.0,6.375,6.125,6.125,13500
1973-07-27,0.0,6.375,6.125,6.125,5900
1973-07-30,0.0,6.125,5.875,5.875,18500
1973-07-31,0.0,6.25,6.0,6.0,10500
1973-08-01,0.0,6.25,6.0,6.0,13400
1973-08-02,0.0,6.125,5.875,5.875,9000
1973-08-03,0.0,6.125,5.875,5.875,5900
1973-08-06,0.0,5.75,5.5,5.5,28200
1973-08-07,0.0,5.625,5.375,5.375,15500
