Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,7.020000,7.166667,7.000000,7.080000,6.499812,5550
2010-06-30,7.126667,7.186667,6.840000,6.973333,6.401886,17250
2010-07-01,6.806667,7.146667,6.680000,6.866667,6.303961,18300
2010-07-02,6.833333,6.886667,6.666667,6.793333,6.236637,21900
2010-07-06,6.753333,7.006667,6.493333,6.520000,5.985703,41700
2010-07-07,6.600000,6.853333,6.600000,6.733333,6.181554,8250
2010-07-08,6.660000,6.693333,6.493333,6.600000,6.059147,8700
2010-07-09,6.606667,6.740000,6.606667,6.686667,6.138712,6150
2010-07-12,6.666667,6.666667,6.506667,6.513333,5.979582,7950
2010-07-13,6.680000,6.746667,6.653333,6.746667,6.193795,8850
2010-07-14,6.920000,6.986667,6.506667,6.560000,6.022425,32700
2010-07-15,6.640000,6.640000,6.600000,6.613333,6.071387,8250
2010-07-16,6.666667,6.846667,6.646667,6.680000,6.132591,21300
2010-07-19,6.860000,6.900000,6.360000,6.533333,5.997943,21600
2010-07-20,6.633333,6.646667,6.393333,6.586667,6.046907,11250
2010-07-21,6.500000,6.606667,6.500000,6.533333,5.997943,6900
2010-07-22,6.653333,6.753333,6.566667,6.586667,6.046907,1950
2010-07-23,6.733333,6.846667,6.586667,6.793333,6.236637,7050
2010-07-26,6.840000,6.893333,6.580000,6.860000,6.297841,6900
2010-07-27,6.780000,7.013333,6.740000,6.806667,6.248878,11400
2010-07-28,6.826667,6.986667,6.766667,6.853333,6.291720,10650
2010-07-29,6.886667,6.920000,6.746667,6.900000,6.334563,4650
2010-07-30,6.813333,6.973333,6.740000,6.740000,6.187675,13650
2010-08-02,6.793333,6.926667,6.793333,6.833333,6.273359,11100
2010-08-03,6.766667,6.866667,6.766667,6.846667,6.285600,4950
2010-08-04,6.500000,6.500000,5.533333,5.773333,5.300224,145650
2010-08-05,5.773333,6.000000,5.773333,5.920000,5.434871,24750
2010-08-06,6.000000,6.000000,5.953333,6.000000,5.508316,40650
2010-08-09,6.000000,6.006667,5.873333,5.940000,5.453233,12600
2010-08-10,5.926667,5.926667,5.753333,5.780000,5.306344,12300
2010-08-11,5.800000,5.880000,5.720000,5.800000,5.324706,3900
2010-08-12,5.833333,5.880000,5.746667,5.760000,5.287983,4500
2010-08-13,5.766667,5.920000,5.766667,5.840000,5.361427,5700
2010-08-16,5.813333,5.873333,5.786667,5.840000,5.361427,4200
2010-08-17,5.680000,5.940000,5.680000,5.906667,5.422631,7050
2010-08-18,5.960000,5.993333,5.880000,5.913333,5.428751,8850
2010-08-19,5.920000,5.933333,5.920000,5.933333,5.447112,1800
2010-08-20,5.986667,5.986667,5.880000,5.906667,5.422631,9750
2010-08-23,5.886667,5.960000,5.886667,5.926667,5.440992,2700
2010-08-24,5.866667,6.066667,5.833333,5.993333,5.502194,13650
2010-08-25,5.853333,5.960000,5.853333,5.960000,5.471593,4950
2010-08-26,5.940000,5.946667,5.906667,5.906667,5.422631,6150
2010-08-27,5.993333,5.993333,5.866667,5.893333,5.410389,8700
2010-08-30,5.940000,6.013333,5.940000,6.006667,5.514437,9900
2010-08-31,5.993333,5.993333,5.933333,5.933333,5.447112,7650
2010-09-01,5.933333,6.013333,5.813333,5.946667,5.459353,10650
2010-09-02,5.926667,6.000000,5.920000,5.986667,5.496075,2100
2010-09-03,6.066667,6.066667,5.913333,5.966667,5.477715,9300
2010-09-07,5.880000,5.966667,5.826667,5.826667,5.349186,7050
2010-09-08,5.926667,6.013333,5.900000,5.940000,5.453233,1650
2010-09-09,5.846667,6.000000,5.846667,6.000000,5.508316,8550
2010-09-10,5.940000,5.940000,5.940000,5.940000,5.453233,150
2010-09-13,5.980000,5.993333,5.933333,5.993333,5.502194,1800
2010-09-14,5.860000,5.986667,5.860000,5.986667,5.496075,1050
2010-09-15,5.960000,5.966667,5.893333,5.933333,5.447112,2250
2010-09-16,5.933333,6.060000,5.926667,6.060000,5.563398,5100
2010-09-17,5.980000,6.000000,5.973333,5.973333,5.483834,2100
2010-09-20,5.966667,6.006667,5.933333,5.980000,5.489954,20400
2010-09-21,5.973333,5.973333,5.933333,5.960000,5.471593,5250
2010-09-22,5.960000,6.000000,5.946667,5.946667,5.459353,6300
2010-09-23,5.973333,5.973333,5.846667,5.900000,5.416511,7350
2010-09-24,5.880000,6.066667,5.840000,5.973333,5.483834,5250
2010-09-27,6.000000,6.000000,5.966667,5.973333,5.483834,7650
2010-09-28,6.000000,6.000000,5.860000,5.920000,5.434871,23700
2010-09-29,5.893333,6.426667,5.840000,5.880000,5.398149,177300
2010-09-30,5.860000,5.953333,5.820000,5.953333,5.465473,31500
2010-10-01,5.993333,6.000000,5.866667,5.873333,5.392029,48000
2010-10-04,5.893333,5.980000,5.826667,5.833333,5.355307,18000
2010-10-05,5.766667,5.873333,5.760000,5.800000,5.324706,22200
2010-10-06,5.806667,5.860000,5.786667,5.806667,5.330826,4950
2010-10-07,5.833333,5.920000,5.793333,5.813333,5.336946,36000
2010-10-08,5.846667,5.973333,5.800000,5.813333,5.336946,76800
2010-10-11,5.826667,5.833333,5.813333,5.813333,5.336946,6300
2010-10-12,5.780000,5.833333,5.780000,5.833333,5.355307,40200
2010-10-13,5.846667,5.913333,5.820000,5.826667,5.349186,42000
2010-10-14,5.800000,5.906667,5.800000,5.853333,5.373668,27000
2010-10-15,5.833333,5.833333,5.813333,5.833333,5.355307,18750
2010-10-18,5.833333,5.833333,5.813333,5.813333,5.336946,7350
