Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,31.190001,31.510000,30.120001,30.389999,22.241087,3475800
2010-06-30,30.450001,31.379999,30.280001,30.690001,22.460640,3198600
2010-07-01,30.510000,32.160000,29.940001,31.910000,23.353502,6199600
2010-07-02,31.930000,31.980000,30.990000,31.110001,22.768026,2892300
2010-07-06,31.840000,32.750000,30.559999,30.709999,22.475275,4203000
2010-07-07,31.180000,32.939999,30.879999,32.900002,24.078043,4388100
2010-07-08,35.759998,36.369999,34.860001,35.450001,25.944275,11629000
2010-07-09,35.349998,36.130001,35.029999,36.060001,26.390713,3453800
2010-07-12,35.840000,36.590000,35.340000,35.830002,26.222378,2670100
2010-07-13,36.230000,36.650002,35.410000,36.230000,26.515120,2670100
2010-07-14,36.040001,36.099998,35.360001,35.930000,26.295570,1821900
2010-07-15,35.939999,36.139999,34.720001,35.360001,25.878407,3353200
2010-07-16,35.099998,35.189999,32.970001,33.250000,24.334190,4824200
2010-07-19,33.549999,33.990002,33.180000,33.560001,24.561069,2247400
2010-07-20,32.810001,34.590000,32.610001,34.490002,25.241692,2862200
2010-07-21,34.700001,34.900002,33.849998,34.040001,24.912359,2152100
2010-07-22,34.540001,36.099998,34.540001,35.939999,26.302881,2761500
2010-07-23,35.950001,36.959999,35.470001,36.799999,26.932276,2609200
2010-07-26,36.689999,38.240002,36.689999,38.189999,27.949549,3402700
2010-07-27,38.430000,38.799999,36.919998,37.000000,27.078648,2409200
2010-07-28,36.830002,37.150002,36.080002,36.380001,26.624899,1629600
2010-07-29,36.860001,37.130001,35.529999,36.419998,26.654175,2884800
2010-07-30,35.849998,37.080002,35.509998,36.939999,27.034746,2400600
2010-08-02,37.860001,38.919998,37.709999,38.840000,28.425261,3707600
2010-08-03,38.700001,38.830002,37.480000,38.119999,27.898321,3115900
2010-08-04,38.139999,39.049999,38.139999,38.799999,28.395985,3380400
2010-08-05,38.669998,40.310001,37.750000,39.529999,28.930239,4305400
2010-08-06,38.740002,39.189999,37.939999,39.000000,28.542360,3301200
2010-08-09,39.169998,40.169998,39.169998,39.520000,28.922928,2234800
2010-08-10,38.820000,39.169998,38.180000,38.810001,28.403309,1972500
2010-08-11,37.889999,38.410000,37.200001,37.599998,27.517765,2323900
2010-08-12,36.840000,37.790001,36.320000,37.650002,27.554356,2455500
2010-08-13,37.380001,38.169998,37.340000,37.660000,27.561682,2035100
2010-08-16,37.290001,38.200001,36.900002,37.630001,27.539719,3159000
2010-08-17,35.970001,36.389999,33.970001,35.049999,25.651527,14264000
2010-08-18,34.820000,36.160000,34.290001,35.970001,26.324842,7195800
2010-08-19,36.139999,36.619999,35.459999,35.669998,26.105280,4857800
2010-08-20,35.259998,36.529999,35.000000,36.389999,26.632215,3984700
2010-08-23,36.889999,37.150002,35.880001,36.599998,26.785900,4652000
2010-08-24,35.939999,35.980000,34.880001,35.139999,25.717396,4119000
2010-08-25,34.840000,35.810001,33.980000,35.599998,26.184448,3533800
2010-08-26,35.540001,35.549999,35.029999,35.250000,25.927021,5063700
2010-08-27,35.150002,36.029999,34.660000,35.990002,26.471306,4677700
2010-08-30,36.020000,36.060001,34.930000,35.040001,25.772551,3585800
2010-08-31,35.430000,36.029999,34.419998,34.599998,25.448936,6982600
2010-09-01,35.340000,36.820000,35.200001,36.580002,26.905256,4869200
2010-09-02,35.570000,35.779999,34.419998,35.160000,25.860821,9845700
2010-09-03,35.590000,36.250000,35.389999,35.689999,26.250647,3971400
2010-09-07,35.360001,35.419998,34.490002,34.570000,25.426870,3336700
2010-09-08,34.639999,35.000000,34.139999,34.490002,25.368027,3237700
2010-09-09,35.090000,35.240002,34.070000,34.330002,25.250338,2053700
2010-09-10,34.450001,35.090000,34.389999,34.849998,25.632813,1897300
2010-09-13,35.369999,35.930000,35.189999,35.480000,26.096184,3532400
2010-09-14,35.950001,37.160000,35.840000,36.840000,27.096487,3535400
2010-09-15,36.459999,36.869999,36.110001,36.580002,26.905256,1780000
2010-09-16,36.500000,36.779999,36.110001,36.139999,26.581635,1767400
2010-09-17,36.540001,37.000000,36.230000,36.930000,27.162691,2571200
2010-09-20,37.400002,38.189999,36.939999,38.070000,28.001188,2193200
2010-09-21,38.119999,38.119999,37.029999,37.310001,27.442188,2235900
2010-09-22,37.119999,37.180000,35.880001,36.389999,26.765514,2757500
2010-09-23,36.110001,37.119999,35.950001,36.750000,27.030296,1980600
2010-09-24,37.470001,38.810001,37.230000,38.790001,28.530746,2297800
2010-09-27,38.549999,38.889999,38.060001,38.540001,28.346876,1478500
2010-09-28,38.500000,39.259998,38.180000,39.189999,28.824970,1806300
2010-09-29,38.980000,39.700001,38.840000,39.290001,28.898510,1862200
2010-09-30,39.630001,40.169998,38.779999,39.320000,28.920570,2916900
2010-10-01,39.759998,39.980000,37.470001,37.750000,27.765818,4842200
2010-10-04,37.730000,38.090000,37.299999,37.919998,27.890844,2371800
2010-10-05,38.340000,39.119999,38.189999,38.810001,28.545471,2481000
2010-10-06,38.980000,39.549999,38.040001,38.590000,28.383654,2783300
2010-10-07,42.080002,42.770000,41.599998,42.029999,30.913832,9884000
2010-10-08,42.029999,43.099998,41.509998,42.869999,31.531662,3003600
2010-10-11,43.490002,44.740002,43.259998,43.759998,32.186279,3701300
2010-10-12,43.490002,45.240002,43.290001,45.029999,33.120384,3119900
2010-10-13,45.380001,45.450001,44.349998,44.560001,32.774700,2924100
2010-10-14,44.750000,45.509998,44.410000,44.660000,32.848240,2804700
2010-10-15,45.200001,45.700001,44.790001,45.250000,33.282200,2469800
2010-10-18,45.480000,45.750000,44.549999,45.599998,33.539635,2249800
2010-10-19,44.369999,44.700001,42.950001,43.250000,31.811165,4392300
2010-10-20,43.639999,43.799999,42.560001,42.959999,31.597860,3784500
