Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,25.309999,25.350000,25.170000,25.200001,23.588524,300300
2023-03-06,25.230000,25.235001,25.049999,25.190001,23.579161,244300
2023-03-07,25.160000,25.180000,25.100000,25.150000,23.541719,170900
2023-03-08,25.129999,25.219999,25.100000,25.209999,23.597881,223900
2023-03-09,25.190001,25.320000,25.110001,25.150000,23.541719,258200
2023-03-10,24.790001,25.049999,23.750000,24.430000,22.867762,293300
2023-03-13,24.000000,24.000000,18.600000,20.150000,18.861458,364600
2023-03-14,21.350000,23.620001,21.350000,23.100000,21.622812,129800
2023-03-15,22.370001,22.926001,20.190001,21.250000,19.891117,277100
2023-03-16,21.549999,22.620001,21.020000,21.940001,20.536991,176500
2023-03-17,21.510000,22.000000,19.730000,20.600000,19.282682,369600
2023-03-20,20.639999,21.600000,20.639999,21.290001,19.928558,170200
2023-03-21,21.719999,23.000000,21.719999,22.790001,21.332636,188000
2023-03-22,22.600000,23.620001,22.600000,23.320000,21.828743,514900
2023-03-23,23.150000,24.240000,22.780001,22.924999,21.459002,73200
2023-03-24,22.850000,23.170000,22.730000,22.969999,21.501125,76500
2023-03-27,23.200001,23.889999,23.000000,23.320000,21.828743,111100
2023-03-28,23.900000,24.000000,22.365000,22.580000,21.136065,329100
2023-03-29,22.850000,23.309999,22.290001,22.520000,21.079901,262100
2023-03-30,22.780001,23.370001,22.600000,23.230000,21.744499,123100
2023-03-31,23.420000,23.860001,23.167000,23.740000,22.221884,1210900
2023-04-03,23.809999,23.930000,23.389999,23.660000,22.147001,49400
2023-04-04,23.530001,23.660000,23.100000,23.200001,21.716417,93400
2023-04-05,23.200001,23.520000,23.000000,23.490000,21.987873,45100
2023-04-06,23.350000,23.620001,23.340000,23.440001,21.941071,30100
2023-04-10,23.350000,23.610001,22.889999,23.520000,22.015955,62700
2023-04-11,23.450001,24.570000,23.150000,23.559999,22.053394,57000
