Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,9.880000,9.880000,9.860000,9.870000,9.870000,525600
2022-06-01,9.840000,9.840000,9.840000,9.840000,9.840000,102300
2022-06-02,9.840000,9.840000,9.840000,9.840000,9.840000,200
2022-06-03,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-06-06,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-06-07,9.840000,9.840000,9.840000,9.840000,9.840000,14600
2022-06-08,9.820000,9.840000,9.820000,9.830000,9.830000,340400
2022-06-09,9.840000,9.860000,9.840000,9.840000,9.840000,191500
2022-06-10,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-06-13,9.820000,9.870000,9.820000,9.870000,9.870000,300
2022-06-14,9.850000,9.850000,9.840000,9.846000,9.846000,20700
2022-06-15,9.850000,9.850000,9.828000,9.830000,9.830000,167100
2022-06-16,9.830000,9.840000,9.810000,9.810000,9.810000,251200
2022-06-17,9.820000,9.850000,9.820000,9.850000,9.850000,345000
2022-06-21,9.850000,9.850000,9.850000,9.850000,9.850000,0
2022-06-22,9.850000,9.850000,9.810000,9.810000,9.810000,1500
2022-06-23,9.820000,9.832000,9.820000,9.820000,9.820000,163300
2022-06-24,9.840000,9.850000,9.840000,9.840000,9.840000,7800
2022-06-27,9.854000,9.861000,9.850000,9.860000,9.860000,135100
2022-06-28,9.820000,9.860000,9.820000,9.840000,9.840000,33600
2022-06-29,9.840000,9.860000,9.830000,9.850000,9.850000,49200
2022-06-30,9.840000,9.860000,9.820000,9.840000,9.840000,237700
2022-07-01,9.840000,9.860000,9.840000,9.850000,9.850000,21300
2022-07-05,9.840000,9.855000,9.835000,9.840000,9.840000,102000
2022-07-06,9.840000,9.860000,9.840000,9.860000,9.860000,7100
2022-07-07,9.860000,9.870000,9.820000,9.830000,9.830000,78900
2022-07-08,9.840000,9.850000,9.840000,9.850000,9.850000,400
2022-07-11,9.860000,9.860000,9.860000,9.860000,9.860000,13900
2022-07-12,9.860000,9.860000,9.860000,9.860000,9.860000,0
2022-07-13,9.870000,9.870000,9.870000,9.870000,9.870000,40000
2022-07-14,9.860000,9.860000,9.850000,9.850000,9.850000,7800
2022-07-15,9.870000,9.870000,9.830000,9.840000,9.840000,2600
2022-07-18,9.865000,9.880000,9.860000,9.880000,9.880000,33600
2022-07-19,9.870000,9.870000,9.870000,9.870000,9.870000,5800
2022-07-20,9.870000,9.870000,9.850000,9.850000,9.850000,27300
2022-07-21,9.850000,9.850000,9.850000,9.850000,9.850000,0
2022-07-22,9.880000,9.890000,9.875000,9.885000,9.885000,54300
2022-07-25,9.900000,9.900000,9.896000,9.896000,9.896000,47000
2022-07-26,9.880000,9.880000,9.880000,9.880000,9.880000,4500
2022-07-27,9.891000,9.910000,9.891000,9.910000,9.910000,13300
2022-07-28,9.870000,9.910000,9.870000,9.910000,9.910000,24600
2022-07-29,9.910000,9.910000,9.910000,9.910000,9.910000,0
2022-08-01,9.890000,9.910000,9.890000,9.900000,9.900000,7200
2022-08-02,9.900000,9.910000,9.900000,9.910000,9.910000,100700
2022-08-03,9.899000,9.900000,9.860000,9.860000,9.860000,24800
2022-08-04,9.900000,9.900000,9.890000,9.890000,9.890000,65800
2022-08-05,9.890000,9.890000,9.880000,9.890000,9.890000,31300
2022-08-08,9.890000,9.910000,9.890000,9.905000,9.905000,15100
2022-08-09,9.903000,9.910000,9.870000,9.890000,9.890000,5300
2022-08-10,9.890000,9.890000,9.890000,9.890000,9.890000,100
2022-08-11,9.910000,9.920000,9.910000,9.920000,9.920000,57500
2022-08-12,9.930000,9.930000,9.920000,9.920000,9.920000,19800
2022-08-15,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-08-16,9.910000,9.925000,9.910000,9.910000,9.910000,11400
2022-08-17,9.920000,9.920000,9.920000,9.920000,9.920000,200
2022-08-18,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-08-19,9.920000,9.950000,9.920000,9.950000,9.950000,9800
2022-08-22,9.930000,9.950000,9.930000,9.940000,9.940000,46900
2022-08-23,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-08-24,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-08-25,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-08-26,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-08-29,9.940000,9.940000,9.935000,9.935000,9.935000,400
2022-08-30,9.920000,9.920000,9.920000,9.920000,9.920000,300
2022-08-31,9.925000,9.925000,9.925000,9.925000,9.925000,200
2022-09-01,10.400000,10.400000,9.940000,9.950000,9.950000,2500
2022-09-02,9.950000,9.950000,9.950000,9.950000,9.950000,100
2022-09-06,9.950000,9.950000,9.950000,9.950000,9.950000,0
2022-09-07,9.950000,9.950000,9.950000,9.950000,9.950000,0
2022-09-08,9.940000,9.940000,9.940000,9.940000,9.940000,9600
2022-09-09,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-09-12,9.960000,9.960000,9.960000,9.960000,9.960000,200
2022-09-13,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-09-14,9.958000,9.980000,9.950000,9.950000,9.950000,355600
2022-09-15,9.960000,9.960000,9.960000,9.960000,9.960000,200
2022-09-16,9.970000,9.970000,9.958000,9.960000,9.960000,2000
2022-09-19,9.970000,10.000000,9.970000,9.980000,9.980000,7900
2022-09-20,9.990000,10.000000,9.990000,9.995000,9.995000,67400
2022-09-21,10.480000,10.480000,9.960000,9.960000,9.960000,820900
2022-09-22,9.960000,9.960000,9.960000,9.960000,9.960000,200
2022-09-23,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-09-26,9.970000,10.000000,9.960000,9.960000,9.960000,10600
2022-09-27,10.000000,10.000000,10.000000,10.000000,10.000000,200
2022-09-28,9.950000,9.960000,9.950000,9.950000,9.950000,5600
2022-09-29,9.950000,9.950000,9.950000,9.950000,9.950000,0
2022-09-30,9.950000,9.950000,9.950000,9.950000,9.950000,0
2022-10-03,9.950000,9.960000,9.950000,9.960000,9.960000,16100
2022-10-04,9.970000,9.970000,9.970000,9.970000,9.970000,300
2022-10-05,9.970000,9.970000,9.970000,9.970000,9.970000,0
2022-10-06,9.970000,9.970000,9.969000,9.970000,9.970000,3600
2022-10-07,9.970000,9.970000,9.970000,9.970000,9.970000,900
2022-10-10,9.980000,9.980000,9.970000,9.970000,9.970000,500
2022-10-11,9.970000,9.970000,9.970000,9.970000,9.970000,100
2022-10-12,9.970000,9.970000,9.970000,9.970000,9.970000,100
2022-10-13,9.970000,9.970000,9.970000,9.970000,9.970000,100
2022-10-14,9.980000,9.980000,9.980000,9.980000,9.980000,200
2022-10-17,10.030000,10.030000,9.980000,9.990000,9.990000,131800
2022-10-18,9.990000,10.000000,9.990000,10.000000,10.000000,300
2022-10-19,10.000000,10.000000,10.000000,10.000000,10.000000,0
2022-10-20,9.995000,10.005000,9.995000,10.000000,10.000000,32100
2022-10-21,10.010000,10.015000,10.000000,10.015000,10.015000,16000
