Date,Open,High,Low,Close,Volume
2000-09-28,15.25,15.375,15.0,15.1875,5731600
2000-09-29,15.125,15.1875,15.125,15.1875,1314100
2000-10-02,15.125,15.25,15.125,15.1875,426000
2000-10-03,15.125,15.125,12.5625,14.0,1112000
2000-10-04,14.0,14.125,13.875,14.0,151900
2000-10-05,13.9375,14.0,13.625,14.0,118300
2000-10-06,13.875,13.875,12.625,12.875,363800
2000-10-09,12.8125,14.25,12.8125,12.8125,99700
2000-10-10,12.8125,12.9375,12.8125,12.8125,85500
2000-10-11,12.875,13.0,12.8125,12.9375,91400
2000-10-12,12.9375,13.875,12.9375,13.6875,84800
2000-10-13,13.5625,13.5625,13.0625,13.125,105400
2000-10-16,13.0625,13.3125,13.0625,13.25,59700
2000-10-17,13.25,13.5,13.25,13.5,100600
2000-10-18,13.5,13.625,13.5,13.625,127900
2000-10-19,13.5625,13.75,13.5625,13.75,38600
2000-10-20,13.6875,13.875,13.6875,13.875,56600
2000-10-23,13.75,13.9375,13.75,13.9375,18800
2000-10-24,13.9375,14.625,13.9375,14.5,257500
2000-10-25,14.625,14.625,14.5,14.5,69200
2000-10-26,14.5,14.625,14.5,14.5625,24600
2000-10-27,14.5625,14.625,14.5,14.625,60900
2000-10-30,14.5,14.5,14.375,14.375,27000
2000-10-31,14.5,14.875,14.4375,14.875,42300
2000-11-01,15.0,15.375,14.9375,15.375,60900
2000-11-02,15.375,16.0,15.375,15.5625,103800
2000-11-03,15.8125,15.8125,15.125,15.5,141300
2000-11-06,15.375,15.5,15.1875,15.25,33300
2000-11-07,15.0,15.25,15.0,15.25,31600
2000-11-08,15.1875,15.25,15.1875,15.25,20100
2000-11-09,15.1875,15.25,15.125,15.25,56900
2000-11-10,15.125,15.1875,15.0625,15.0625,13400
2000-11-13,15.0625,15.125,15.0,15.0,25400
2000-11-14,15.0,15.25,15.0,15.125,74300
2000-11-15,15.0,15.25,15.0,15.1875,28600
2000-11-16,15.1875,15.375,15.1875,15.1875,33100
2000-11-17,15.0625,15.25,15.0,15.125,28700
2000-11-20,15.125,15.125,15.0,15.0625,26000
2000-11-21,15.0625,15.875,15.0625,15.375,30600
2000-11-22,15.3125,15.375,15.125,15.125,46200
2000-11-24,15.1875,15.1875,15.1875,15.1875,13100
2000-11-27,15.3125,15.3125,14.9375,15.125,115800
2000-11-28,15.0625,15.1875,15.0625,15.1875,39000
2000-11-29,15.125,15.125,14.625,14.75,87500
2000-11-30,14.6875,14.6875,14.25,14.375,44200
2000-12-01,14.25,14.25,14.0625,14.0625,9000
2000-12-04,14.0,14.125,13.875,13.875,103600
2000-12-05,14.0,14.625,13.875,14.625,82600
2000-12-06,14.625,15.0625,14.625,15.0625,90800
2000-12-07,15.0625,15.0625,14.9375,14.9375,84900
2000-12-08,14.9375,15.125,14.9375,15.0625,85200
2000-12-11,15.0625,15.1875,15.0625,15.0625,39400
2000-12-12,15.0625,15.125,15.0,15.0,229700
2000-12-13,15.25,15.375,15.1875,15.375,27300
2000-12-14,15.5,15.5625,15.4375,15.4375,22700
2000-12-15,15.4375,15.4375,15.375,15.375,3000
2000-12-18,15.25,16.0,15.25,15.75,36900
2000-12-19,15.625,15.75,15.5,15.75,67400
2000-12-20,15.75,15.75,15.5625,15.5625,38000
2000-12-21,15.5625,16.0,15.5625,15.875,49300
2000-12-22,15.875,15.875,15.875,15.875,1800
2000-12-26,15.875,16.125,15.875,16.125,14300
2000-12-27,16.125,16.6875,16.125,16.5625,60700
2000-12-28,16.5,16.5,16.3125,16.3125,41800
2000-12-29,16.3125,16.625,16.3125,16.625,39800
2001-01-02,16.625,16.625,16.4375,16.5,13400
2001-01-03,16.375,16.375,16.0625,16.0625,31000
2001-01-04,16.1875,16.375,15.875,16.25,47900
2001-01-05,16.5,17.125,16.5,17.0,13500
2001-01-08,17.0,17.0,16.0,16.0,43600
2001-01-09,16.0,16.0,15.1875,15.25,180800
2001-01-10,15.375,15.375,15.3125,15.375,20600
2001-01-11,15.375,15.625,15.375,15.625,3500
2001-01-12,15.625,17.0,15.625,17.0,71800
2001-01-16,17.0,18.5,16.75,16.75,71100
2001-01-17,16.75,16.75,16.4375,16.4375,118800
2001-01-18,16.4375,19.1875,16.4375,17.5,163800
2001-01-19,17.6875,18.0625,17.6875,17.875,124200
2001-01-22,18.0,18.25,17.6875,17.875,85500
2001-01-23,17.875,18.0,17.75,18.0,18000
2001-01-24,17.9375,18.0625,17.9375,18.0625,75900
2001-01-25,18.0,18.0,17.5,17.625,86700
2001-01-26,17.625,18.0625,17.0,17.0,67700
2001-01-29,17.0,17.0,16.399999618530273,16.399999618530273,7300
2001-01-30,16.649999618530273,17.959999084472656,16.450000762939453,17.780000686645508,90100
2001-01-31,18.0,18.25,18.0,18.0,95200
2001-02-01,18.0,18.149999618530273,18.0,18.0,30200
2001-02-02,18.200000762939453,18.200000762939453,17.799999237060547,18.0,58200
2001-02-05,17.899999618530273,18.0,17.850000381469727,18.0,17200
2001-02-06,17.899999618530273,18.299999237060547,17.809999465942383,18.049999237060547,39200
2001-02-07,18.0,18.299999237060547,17.899999618530273,17.899999618530273,20600
2001-02-08,17.850000381469727,17.899999618530273,17.700000762939453,17.700000762939453,1100
2001-02-09,17.700000762939453,18.5,17.700000762939453,18.5,102200
2001-02-12,18.700000762939453,19.239999771118164,18.700000762939453,19.200000762939453,60100
2001-02-13,19.200000762939453,19.200000762939453,19.049999237060547,19.100000381469727,92200
2001-02-14,19.0,19.100000381469727,18.920000076293945,19.0,230300
2001-02-15,18.850000381469727,19.0,18.850000381469727,18.979999542236328,106900
2001-02-16,18.8799991607666,19.0,18.780000686645508,19.0,37800
2001-02-20,19.0,19.100000381469727,18.899999618530273,19.0,36100
2001-02-21,18.899999618530273,19.0,18.799999237060547,18.799999237060547,23700
