Date,Open,High,Low,Close,Volume
1993-04-23,4.75,4.9375,4.75,4.875,64400
1993-04-26,4.8125,4.875,4.75,4.78125,25200
1993-04-27,4.71875,4.71875,4.6875,4.6875,7200
1993-04-28,4.75,4.75,4.6875,4.75,17600
1993-04-29,4.78125,4.78125,4.6875,4.6875,15200
1993-04-30,4.75,4.75,4.5,4.5,35200
1993-05-03,4.46875,4.46875,4.375,4.375,12800
1993-05-04,4.3125,4.3125,4.15625,4.1875,19200
1993-05-05,4.1875,4.21875,4.15625,4.1875,12400
1993-05-06,4.25,4.3125,4.25,4.28125,25600
1993-05-07,4.28125,4.34375,4.28125,4.28125,16800
1993-05-10,4.3125,4.3125,4.21875,4.21875,14400
1993-05-11,4.21875,4.21875,4.09375,4.125,29600
1993-05-12,4.0625,4.15625,4.0,4.15625,67200
1993-05-13,4.1875,4.5625,4.1875,4.46875,83600
1993-05-14,4.65625,4.6875,4.625,4.625,38400
1993-05-17,4.59375,4.59375,4.4375,4.46875,26800
1993-05-18,4.4375,4.46875,4.34375,4.34375,50400
1993-05-19,4.34375,4.5,4.34375,4.5,17600
1993-05-20,4.46875,4.59375,4.46875,4.59375,21600
1993-05-21,4.53125,4.5625,4.5,4.53125,19600
1993-05-24,4.46875,4.5,4.40625,4.40625,39600
1993-05-25,4.40625,4.4375,4.25,4.28125,78400
1993-05-26,4.28125,4.28125,4.25,4.25,49600
1993-05-27,4.21875,4.25,4.21875,4.25,20000
1993-05-28,4.28125,4.3125,4.28125,4.3125,88000
1993-06-01,4.34375,4.5,4.34375,4.4375,12400
1993-06-02,4.40625,4.46875,4.40625,4.4375,33200
1993-06-03,4.40625,4.4375,4.40625,4.40625,15600
1993-06-04,4.40625,4.46875,4.40625,4.46875,6800
1993-06-07,4.4375,4.4375,4.40625,4.40625,2400
1993-06-08,4.40625,4.46875,4.40625,4.46875,94400
1993-06-09,4.5,4.53125,4.46875,4.46875,46400
1993-06-10,4.4375,4.46875,4.4375,4.4375,18400
1993-06-11,4.4375,4.4375,4.4375,4.4375,2400
1993-06-14,4.4375,4.46875,4.4375,4.46875,26800
1993-06-15,4.46875,4.46875,4.46875,4.46875,113600
1993-06-16,4.5,4.53125,4.5,4.5,84800
1993-06-17,4.5,4.5,4.5,4.5,4400
1993-06-18,4.5,4.5625,4.5,4.5,29600
1993-06-21,4.5625,4.625,4.5625,4.59375,26800
1993-06-22,4.59375,4.625,4.59375,4.59375,11200
1993-06-23,4.5625,4.625,4.5625,4.59375,557600
1993-06-24,4.5625,4.59375,4.5625,4.5625,29200
1993-06-25,4.59375,4.59375,4.53125,4.53125,66000
1993-06-28,4.53125,4.5625,4.53125,4.5625,16800
1993-06-29,4.53125,4.5625,4.53125,4.53125,56400
1993-06-30,4.5625,4.625,4.5625,4.59375,31600
1993-07-01,4.59375,4.625,4.59375,4.625,9600
1993-07-02,4.625,4.6875,4.625,4.6875,16000
1993-07-06,4.65625,4.6875,4.65625,4.6875,108800
1993-07-07,4.75,4.75,4.6875,4.71875,23200
1993-07-08,4.65625,4.71875,4.65625,4.71875,14800
1993-07-09,4.65625,4.6875,4.65625,4.65625,8800
1993-07-12,4.6875,4.6875,4.65625,4.65625,8800
1993-07-13,4.625,4.625,4.46875,4.46875,36800
1993-07-14,4.46875,4.53125,4.46875,4.53125,540800
1993-07-15,4.5,4.5625,4.5,4.53125,96000
1993-07-16,4.53125,4.5625,4.53125,4.5625,34400
1993-07-19,4.59375,4.59375,4.5625,4.5625,8000
1993-07-20,4.5625,4.5625,4.5,4.5625,214400
1993-07-21,4.5625,4.59375,4.5625,4.5625,120400
1993-07-22,4.59375,4.59375,4.5625,4.5625,14800
1993-07-23,4.5625,4.625,4.5625,4.625,19600
1993-07-26,4.65625,4.6875,4.65625,4.6875,24400
1993-07-27,4.71875,4.71875,4.625,4.625,13600
1993-07-28,4.65625,4.65625,4.5625,4.5625,12800
1993-07-29,4.5625,4.625,4.5625,4.625,1600
1993-07-30,4.59375,4.65625,4.59375,4.65625,8000
1993-08-02,4.6875,4.6875,4.625,4.6875,9200
1993-08-03,4.625,4.65625,4.59375,4.65625,5200
1993-08-04,4.65625,4.65625,4.65625,4.65625,0
1993-08-05,4.625,4.65625,4.625,4.65625,4800
1993-08-06,4.59375,4.65625,4.59375,4.625,48000
1993-08-09,4.65625,4.65625,4.59375,4.625,14000
1993-08-10,4.59375,4.6875,4.59375,4.65625,8400
1993-08-11,4.65625,4.65625,4.65625,4.65625,0
1993-08-12,4.65625,4.71875,4.625,4.6875,26400
1993-08-13,4.65625,4.75,4.65625,4.75,5600
1993-08-16,4.78125,4.78125,4.71875,4.75,12800
1993-08-17,4.71875,4.75,4.6875,4.75,16800
1993-08-18,4.75,4.78125,4.71875,4.78125,13600
1993-08-19,4.75,4.75,4.6875,4.6875,18000
1993-08-20,4.65625,4.71875,4.65625,4.71875,23600
1993-08-23,4.75,4.78125,4.75,4.78125,6400
1993-08-24,4.78125,4.78125,4.6875,4.71875,24800
1993-08-25,4.71875,4.71875,4.625,4.65625,38400
1993-08-26,4.6875,4.6875,4.65625,4.6875,5200
1993-08-27,4.75,4.75,4.75,4.75,8000
1993-08-30,4.75,4.75,4.65625,4.71875,12400
1993-08-31,4.78125,4.78125,4.78125,4.78125,8800
1993-09-01,4.75,4.75,4.625,4.6875,52800
1993-09-02,4.6875,4.75,4.6875,4.6875,55600
1993-09-03,4.71875,4.75,4.65625,4.75,32800
1993-09-07,4.75,4.8125,4.75,4.78125,17200
1993-09-08,4.8125,4.84375,4.75,4.75,6800
1993-09-09,4.8125,4.84375,4.75,4.78125,112400
1993-09-10,4.8125,4.8125,4.75,4.78125,11600
1993-09-13,4.71875,4.8125,4.71875,4.8125,13600
1993-09-14,4.8125,4.8125,4.8125,4.8125,48000
1993-09-15,4.8125,4.8125,4.8125,4.8125,43200
1993-09-16,4.8125,4.8125,4.78125,4.8125,96400
1993-09-17,4.75,4.75,4.6875,4.6875,143200
1993-09-20,4.6875,4.6875,4.59375,4.59375,40400
1993-09-21,4.625,4.625,4.5625,4.625,133600
1993-09-22,4.625,4.71875,4.625,4.71875,45600
