Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,14.762516,16.046213,14.762516,16.046213,15.124168,312
2016-06-02,16.046213,16.046213,16.046213,16.046213,15.124168,0
2016-06-03,16.046213,16.046213,16.046213,16.046213,15.124168,0
2016-06-06,16.046213,16.046213,16.046213,16.046213,15.124168,0
2016-06-07,16.046213,16.046213,16.046213,16.046213,15.124168,0
2016-06-08,16.046213,16.046213,16.046213,16.046213,15.124168,0
2016-06-09,16.046213,16.046213,16.046213,16.046213,15.124168,0
2016-06-10,16.046213,16.415276,16.046213,16.415276,15.472024,6076
2016-06-13,16.174583,16.174583,16.174583,16.174583,15.245166,623
2016-06-14,16.052631,16.301668,16.052631,16.299744,15.363135,2804
2016-06-15,16.225931,16.688063,16.046213,16.688063,15.729141,2025
2016-06-16,16.367138,17.323492,16.367138,17.002567,16.025570,30381
2016-06-17,17.650833,19.910141,17.650833,18.793325,17.713427,20877
2016-06-20,18.119385,18.119385,13.697047,13.780488,12.988638,411312
2016-06-21,14.114249,14.326059,13.478819,13.799743,13.006785,290567
2016-06-22,13.658537,13.658537,13.087291,13.433890,12.661957,327803
2016-06-23,13.478819,13.703466,13.234917,13.234917,12.474416,184623
2016-06-24,12.586650,12.978177,12.400513,12.804878,12.069088,218120
2016-06-27,12.766367,12.798460,11.649551,11.874198,11.191887,334347
2016-06-28,11.887035,12.086008,11.566110,11.771502,11.095093,450574
2016-06-29,11.790757,11.996149,11.559692,11.771502,11.095093,499651
2016-06-30,11.899872,12.278562,11.720154,12.252888,11.548816,186648
2016-07-01,12.259307,12.272144,11.752246,11.867779,11.185838,77277
2016-07-05,11.931964,12.304236,11.931964,11.976893,11.288683,170445
2016-07-06,11.931964,12.227214,11.822850,12.214377,11.512520,86625
2016-07-07,12.394095,12.394095,11.919127,11.944801,11.258433,62008
2016-07-08,11.906290,12.111682,11.906290,11.970475,11.282632,56244
2016-07-11,11.906290,12.060334,11.784339,11.989730,11.300778,60762
2016-07-12,12.015404,12.240051,11.996149,12.207959,11.506470,83976
2016-07-13,12.400513,12.766367,12.272144,12.509628,11.790807,257693
2016-07-14,12.663671,13.664955,12.663671,13.536585,12.758749,115915
2016-07-15,13.498074,13.741977,13.369705,13.613607,12.831348,193659
2016-07-18,13.716303,13.876765,13.376123,13.741977,12.952338,60762
2016-07-19,13.684211,13.818999,13.530167,13.716303,12.928141,67306
2016-07-20,13.664955,13.818999,13.462773,13.684211,12.897893,39417
2016-07-21,13.786906,13.857510,13.633504,13.684211,12.897893,24305
2016-07-22,13.664955,13.684211,13.382542,13.523748,12.746652,99245
2016-07-25,13.632863,13.632863,13.401797,13.536585,12.758749,27265
2016-07-26,13.478819,13.639281,13.453145,13.600770,12.819245,16826
2016-07-27,13.446727,13.549422,13.433890,13.510911,12.734550,44559
2016-07-28,13.478819,13.639281,13.453145,13.549422,12.770850,17761
2016-07-29,13.607189,13.789474,13.568678,13.684211,12.897893,18384
2016-08-01,13.645700,13.666239,13.465982,13.465982,12.692205,22747
2016-08-02,13.491656,13.703466,13.112965,13.138639,12.383673,190232
2016-08-03,12.881900,13.119384,12.836970,12.836970,12.099339,130405
2016-08-04,13.100128,13.324775,12.901797,13.209243,12.450217,69331
2016-08-05,13.189987,13.478819,13.061617,13.478819,12.704302,55309
2016-08-08,13.305520,14.114249,13.305520,14.114249,13.303221,31472
2016-08-09,14.120668,14.326059,14.034018,14.242619,13.424213,16671
2016-08-10,14.249037,14.659820,14.249037,14.512195,13.678301,28511
2016-08-11,14.480103,14.711168,14.326059,14.415918,13.587555,19163
2016-08-12,14.364570,14.419127,14.146341,14.152760,13.339518,23370
2016-08-15,14.191271,14.191271,13.677792,13.825417,13.030987,76809
2016-08-16,13.818999,13.913992,13.600770,13.703466,12.916041,61385
2016-08-17,13.645700,13.716303,13.555841,13.658537,12.873693,36925
2016-08-18,13.709884,13.722721,13.575096,13.652118,12.867644,103295
2016-08-19,13.587933,13.793325,13.164313,13.164313,12.407871,50947
2016-08-22,13.568678,13.754814,13.543004,13.626444,12.843446,31472
2016-08-23,13.632863,13.883184,13.632863,13.703466,12.916041,57023
2016-08-24,13.697047,14.229782,13.697047,14.075738,13.266922,51258
2016-08-25,14.037227,14.534660,13.998716,14.319641,13.496811,26798
2016-08-26,14.441592,14.672657,14.441592,14.486521,13.654100,19787
2016-08-29,14.499358,14.935815,14.473684,14.813864,13.962635,36769
2016-08-30,14.813864,14.884467,14.672657,14.781772,13.932390,67461
2016-08-31,14.820282,14.820282,14.576380,14.820282,13.968686,47207
2016-09-01,14.595635,14.793967,14.595635,14.711168,13.865840,9504
2016-09-02,14.775353,14.908858,14.775353,14.852375,13.998932,24616
2016-09-06,14.993582,15.288832,14.935815,15.263158,14.386110,23370
2016-09-07,15.224647,15.288832,14.794608,14.794608,13.944483,27265
2016-09-08,15.083440,15.285623,15.083440,15.211810,14.337712,12152
2016-09-09,15.064185,15.192555,14.852375,14.852375,13.998932,10439
2016-09-12,15.070603,15.070603,14.845956,14.916560,14.059431,10127
2016-09-13,14.794608,14.903723,14.518614,14.518614,13.684350,9660
2016-09-14,14.480103,14.608472,14.287548,14.589217,13.750896,12776
2016-09-15,14.448010,14.768935,14.370988,14.473684,13.642001,31627
2016-09-16,14.435173,15.051348,14.396662,14.839538,13.986833,26486
2016-09-19,14.582798,14.762516,14.261874,14.762516,13.914236,18540
2016-09-20,14.640565,14.762516,14.482028,14.756098,13.908188,19008
2016-09-21,14.608472,14.820282,14.589217,14.730424,13.883989,14645
2016-09-22,14.858793,14.884467,14.646983,14.781772,13.932390,29290
2016-09-23,14.743261,14.833119,14.608472,14.743261,13.896090,25084
2016-09-26,14.743261,14.852375,14.736200,14.762516,13.914236,25707
2016-09-27,14.762516,15.353017,14.704750,15.340180,14.458706,12620
2016-09-28,15.256739,16.123236,15.154044,16.046213,15.124168,43001
2016-09-29,16.020538,17.246469,16.003208,16.534018,15.583946,137260
2016-09-30,16.861361,16.983313,16.534018,16.964056,15.989268,37548
2016-10-03,16.899872,16.899872,16.238768,16.476252,15.529503,19475
2016-10-04,16.482670,16.482670,15.937099,16.052631,15.130219,16671
2016-10-05,15.975610,16.424261,15.911425,15.911425,14.997128,12308
2016-10-06,16.264442,16.341463,16.091143,16.328627,15.390354,16826
2016-10-07,16.315788,16.354300,15.872914,15.872914,14.960829,10906
2016-10-10,16.078306,16.238768,16.078306,16.193838,15.263312,16982
2016-10-11,16.033377,16.129654,15.821566,15.827985,14.918484,9036
2016-10-12,15.821566,15.821566,15.596919,15.596919,14.700694,7634
2016-10-13,15.545571,15.686778,15.545571,15.558408,14.664396,5609
2016-10-14,15.654685,15.654685,15.462131,15.462131,14.573650,11529
2016-10-17,15.436457,15.442875,15.044929,15.044929,14.180421,15424
2016-10-18,15.179718,15.436457,15.064185,15.410783,14.525255,18540
2016-10-19,15.462131,15.603338,15.327343,15.404365,14.519205,32718
2016-10-20,15.417202,15.680359,15.231065,15.532734,14.640198,21812
2016-10-21,15.404365,15.546855,15.346598,15.404365,14.519205,12776
2016-10-24,15.584082,15.584082,15.308087,15.308087,14.428457,4830
2016-10-25,15.359435,15.468549,15.264442,15.320924,14.440559,24928
2016-10-26,15.205392,15.309371,14.820282,14.916560,14.059431,20566
2016-10-27,14.948652,15.050706,14.781772,14.781772,13.932390,17294
2016-10-28,14.922978,15.147625,14.884467,14.980745,14.119926,101737
2016-10-31,14.967908,15.083440,14.903723,14.903723,14.047332,88494
2016-11-01,15.154044,15.596919,15.154044,15.545571,14.652297,13866
2016-11-02,15.519897,15.676508,15.320924,15.468549,14.579700,29914
2016-11-03,15.320924,15.430039,15.320924,15.365854,14.482907,11685
2016-11-04,15.397946,15.462131,15.215661,15.243902,14.367962,12308
2016-11-07,15.410783,15.438383,15.189987,15.282413,14.404261,12931
2016-11-08,15.288832,15.404365,15.263158,15.308087,14.428457,18696
2016-11-09,15.083440,15.333761,14.837612,15.333761,14.452658,34120
2016-11-10,15.089859,15.551990,15.089859,15.513479,14.622048,10906
2016-11-11,15.320924,15.519897,15.250321,15.519897,14.628098,12308
2016-11-14,15.397946,15.397946,13.940950,14.756098,13.908188,88494
2016-11-15,14.826701,14.903723,14.634146,14.634146,13.793243,88962
2016-11-16,15.064185,15.269576,14.441592,14.441592,13.611754,16982
2016-11-17,15.109114,15.397946,15.019255,15.397946,14.513157,23370
2016-11-18,15.269576,15.346598,15.198973,15.275995,14.398212,6388
2016-11-21,15.359435,15.545571,15.320924,15.545571,14.652297,20877
2016-11-22,15.545571,16.181002,15.539153,16.039795,15.118120,33497
2016-11-23,16.046213,16.367138,15.956354,16.367138,15.426655,7167
2016-11-25,16.444159,16.739408,16.444159,16.688063,15.729141,10906
2016-11-28,17.227215,17.227215,16.702824,16.906290,15.973529,48921
2016-11-29,16.944801,16.944801,16.540436,16.797176,15.870437,27421
2016-11-30,16.797176,17.105263,16.765083,16.938383,16.003853,10283
2016-12-01,16.925547,17.240051,16.925547,17.150192,16.203976,5765
2016-12-02,17.201540,17.240051,17.002567,17.169449,16.222166,7323
2016-12-05,17.130938,17.188704,16.848524,16.919127,15.985658,17761
2016-12-06,16.925547,16.925547,16.739408,16.803595,15.876506,4830
2016-12-07,16.745829,17.015404,16.732990,16.925547,15.991725,9348
2016-12-08,16.861361,16.919127,16.591784,16.720154,15.797665,24772
2016-12-09,16.745829,16.893454,16.419127,16.482670,15.573282,17761
2016-12-12,16.437740,16.688063,16.360720,16.360720,15.458058,9192
2016-12-13,16.335045,16.758665,16.335045,16.630295,15.712759,10439
2016-12-14,16.136072,16.136072,15.519897,15.545571,14.687886,106100
2016-12-15,15.487805,15.654685,15.404365,15.654685,14.790978,24928
2016-12-16,15.667522,15.667522,15.513479,15.571245,14.712145,41599
2016-12-19,15.680359,15.680359,15.455712,15.500642,14.645437,9971
2016-12-20,15.507060,15.539153,15.404365,15.404365,14.554471,31627
2016-12-21,15.468549,15.635430,15.436457,15.629012,14.766725,23993
2016-12-22,15.436457,15.584082,15.423620,15.442875,14.590856,16359
2016-12-23,15.468549,15.629012,15.449294,15.629012,14.766725,16826
2016-12-27,15.629012,15.629012,15.462131,15.564827,14.706079,2649
2016-12-28,15.481386,15.558408,15.468549,15.539153,14.681824,12308
2016-12-29,15.474968,15.598845,15.250321,15.250321,14.408927,13399
2016-12-30,15.462131,15.641849,15.344031,15.442875,14.590856,36769
2017-01-03,15.545571,15.577664,15.417202,15.425546,14.574481,4986
2017-01-04,15.404365,15.783055,15.404365,15.709243,14.842528,25551
2017-01-05,15.718870,16.007702,15.667522,16.007702,15.124523,13087
2017-01-06,15.860077,15.860077,15.635430,15.635430,14.772788,13243
2017-01-09,15.738126,15.750963,15.574454,15.738126,14.869817,11218
2017-01-10,15.725289,15.725289,15.186136,15.397946,14.548409,56244
2017-01-11,15.301669,15.487163,15.275995,15.327343,14.481700,6855
2017-01-12,15.346598,15.898588,15.346598,15.821566,14.948653,11218
2017-01-13,15.827985,16.193838,15.783055,16.093710,15.205784,40664
2017-01-17,16.110397,16.322208,16.110397,16.245186,15.348904,16359
2017-01-18,16.161745,16.225931,16.014120,16.033377,15.148775,26486
2017-01-19,15.962773,16.071886,15.847240,15.885751,15.009299,16203
2017-01-20,15.878691,15.987163,15.763800,15.840822,14.966846,9504
2017-01-23,15.840822,15.969191,15.699615,15.763800,14.894073,18229
2017-01-24,15.982028,16.168163,15.930680,16.020538,15.136647,16203
2017-01-25,16.033377,16.456997,16.033377,16.148909,15.257938,11997
2017-01-26,16.264442,16.322208,15.975610,16.007702,15.124523,15580
2017-01-27,16.046213,16.200256,15.962773,15.975610,15.094199,26642
2017-01-30,15.917843,16.200256,15.898588,16.097561,15.209419,8569
2017-01-31,16.110397,16.200256,15.686778,15.686778,14.821302,27732
2017-02-01,16.033377,16.078306,15.712452,15.757381,14.888011,31316
2017-02-02,15.763800,15.962773,15.757381,15.962773,15.082070,5297
2017-02-03,15.898588,16.110397,15.879332,16.097561,15.209419,6544
2017-02-06,16.001284,16.001284,15.661104,15.789474,14.918333,11529
2017-02-07,15.712452,15.892169,15.661104,15.892169,15.015363,15424
2017-02-08,15.853659,16.110397,15.821566,16.078306,15.191231,11997
2017-02-09,16.065470,16.317074,16.033377,16.302954,15.403484,25395
2017-02-10,16.296534,16.989731,16.296534,16.790756,15.864368,25863
2017-02-13,16.887035,17.008986,16.790756,16.880615,15.949272,20721
2017-02-14,16.921053,16.921053,16.707317,16.829268,15.900757,7634
2017-02-15,16.880615,16.880615,16.707317,16.713736,15.791597,10594
2017-02-16,16.726574,16.896662,16.726574,16.861361,15.931079,13087
2017-02-17,16.880615,16.880615,16.681643,16.854942,15.925014,19631
2017-02-21,16.797176,16.880615,16.739408,16.790756,15.864368,5297
2017-02-22,16.777920,16.777920,16.623877,16.694481,15.773407,13710
2017-02-23,16.720154,16.885752,16.707317,16.777920,15.852242,12152
2017-02-24,16.700899,16.700899,16.386393,16.418486,15.550121,6076
2017-02-27,16.367138,16.509628,16.302954,16.335045,15.471093,4674
2017-02-28,16.290115,16.341463,16.200256,16.283697,15.422458,3895
2017-03-01,16.379974,16.585365,16.142490,16.450579,15.580513,23370
2017-03-02,16.476252,16.495506,16.238768,16.238768,15.379905,10127
2017-03-03,16.238768,16.309372,16.001284,16.187420,15.331274,30537
2017-03-06,16.065470,16.065470,15.738126,15.757381,14.923979,17294
2017-03-07,15.776637,15.915918,15.763800,15.853659,15.015163,9036
2017-03-08,15.770218,15.821566,15.657895,15.693196,14.863190,11997
2017-03-09,15.648267,16.020538,15.648267,16.020538,15.173216,12308
2017-03-10,15.924262,16.219513,15.924262,16.123236,15.270482,14645
2017-03-13,16.161745,16.367138,16.046213,16.059050,15.209693,14022
2017-03-14,15.994865,16.136072,15.994865,16.046213,15.197533,20877
2017-03-15,16.123236,16.341463,16.071886,16.277279,15.416378,25084
2017-03-16,16.174583,16.476252,16.014120,16.014120,15.167137,18696
2017-03-17,16.084724,16.418486,16.046213,16.052631,15.203611,38171
2017-03-20,16.084724,16.084724,15.763800,15.840822,15.003005,16671
2017-03-21,15.860077,15.885751,15.507060,15.513479,14.692974,18073
2017-03-22,15.584082,15.584082,15.288832,15.288832,14.480210,16982
2017-03-23,15.314506,15.629012,15.314506,15.532734,14.711212,25863
2017-03-24,15.532734,15.783055,15.532734,15.757381,14.923979,28044
2017-03-27,15.616175,15.834403,15.494223,15.783055,14.948295,22903
2017-03-28,15.738126,15.917843,15.397946,15.397946,14.583555,18540
2017-03-29,15.686778,15.834403,15.629012,15.789474,14.954374,15580
2017-03-30,15.712452,16.071886,15.712452,16.059050,15.209693,11841
2017-03-31,16.026958,16.049421,15.795892,15.815148,14.978689,12931
2017-04-03,15.840822,15.849807,15.577664,15.712452,14.881424,11841
2017-04-04,15.699615,15.905006,15.620668,15.734275,14.902095,18384
2017-04-05,15.725289,15.725289,15.532734,15.635430,14.808477,5453
2017-04-06,15.596919,15.693196,15.526316,15.693196,14.863190,8102
2017-04-07,15.551990,15.770218,15.551990,15.680359,14.851031,3895
2017-04-10,15.545571,15.853659,15.532734,15.757381,14.923979,3739
2017-04-11,15.667522,15.795892,15.667522,15.795892,14.960451,6388
2017-04-12,15.731707,15.815148,15.591142,15.654685,14.826711,5609
2017-04-13,15.590501,15.680359,15.532734,15.532734,14.711212,5297
2017-04-17,15.500642,15.834403,15.500642,15.632221,14.805439,4830
2017-04-18,15.558408,15.693196,15.518614,15.539153,14.717293,4051
2017-04-19,15.539153,15.994865,15.539153,15.994865,15.148903,9036
2017-04-20,16.046213,16.424904,16.001284,16.277279,15.416378,24928
2017-04-21,16.418486,16.681643,16.206675,16.681643,15.799356,12464
2017-04-24,16.688063,16.919127,16.688063,16.867779,15.975652,6855
2017-04-25,16.772144,16.772144,16.540436,16.668806,15.787199,15736
2017-04-26,16.681643,16.784340,16.630295,16.655970,15.775038,18073
2017-04-27,16.700899,16.874199,16.700899,16.822849,15.933094,4830
2017-04-28,16.829268,17.034660,16.732990,16.983313,16.085070,7946
2017-05-01,16.983313,17.265724,16.861361,17.143774,16.237045,21500
2017-05-02,17.175865,17.175865,17.073172,17.079590,16.176256,1714
2017-05-03,17.041079,17.041079,16.822849,16.925547,16.030357,11529
2017-05-04,17.034660,17.089216,16.790756,16.790756,15.902695,6544
2017-05-05,16.867779,17.143774,16.867779,17.143774,16.237045,18384
2017-05-08,17.227215,17.297817,17.175865,17.175865,16.267441,22903
2017-05-09,17.252888,17.286905,17.124519,17.233633,16.322151,14645
2017-05-10,17.252888,17.471117,17.060333,17.464699,16.540998,9815
2017-05-11,17.509628,17.785624,17.509628,17.586651,16.656502,11373
2017-05-12,17.618742,17.631578,17.259308,17.426188,16.504526,12776
2017-05-15,17.317074,17.471117,17.166239,17.329910,16.413340,14957
2017-05-16,17.374840,17.406933,17.105263,17.227215,16.316069,27888
2017-05-17,17.053915,17.053915,16.739408,16.771502,15.884462,11529
2017-05-18,16.726574,16.914635,16.553272,16.707317,15.823669,12620
2017-05-19,16.745829,17.368422,16.745829,17.368422,16.449814,5765
2017-05-22,17.355583,17.888317,17.189987,17.650833,16.717287,14334
2017-05-23,17.663671,17.663671,17.156610,17.362003,16.443737,9971
2017-05-24,17.374840,17.503208,17.240051,17.414635,16.493580,4051
2017-05-25,17.580231,17.580231,17.161104,17.161104,16.253460,5141
2017-05-26,17.298460,17.368422,17.137356,17.244543,16.371059,7634
2017-05-30,17.323492,17.323492,16.688063,16.867779,16.013371,16671
2017-05-31,16.848524,16.983313,16.759308,16.983313,16.123055,9971
2017-06-01,17.098845,17.197046,16.746469,16.912708,16.056025,11529
2017-06-02,16.880615,17.051991,16.880615,17.051991,16.188261,7323
2017-06-05,17.079590,17.079590,17.008986,17.041079,16.177898,4986
2017-06-06,17.021824,17.118099,16.938383,16.938383,16.080402,16203
2017-06-07,16.835045,16.912708,16.720154,16.758665,15.909791,3272
2017-06-08,16.765083,16.784340,16.652760,16.784340,15.934168,2960
2017-06-09,16.790756,17.011553,16.790756,16.960848,16.101734,2493
2017-06-12,16.912708,17.278563,16.912708,17.278563,16.403358,4518
2017-06-13,17.284981,17.367138,17.250963,17.288191,16.412493,3583
2017-06-14,17.349167,17.349167,17.105263,17.105263,16.238832,3272
2017-06-15,17.130938,17.130938,16.951220,17.118099,16.251022,5141
2017-06-16,17.073172,17.304235,16.983313,17.304235,16.427729,3116
2017-06-19,17.156610,17.259308,17.034660,17.092426,16.226648,8102
2017-06-20,16.964056,17.124519,16.964056,16.996149,16.135244,2960
2017-06-21,16.964056,17.047497,16.880615,16.922337,16.065172,5609
2017-06-22,17.034660,17.399872,17.034660,17.201540,16.330233,6699
2017-06-23,17.317074,17.317074,17.002567,17.233633,16.360697,10594
2017-06-26,17.233633,17.252888,16.976892,17.021824,16.159616,13555
2017-06-27,17.092426,17.311937,17.066111,17.207958,16.336327,3739
2017-06-28,17.207958,17.381258,17.207958,17.329910,16.452101,16982
2017-06-29,17.437740,17.437740,17.207958,17.355583,16.476471,5297
2017-06-30,17.439024,17.439024,17.252888,17.362003,16.482567,4830
2017-07-03,17.387676,17.426188,17.387676,17.426188,16.543499,779
2017-07-05,17.432606,17.528883,17.400513,17.528883,16.640991,11218
2017-07-06,17.464699,17.548140,17.394094,17.454430,16.570311,8569
