Date,Open,High,Low,Close,Adj Close,Volume
2013-01-25,27.750000,28.940001,27.500000,28.320000,28.320000,9225700
2013-01-28,28.420000,28.620001,27.900000,28.250000,28.250000,728700
2013-01-29,28.000000,28.820000,27.820000,28.750000,28.750000,387700
2013-01-30,29.000000,29.000000,28.320000,28.629999,28.629999,122300
2013-01-31,28.469999,28.620001,27.500000,28.000000,28.000000,274500
2013-02-01,28.200001,28.629999,27.799999,28.299999,28.299999,108600
2013-02-04,28.320000,28.670000,27.559999,28.040001,28.040001,194700
2013-02-05,28.080000,28.299999,27.500000,27.860001,27.860001,255800
2013-02-06,27.549999,27.650000,27.500000,27.500000,27.500000,117300
2013-02-07,27.500000,28.900000,27.500000,28.500000,28.500000,135200
2013-02-08,28.389999,29.790001,28.100000,29.500000,29.500000,99800
2013-02-11,29.309999,30.969999,29.100000,30.160000,30.160000,223800
2013-02-12,31.500000,31.500000,29.209999,29.250000,29.250000,239900
2013-02-13,29.250000,29.299999,28.889999,29.010000,29.010000,32600
2013-02-14,29.219999,29.480000,28.480000,28.700001,28.700001,55900
2013-02-15,29.700001,29.990000,28.209999,28.590000,28.590000,253400
2013-02-19,28.290001,28.969999,27.950001,28.549999,28.549999,354100
2013-02-20,28.410000,29.750000,28.320000,29.090000,29.090000,31600
2013-02-21,28.950001,28.950001,27.799999,28.350000,28.350000,124300
2013-02-22,28.350000,28.350000,28.059999,28.180000,28.180000,182000
2013-02-25,28.469999,28.469999,27.889999,28.000000,28.000000,100400
2013-02-26,28.379999,28.379999,27.969999,27.980000,27.980000,97200
2013-02-27,28.070000,28.070000,27.889999,27.969999,27.969999,59900
2013-02-28,27.980000,28.049999,27.900000,27.959999,27.959999,31400
2013-03-01,27.860001,28.020000,27.860001,27.990000,27.990000,43700
2013-03-04,27.990000,28.059999,27.959999,28.000000,28.000000,51400
2013-03-05,28.049999,29.549999,27.530001,28.350000,28.350000,236300
2013-03-06,28.350000,28.480000,27.820000,28.030001,28.030001,84300
2013-03-07,28.030001,28.250000,27.620001,27.950001,27.950001,122800
2013-03-08,27.930000,28.510000,27.660000,28.080000,28.080000,116800
2013-03-11,28.080000,29.250000,28.000000,28.990000,28.990000,210000
2013-03-12,29.139999,30.879999,28.770000,30.559999,30.559999,170800
2013-03-13,30.740000,31.430000,29.440001,30.000000,30.000000,202800
2013-03-14,30.500000,33.490002,30.139999,33.040001,33.040001,515500
2013-03-15,33.090000,33.380001,32.040001,32.150002,32.150002,430500
2013-03-18,32.110001,33.849998,31.549999,32.790001,32.790001,228100
2013-03-19,32.900002,33.950001,32.340000,33.669998,33.669998,54900
2013-03-20,33.910000,35.130001,33.910000,34.759998,34.759998,86000
2013-03-21,33.250000,36.189999,32.889999,35.509998,35.509998,418100
