Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,22.900000,22.900000,22.290001,22.680000,7.730794,107200
2010-06-30,22.760000,22.760000,22.379999,22.430000,7.645576,132900
2010-07-01,22.350000,22.410000,21.670000,21.719999,7.403565,168600
2010-07-02,21.750000,21.969999,21.170000,21.400000,7.294485,187700
2010-07-06,21.549999,21.940001,21.510000,21.879999,7.458107,138100
2010-07-07,21.930000,22.719999,21.719999,22.719999,7.744427,113800
2010-07-08,22.770000,23.250000,22.680000,23.230000,7.918267,137200
2010-07-09,23.120001,23.590000,23.080000,23.459999,7.996668,57300
2010-07-12,23.549999,23.680000,23.139999,23.350000,7.959174,85000
2010-07-13,23.549999,23.620001,23.410000,23.620001,8.051208,77200
2010-07-14,23.540001,23.629999,23.260000,23.299999,7.942132,60400
2010-07-15,23.299999,23.430000,23.110001,23.400000,7.976219,71800
2010-07-16,23.209999,23.290001,22.500000,22.660000,7.723976,103100
2010-07-19,22.700001,22.900000,22.400000,22.469999,7.659212,69400
2010-07-20,22.340000,22.900000,22.290001,22.889999,7.802372,93600
2010-07-21,22.980000,23.150000,22.750000,22.830000,7.781928,62000
2010-07-22,23.200001,23.500000,23.160000,23.440001,7.989855,87800
2010-07-23,23.270000,23.459999,23.150000,23.440001,7.989855,65700
2010-07-26,23.430000,23.799999,23.379999,23.790001,8.109156,60200
2010-07-27,24.000000,24.000000,23.590000,23.700001,8.078478,52500
2010-07-28,23.530001,23.620001,23.180000,23.330000,7.952353,51400
2010-07-29,23.400000,23.629999,23.280001,23.600000,8.044393,64600
2010-07-30,23.370001,23.580000,23.299999,23.430000,7.986442,57100
2010-08-02,23.709999,24.240000,23.650000,23.900000,8.146650,89500
2010-08-03,23.900000,24.100000,23.650000,23.820000,8.119378,74800
2010-08-04,24.010000,24.190001,23.870001,24.160000,8.235272,46800
2010-08-05,23.969999,24.170000,23.969999,24.170000,8.238678,51000
2010-08-06,23.959999,24.230000,23.860001,24.030001,8.190963,57900
2010-08-09,24.059999,24.150000,23.930000,24.049999,8.197775,71700
2010-08-10,24.000000,24.100000,23.709999,24.040001,8.194368,72900
2010-08-11,23.719999,23.719999,23.150000,23.209999,7.911452,67600
2010-08-12,23.020000,23.430000,23.020000,23.330000,7.952353,54400
2010-08-13,23.180000,23.469999,23.180000,23.280001,7.935314,61100
2010-08-16,23.340000,23.629999,23.150000,23.480000,8.003483,68400
2010-08-17,23.520000,23.879999,23.520000,23.760000,8.098926,57100
2010-08-18,23.700001,23.969999,23.500000,23.840000,8.126199,52800
2010-08-19,23.620001,23.790001,23.530001,23.650000,8.061435,69800
2010-08-20,23.530001,23.700001,23.350000,23.660000,8.064841,104700
2010-08-23,23.639999,23.750000,23.340000,23.360001,7.962581,63300
2010-08-24,23.000000,23.299999,22.850000,23.230000,7.918267,133300
2010-08-25,23.150000,23.190001,22.639999,22.980000,7.833055,109400
2010-08-26,23.139999,23.150000,22.450001,22.570000,7.693299,100600
2010-08-27,22.690001,22.930000,22.200001,22.920000,7.812599,89300
2010-08-30,22.920000,22.969999,22.600000,22.660000,7.723976,52300
2010-08-31,22.530001,22.830000,22.510000,22.700001,7.737612,47900
2010-09-01,22.950001,23.299999,22.900000,23.299999,7.942132,67900
2010-09-02,23.209999,23.740000,23.170000,23.740000,8.092108,76000
2010-09-03,23.840000,23.900000,23.610001,23.690001,8.075068,39400
2010-09-07,23.620001,23.700001,23.440001,23.530001,8.020529,51700
2010-09-08,23.480000,23.770000,23.480000,23.740000,8.092108,68600
2010-09-09,23.879999,23.990000,23.790001,23.910000,8.150055,78600
2010-09-10,23.969999,24.400000,23.850000,24.400000,8.317080,90400
2010-09-13,24.110001,24.120001,23.850000,23.889999,8.280684,75000
2010-09-14,23.940001,23.990000,23.750000,23.840000,8.263350,46600
2010-09-15,24.010000,24.010000,23.639999,23.950001,8.301484,51500
2010-09-16,23.860001,24.100000,23.850000,24.010000,8.322279,38800
2010-09-17,24.070000,24.100000,23.809999,23.900000,8.284152,50800
2010-09-20,23.860001,24.090000,23.860001,23.969999,8.308415,96300
2010-09-21,23.959999,24.000000,23.770000,23.930000,8.294546,120400
2010-09-22,23.840000,24.020000,23.629999,23.650000,8.197497,75400
2010-09-23,23.549999,23.980000,23.500000,23.760000,8.235624,149700
