Date,Open,High,Low,Close,Adj Close,Volume
2021-11-30,9.800000,9.800000,9.780000,9.780000,9.780000,1300
2021-12-01,9.750000,9.880000,9.720000,9.720000,9.720000,4500
2021-12-02,9.720000,9.760000,9.720000,9.750000,9.750000,41700
2021-12-03,9.750000,9.750000,9.750000,9.750000,9.750000,100
2021-12-06,9.730000,9.730000,9.730000,9.730000,9.730000,100
2021-12-07,9.730000,9.730000,9.730000,9.730000,9.730000,450000
2021-12-08,9.730000,9.730000,9.730000,9.730000,9.730000,100
2021-12-09,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-12-10,9.800000,9.800000,9.710000,9.710000,9.710000,25200
2021-12-13,9.710000,9.710000,9.710000,9.710000,9.710000,300
2021-12-14,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-12-15,9.710000,9.710000,9.710000,9.710000,9.710000,1400
2021-12-16,9.750000,9.750000,9.720000,9.740000,9.740000,16800
2021-12-17,9.740000,9.740000,9.740000,9.740000,9.740000,1000
2021-12-20,9.750000,9.750000,9.750000,9.750000,9.750000,10000
2021-12-21,9.750000,9.750000,9.750000,9.750000,9.750000,19600
2021-12-22,9.750000,9.750000,9.750000,9.750000,9.750000,0
2021-12-23,9.754000,9.755000,9.720000,9.720000,9.720000,3600
2021-12-27,9.760000,9.772000,9.740000,9.740000,9.740000,23800
2021-12-28,9.820000,9.820000,9.770000,9.800000,9.800000,40400
2021-12-29,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-12-30,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-12-31,9.800000,9.800000,9.800000,9.800000,9.800000,0
2022-01-03,9.800000,9.800000,9.800000,9.800000,9.800000,0
2022-01-04,9.800000,9.800000,9.800000,9.800000,9.800000,0
2022-01-05,9.800000,10.260000,9.790000,9.790000,9.790000,19600
2022-01-06,9.800000,9.800000,9.800000,9.800000,9.800000,600
2022-01-07,9.790000,9.800000,9.740000,9.800000,9.800000,135900
2022-01-10,10.350000,10.350000,9.780000,9.780000,9.780000,3300
2022-01-11,9.810000,9.810000,9.770000,9.770000,9.770000,700
2022-01-12,9.770000,9.770000,9.770000,9.770000,9.770000,0
2022-01-13,9.760000,9.760000,9.760000,9.760000,9.760000,300
2022-01-14,10.160000,10.160000,9.740000,9.740000,9.740000,15200
2022-01-18,9.750000,9.750000,9.750000,9.750000,9.750000,100
2022-01-19,9.750000,9.750000,9.750000,9.750000,9.750000,0
2022-01-20,9.750000,9.750000,9.750000,9.750000,9.750000,0
2022-01-21,9.750000,9.750000,9.750000,9.750000,9.750000,0
2022-01-24,9.750000,9.750000,9.750000,9.750000,9.750000,0
2022-01-25,9.750000,9.750000,9.750000,9.750000,9.750000,0
2022-01-26,9.810000,9.810000,9.810000,9.810000,9.810000,25200
2022-01-27,9.810000,9.810000,9.810000,9.810000,9.810000,0
2022-01-28,9.810000,9.810000,9.810000,9.810000,9.810000,0
2022-01-31,9.810000,9.810000,9.810000,9.810000,9.810000,0
2022-02-01,9.940000,9.940000,9.940000,9.940000,9.940000,4600
2022-02-02,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-02-03,9.770000,9.890000,9.770000,9.890000,9.890000,200
2022-02-04,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-02-07,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-02-08,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-02-09,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-02-10,9.890000,9.890000,9.890000,9.890000,9.890000,90000
2022-02-11,9.805000,10.260000,9.740000,9.820000,9.820000,43500
2022-02-14,9.820000,9.820000,9.820000,9.820000,9.820000,0
2022-02-15,9.820000,9.820000,9.820000,9.820000,9.820000,0
2022-02-16,9.820000,9.820000,9.820000,9.820000,9.820000,0
2022-02-17,9.820000,9.820000,9.820000,9.820000,9.820000,0
2022-02-18,9.810000,9.810000,9.810000,9.810000,9.810000,200
2022-02-22,9.800000,9.800000,9.800000,9.800000,9.800000,1800
2022-02-23,9.800000,9.800000,9.800000,9.800000,9.800000,0
2022-02-24,9.790000,9.790000,9.790000,9.790000,9.790000,6000
2022-02-25,9.790000,9.790000,9.790000,9.790000,9.790000,0
2022-02-28,9.780000,9.790000,9.780000,9.790000,9.790000,20500
2022-03-01,9.790000,9.790000,9.790000,9.790000,9.790000,0
2022-03-02,9.790000,9.790000,9.790000,9.790000,9.790000,0
2022-03-03,9.790000,9.790000,9.790000,9.790000,9.790000,0
2022-03-04,9.790000,9.790000,9.790000,9.790000,9.790000,0
2022-03-07,9.820000,9.820000,9.820000,9.820000,9.820000,600
2022-03-08,9.820000,9.820000,9.820000,9.820000,9.820000,500
2022-03-09,9.820000,9.820000,9.820000,9.820000,9.820000,0
2022-03-10,9.820000,9.820000,9.820000,9.820000,9.820000,0
2022-03-11,9.810000,9.810000,9.810000,9.810000,9.810000,200
2022-03-14,9.840000,9.850000,9.840000,9.840000,9.840000,329600
2022-03-15,9.830000,9.840000,9.830000,9.840000,9.840000,34600
2022-03-16,9.840000,9.840000,9.840000,9.840000,9.840000,200
2022-03-17,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-03-18,9.850000,9.870000,9.850000,9.870000,9.870000,7100
2022-03-21,9.840000,9.840000,9.840000,9.840000,9.840000,5300
2022-03-22,9.880000,9.880000,9.840000,9.860000,9.860000,4300
2022-03-23,9.840000,9.840000,9.840000,9.840000,9.840000,70900
2022-03-24,9.860000,9.860000,9.860000,9.860000,9.860000,3400
2022-03-25,9.860000,9.860000,9.860000,9.860000,9.860000,0
2022-03-28,9.860000,9.860000,9.860000,9.860000,9.860000,0
2022-03-29,9.840000,9.840000,9.840000,9.840000,9.840000,200
2022-03-30,9.850000,9.850000,9.850000,9.850000,9.850000,19700
2022-03-31,9.850000,9.850000,9.850000,9.850000,9.850000,0
2022-04-01,9.850000,9.850000,9.850000,9.850000,9.850000,0
2022-04-04,9.880000,9.880000,9.880000,9.880000,9.880000,200
2022-04-05,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-04-06,9.850000,9.850000,9.850000,9.850000,9.850000,760200
2022-04-07,9.850000,9.850000,9.850000,9.850000,9.850000,0
2022-04-08,9.840000,9.840000,9.840000,9.840000,9.840000,500
2022-04-11,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-04-12,9.840000,9.840000,9.840000,9.840000,9.840000,800
2022-04-13,9.840000,9.840000,9.840000,9.840000,9.840000,310000
2022-04-14,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-04-18,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-04-19,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-04-20,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-04-21,9.870000,9.870000,9.840000,9.840000,9.840000,102700
2022-04-22,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-04-25,9.920000,9.920000,9.920000,9.920000,9.920000,200
2022-04-26,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-04-27,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-04-28,9.870000,9.870000,9.870000,9.870000,9.870000,300
