Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,19.450001,19.590000,18.740000,18.809999,18.809999,899100
2010-06-30,18.740000,19.139999,18.660000,18.959999,18.959999,694500
2010-07-01,18.879999,18.879999,18.270000,18.299999,18.299999,1135700
2010-07-02,18.350000,18.670000,18.200001,18.370001,18.370001,438000
2010-07-06,18.580000,18.770000,18.110001,18.240000,18.240000,448900
2010-07-07,18.240000,18.620001,18.040001,18.610001,18.610001,473100
2010-07-08,18.680000,19.059999,18.309999,19.059999,19.059999,947200
2010-07-09,18.990000,19.139999,18.940001,19.049999,19.049999,256800
2010-07-12,19.010000,19.309999,18.740000,18.850000,18.850000,182900
2010-07-13,19.000000,19.330000,18.910000,19.309999,19.309999,615300
2010-07-14,19.379999,19.379999,19.100000,19.250000,19.250000,429800
2010-07-15,19.180000,19.700001,19.100000,19.680000,19.680000,738300
2010-07-16,19.709999,19.860001,19.000000,19.180000,19.180000,1145700
2010-07-19,19.250000,19.290001,18.870001,19.150000,19.150000,247600
2010-07-20,18.959999,19.600000,18.520000,19.510000,19.510000,611400
2010-07-21,19.670000,19.879999,19.280001,19.360001,19.360001,530300
2010-07-22,19.559999,19.879999,19.230000,19.379999,19.379999,345600
2010-07-23,19.299999,20.100000,19.049999,20.000000,20.000000,778200
2010-07-26,20.090000,21.129999,20.010000,21.000000,21.000000,3163600
2010-07-27,20.980000,21.469999,20.910000,21.379999,21.379999,1364800
2010-07-28,21.260000,21.469999,20.790001,20.850000,20.850000,624800
2010-07-29,21.020000,21.260000,20.580000,21.260000,21.260000,1330500
2010-07-30,21.100000,22.059999,21.000000,21.850000,21.850000,1665200
2010-08-02,22.090000,22.200001,21.840000,21.980000,21.980000,1147300
2010-08-03,21.000000,21.830000,20.750000,21.490000,21.490000,1284700
2010-08-04,21.410000,21.730000,21.200001,21.430000,21.430000,1049400
2010-08-05,21.180000,21.450001,21.090000,21.360001,21.360001,580200
2010-08-06,21.150000,21.549999,21.070000,21.540001,21.540001,659800
2010-08-09,21.670000,21.840000,21.389999,21.610001,21.610001,458200
2010-08-10,21.290001,21.400000,20.830000,20.980000,20.980000,615800
2010-08-11,20.709999,20.750000,20.400000,20.500000,20.500000,555400
2010-08-12,20.129999,20.959999,20.129999,20.790001,20.790001,638100
2010-08-13,20.760000,20.840000,20.340000,20.350000,20.350000,421500
2010-08-16,20.280001,20.450001,20.059999,20.350000,20.350000,499900
2010-08-17,20.450001,20.750000,20.330000,20.520000,20.520000,353800
2010-08-18,20.430000,20.690001,20.410000,20.549999,20.549999,482700
2010-08-19,20.450001,20.680000,20.360001,20.620001,20.620001,626800
2010-08-20,20.650000,20.680000,20.500000,20.620001,20.620001,802700
2010-08-23,20.780001,21.000000,20.280001,20.299999,20.299999,406200
2010-08-24,20.150000,20.200001,19.950001,20.000000,20.000000,661000
2010-08-25,19.959999,20.450001,19.889999,20.389999,20.389999,419800
2010-08-26,20.520000,20.610001,20.150000,20.219999,20.219999,846300
2010-08-27,20.469999,20.790001,20.059999,20.770000,20.770000,458300
2010-08-30,20.830000,20.990000,20.450001,20.490000,20.490000,417900
2010-08-31,20.350000,20.600000,20.129999,20.290001,20.290001,1018900
2010-09-01,21.000000,21.059999,20.629999,20.930000,20.930000,890200
2010-09-02,20.889999,21.320000,20.809999,21.290001,21.290001,739600
2010-09-03,21.410000,21.750000,21.410000,21.500000,21.500000,411800
2010-09-07,21.480000,21.650000,21.360001,21.580000,21.580000,471100
2010-09-08,21.700001,22.480000,21.540001,22.480000,22.480000,793900
2010-09-09,22.750000,22.790001,22.379999,22.620001,22.620001,597700
2010-09-10,22.700001,22.879999,22.379999,22.700001,22.700001,988100
2010-09-13,22.790001,22.950001,22.639999,22.700001,22.700001,463700
2010-09-14,22.559999,22.730000,22.209999,22.309999,22.309999,1239300
2010-09-15,22.260000,22.590000,21.959999,22.580000,22.580000,793300
2010-09-16,22.480000,23.100000,22.370001,22.690001,22.690001,1761600
2010-09-17,22.780001,23.110001,22.660000,22.990000,22.990000,496900
2010-09-20,22.900000,23.250000,22.840000,23.049999,23.049999,371600
2010-09-21,22.990000,23.260000,22.879999,23.090000,23.090000,666500
2010-09-22,23.120001,23.280001,22.610001,22.700001,22.700001,847000
2010-09-23,22.540001,22.790001,22.299999,22.350000,22.350000,799800
2010-09-24,22.690001,22.690001,22.309999,22.400000,22.400000,986200
2010-09-27,22.370001,22.480000,22.200001,22.309999,22.309999,975000
2010-09-28,22.240000,22.530001,21.889999,22.280001,22.280001,1629300
2010-09-29,22.139999,22.600000,22.070000,22.360001,22.360001,490800
2010-09-30,22.350000,22.549999,22.040001,22.350000,22.350000,646400
2010-10-01,22.440001,22.530001,22.100000,22.400000,22.400000,540400
2010-10-04,22.389999,22.440001,22.090000,22.190001,22.190001,944700
2010-10-05,22.309999,22.520000,22.309999,22.400000,22.400000,791200
2010-10-06,22.270000,22.400000,21.780001,21.830000,21.830000,985600
2010-10-07,21.879999,22.010000,21.610001,21.860001,21.860001,535700
2010-10-08,21.920000,22.150000,21.860001,21.870001,21.870001,807100
2010-10-11,21.870001,22.010000,21.770000,21.820000,21.820000,527800
2010-10-12,22.040001,22.100000,21.719999,21.920000,21.920000,1744300
2010-10-13,22.120001,22.190001,21.930000,21.969999,21.969999,1541500
2010-10-14,21.969999,22.030001,21.700001,21.850000,21.850000,495400
2010-10-15,22.030001,22.160000,21.760000,21.969999,21.969999,564900
2010-10-18,21.879999,22.160000,21.809999,22.120001,22.120001,627300
2010-10-19,21.719999,22.230000,21.700001,22.150000,22.150000,3056200
2010-10-20,22.090000,23.200001,22.030001,23.030001,23.030001,2967800
2010-10-21,23.150000,23.650000,22.990000,23.260000,23.260000,1371300
2010-10-22,23.200001,23.840000,23.200001,23.770000,23.770000,885900
2010-10-25,23.879999,24.480000,23.820000,24.299999,24.299999,1287100
2010-10-26,24.160000,24.580000,24.000000,24.299999,24.299999,943500
2010-10-27,24.090000,24.549999,24.080000,24.290001,24.290001,895600
2010-10-28,24.290001,24.730000,24.209999,24.620001,24.620001,807000
2010-10-29,24.820000,26.170000,24.680000,26.110001,26.110001,1907900
2010-11-01,25.760000,25.900000,25.450001,25.600000,25.600000,2501800
2010-11-02,25.719999,25.799999,25.490000,25.639999,25.639999,984100
2010-11-03,25.549999,25.780001,25.030001,25.440001,25.440001,950300
2010-11-04,25.809999,25.980000,25.700001,25.900000,25.900000,972500
2010-11-05,25.850000,25.870001,25.580000,25.709999,25.709999,581500
2010-11-08,25.559999,25.900000,25.530001,25.740000,25.740000,480000
2010-11-09,25.740000,25.799999,25.080000,25.139999,25.139999,904900
2010-11-10,25.010000,25.320000,24.590000,25.320000,25.320000,1888800
2010-11-11,25.020000,25.480000,24.950001,25.330000,25.330000,936200
2010-11-12,25.250000,25.420000,24.889999,25.090000,25.090000,474400
2010-11-15,25.209999,25.760000,25.170000,25.549999,25.549999,753000
2010-11-16,25.309999,25.490000,24.830000,25.070000,25.070000,1108500
2010-11-17,24.950001,25.809999,24.950001,25.629999,25.629999,1175000
2010-11-18,25.799999,26.080000,25.660000,25.790001,25.790001,774500
2010-11-19,25.680000,26.580000,25.650000,26.420000,26.420000,974300
2010-11-22,26.250000,26.990000,26.250000,26.950001,26.950001,917200
2010-11-23,26.830000,27.450001,26.570000,26.719999,26.719999,1400700
2010-11-24,26.830000,27.540001,26.830000,27.520000,27.520000,766600
2010-11-26,27.260000,27.549999,27.209999,27.520000,27.520000,145700
2010-11-29,27.270000,27.540001,26.930000,27.490000,27.490000,645300
2010-11-30,27.309999,27.309999,26.830000,27.080000,27.080000,1500100
2010-12-01,27.280001,27.350000,26.969999,27.150000,27.150000,1162600
2010-12-02,26.420000,27.180000,26.420000,27.110001,27.110001,791600
2010-12-03,27.000000,27.430000,26.840000,27.400000,27.400000,504700
2010-12-06,27.299999,27.430000,27.160000,27.309999,27.309999,837300
2010-12-07,27.400000,27.690001,27.170000,27.260000,27.260000,844900
2010-12-08,27.160000,27.340000,26.940001,26.959999,26.959999,701700
2010-12-09,27.080000,27.260000,26.860001,27.090000,27.090000,413000
2010-12-10,27.040001,27.469999,26.959999,27.260000,27.260000,310400
2010-12-13,27.400000,27.760000,26.930000,27.180000,27.180000,1254900
2010-12-14,27.250000,27.350000,27.070000,27.100000,27.100000,478600
2010-12-15,26.940001,27.270000,26.660000,26.690001,26.690001,975400
2010-12-16,26.820000,27.110001,26.469999,26.600000,26.600000,1018500
2010-12-17,26.700001,27.549999,26.400000,27.260000,27.260000,1044800
2010-12-20,27.350000,28.040001,27.260000,27.889999,27.889999,1018400
2010-12-21,27.950001,28.280001,27.860001,28.219999,28.219999,827900
2010-12-22,28.150000,28.350000,28.080000,28.250000,28.250000,462600
2010-12-23,28.100000,28.270000,27.809999,27.980000,27.980000,594700
2010-12-27,27.870001,27.870001,27.490000,27.660000,27.660000,443900
2010-12-28,27.650000,27.650000,27.420000,27.459999,27.459999,441900
2010-12-29,27.500000,27.500000,27.260000,27.260000,27.260000,158700
2010-12-30,27.250000,27.370001,27.120001,27.170000,27.170000,467700
2010-12-31,27.270000,27.320000,26.840000,26.930000,26.930000,276900
2011-01-03,27.010000,27.250000,26.549999,26.610001,26.610001,934200
2011-01-04,26.629999,27.020000,26.400000,26.450001,26.450001,1343500
2011-01-05,26.309999,26.980000,26.299999,26.770000,26.770000,658400
2011-01-06,26.799999,27.000000,26.540001,26.940001,26.940001,555000
2011-01-07,26.910000,27.040001,26.820000,26.930000,26.930000,706800
2011-01-10,26.850000,27.240000,26.770000,27.000000,27.000000,568200
2011-01-11,27.049999,27.230000,26.700001,26.760000,26.760000,697300
2011-01-12,26.870001,26.900000,26.230000,26.530001,26.530001,452500
2011-01-13,26.389999,26.590000,26.240000,26.590000,26.590000,435200
2011-01-14,26.469999,26.650000,26.389999,26.590000,26.590000,350800
2011-01-18,26.580000,26.809999,26.440001,26.780001,26.780001,398000
2011-01-19,26.790001,26.920000,26.480000,26.620001,26.620001,975400
2011-01-20,26.480000,26.680000,25.920000,25.940001,25.940001,875800
2011-01-21,26.070000,26.209999,25.500000,25.549999,25.549999,642600
2011-01-24,25.530001,25.870001,25.510000,25.620001,25.620001,304200
2011-01-25,25.549999,25.650000,25.389999,25.650000,25.650000,390800
2011-01-26,25.620001,25.920000,25.530001,25.860001,25.860001,540800
2011-01-27,25.860001,25.900000,25.330000,25.660000,25.660000,538700
2011-01-28,25.690001,25.730000,25.370001,25.450001,25.450001,979500
