Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,9.390000,9.490000,8.870000,8.930000,8.566741,1856400
2010-06-30,8.950000,9.180000,8.430000,8.490000,8.144640,1750400
2010-07-01,8.600000,8.630000,8.110000,8.370000,8.029520,2840400
2010-07-02,8.510000,8.520000,7.960000,8.060000,7.732130,1821200
2010-07-06,8.390000,8.390000,7.710000,7.740000,7.425147,2011300
2010-07-07,7.790000,8.140000,7.600000,8.140000,7.808877,1741300
2010-07-08,8.310000,8.380000,7.830000,8.100000,7.770504,2181100
2010-07-09,8.100000,8.610000,8.060000,8.580000,8.230978,1505200
2010-07-12,8.500000,8.770000,8.270000,8.390000,8.048708,1040300
2010-07-13,8.600000,8.620000,8.420000,8.540000,8.192606,1547700
2010-07-14,8.400000,8.580000,8.200000,8.530000,8.183010,1255800
2010-07-15,8.510000,8.510000,8.120000,8.220000,7.885621,1450100
2010-07-16,8.110000,8.120000,7.690000,7.740000,7.425147,2227800
2010-07-19,7.840000,7.880000,7.450000,7.670000,7.357996,1372300
2010-07-20,7.600000,7.900000,7.510000,7.890000,7.569046,1344000
2010-07-21,8.090000,8.100000,7.580000,7.610000,7.300436,1682900
2010-07-22,7.760000,8.240000,7.760000,8.190000,7.856842,1720300
2010-07-23,8.160000,8.480000,8.040000,8.440000,8.096673,1433300
2010-07-26,8.480000,9.040000,8.180000,9.000000,8.633891,2012900
2010-07-27,9.250000,9.250000,9.010000,9.030000,8.662673,2298100
2010-07-28,9.050000,9.120000,8.430000,8.510000,8.163825,1937100
2010-07-29,8.610000,8.890000,8.350000,8.540000,8.192606,1646500
2010-07-30,8.300000,8.590000,8.300000,8.460000,8.115859,1361200
2010-08-02,8.990000,9.150000,8.710000,9.010000,8.643485,2335100
2010-08-03,8.410000,8.530000,8.200000,8.220000,7.885621,3785100
2010-08-04,8.240000,8.420000,8.000000,8.090000,7.760911,2028400
2010-08-05,8.050000,8.210000,8.000000,8.100000,7.770504,1617200
2010-08-06,8.000000,8.360000,7.980000,8.330000,7.991146,1965200
2010-08-09,8.440000,8.750000,8.320000,8.710000,8.355691,1573900
2010-08-10,8.390000,8.520000,8.110000,8.180000,7.847247,1552900
2010-08-11,7.990000,8.060000,7.780000,7.810000,7.492300,1608000
2010-08-12,7.680000,7.890000,7.610000,7.760000,7.444334,1300300
2010-08-13,7.750000,7.830000,7.570000,7.600000,7.290842,1444300
2010-08-16,7.680000,7.730000,7.580000,7.660000,7.348403,991400
2010-08-17,7.870000,7.920000,7.710000,7.760000,7.444334,724300
2010-08-18,7.840000,7.880000,7.670000,7.830000,7.511487,1085600
2010-08-19,7.830000,8.030000,7.720000,7.960000,7.636199,2789400
2010-08-20,7.750000,7.920000,7.500000,7.720000,7.405961,2309100
2010-08-23,7.820000,7.850000,7.400000,7.410000,7.108570,1470700
2010-08-24,7.290000,7.310000,7.070000,7.070000,6.782402,1216900
2010-08-25,7.000000,7.320000,6.860000,7.270000,6.974267,1714800
2010-08-26,7.330000,7.480000,7.010000,7.030000,6.744030,1463700
2010-08-27,7.150000,7.300000,6.910000,7.270000,6.974267,1304300
2010-08-30,7.200000,7.340000,6.990000,6.990000,6.705657,1046600
2010-08-31,6.990000,7.210000,6.890000,6.940000,6.657692,1723600
2010-09-01,7.070000,7.200000,7.000000,7.100000,6.811181,1972200
2010-09-02,7.100000,7.400000,7.050000,7.380000,7.079792,1783700
2010-09-03,7.540000,7.730000,7.450000,7.610000,7.300436,1337300
2010-09-07,7.580000,7.590000,7.190000,7.210000,6.916707,1386600
2010-09-08,7.280000,7.510000,7.280000,7.390000,7.089385,1057300
2010-09-09,7.660000,7.700000,7.260000,7.260000,6.964673,1956400
2010-09-10,7.310000,7.370000,7.150000,7.310000,7.012640,2388600
2010-09-13,7.430000,7.560000,7.260000,7.390000,7.089385,1383800
2010-09-14,7.340000,7.470000,7.160000,7.170000,6.878335,1800200
2010-09-15,7.150000,7.220000,7.080000,7.190000,6.897520,1339900
2010-09-16,7.130000,7.200000,6.920000,6.990000,6.705657,2633700
2010-09-17,7.090000,7.230000,7.000000,7.090000,6.801589,3227300
2010-09-20,7.150000,7.400000,7.000000,7.360000,7.060606,2882000
2010-09-21,7.350000,7.480000,7.180000,7.190000,6.897520,2075600
2010-09-22,7.160000,7.230000,6.890000,6.910000,6.628910,3035100
2010-09-23,6.800000,6.950000,6.700000,6.800000,6.523387,3100200
2010-09-24,6.950000,6.950000,6.800000,6.820000,6.542573,2034400
2010-09-27,6.870000,7.070000,6.820000,6.990000,6.705657,1784400
2010-09-28,7.060000,7.070000,6.760000,7.070000,6.782402,2404400
2010-09-29,7.190000,7.250000,7.090000,7.150000,6.859148,1763300
2010-09-30,7.200000,7.350000,7.100000,7.250000,6.955081,1621500
2010-10-01,7.310000,7.350000,7.210000,7.280000,6.983860,1126700
2010-10-04,7.270000,7.470000,7.150000,7.240000,6.945487,1899100
2010-10-05,7.380000,7.540000,7.320000,7.530000,7.223690,1708400
2010-10-06,7.480000,7.770000,7.400000,7.720000,7.405961,1622600
2010-10-07,7.760000,7.880000,7.540000,7.590000,7.281250,1593400
2010-10-08,7.600000,8.490000,7.500000,8.350000,8.010333,10924800
2010-10-11,8.450000,8.560000,8.190000,8.420000,8.077486,4246000
2010-10-12,8.340000,8.740000,8.250000,8.540000,8.192606,2842000
2010-10-13,8.410000,8.580000,8.260000,8.310000,7.971961,3021800
2010-10-14,8.360000,8.380000,7.890000,8.020000,7.693759,2408400
2010-10-15,8.090000,8.150000,7.680000,7.680000,7.367588,3481800
2010-10-18,7.730000,7.910000,7.660000,7.810000,7.492300,1214200
2010-10-19,7.630000,7.930000,7.550000,7.610000,7.300436,1862300
2010-10-20,7.650000,7.850000,7.610000,7.740000,7.425147,1141400
2010-10-21,7.830000,8.020000,7.570000,7.690000,7.377182,1685100
2010-10-22,7.750000,8.080000,7.740000,7.990000,7.664977,1890400
2010-10-25,8.090000,8.530000,8.040000,8.380000,8.039114,3260500
2010-10-26,8.280000,8.500000,8.160000,8.250000,7.914404,1390200
2010-10-27,8.150000,8.610000,8.150000,8.260000,7.923996,2523900
2010-10-28,8.460000,8.540000,8.320000,8.460000,8.115859,2164700
2010-10-29,8.440000,8.440000,8.250000,8.310000,7.971961,1421400
2010-11-01,8.330000,8.430000,8.220000,8.340000,8.000739,1476100
2010-11-02,8.470000,8.590000,8.330000,8.560000,8.211792,1551500
2010-11-03,8.540000,9.160000,8.430000,9.130000,8.758604,3782400
2010-11-04,9.170000,9.670000,9.160000,9.570000,9.180707,3438500
2010-11-05,9.620000,9.940000,9.600000,9.760000,9.362977,2960300
2010-11-08,9.740000,10.340000,9.590000,9.980000,9.574027,3213300
2010-11-09,10.080000,10.890000,10.050000,10.360000,9.938568,6178100
2010-11-10,10.320000,10.540000,9.750000,9.950000,9.545251,4920600
2010-11-11,9.810000,10.200000,9.590000,10.190000,9.775486,2657900
2010-11-12,9.900000,10.080000,9.400000,9.450000,9.065588,4116900
2010-11-15,9.550000,9.720000,9.140000,9.170000,8.796977,3091700
2010-11-16,9.100000,9.110000,8.380000,8.620000,8.269350,4709400
2010-11-17,8.660000,8.800000,8.350000,8.650000,8.298129,2926000
2010-11-18,8.820000,9.180000,8.820000,9.030000,8.662673,2253000
2010-11-19,9.000000,9.010000,8.750000,8.850000,8.489995,1666300
2010-11-22,8.850000,9.330000,8.750000,9.300000,8.921688,2694000
2010-11-23,9.110000,9.190000,8.910000,8.990000,8.624299,1659400
2010-11-24,9.090000,9.300000,9.090000,9.220000,8.844945,1050500
2010-11-26,9.130000,9.140000,8.960000,8.960000,8.595519,596200
2010-11-29,8.890000,9.070000,8.800000,9.060000,8.691451,1205300
2010-11-30,8.930000,9.050000,8.830000,8.940000,8.576333,1249700
2010-12-01,9.220000,9.300000,9.090000,9.170000,8.796977,1237000
2010-12-02,9.180000,9.270000,9.010000,9.200000,8.825757,1395300
2010-12-03,9.100000,9.900000,9.070000,9.770000,9.372570,3929300
2010-12-06,9.780000,9.990000,9.640000,9.880000,9.478094,2448000
2010-12-07,10.050000,10.410000,9.950000,10.340000,9.919383,5586400
2010-12-08,10.400000,10.440000,9.900000,10.140000,9.727520,2655900
2010-12-09,10.000000,10.130000,9.470000,9.870000,9.468500,5555100
2010-12-10,9.880000,9.910000,9.650000,9.780000,9.382163,1815400
2010-12-13,9.880000,10.000000,9.670000,9.700000,9.305418,1483400
2010-12-14,9.740000,9.850000,9.670000,9.720000,9.324603,1312300
2010-12-15,9.720000,9.850000,9.450000,9.500000,9.113552,1737500
2010-12-16,9.560000,9.830000,9.560000,9.700000,9.305418,1188100
2010-12-17,9.540000,9.540000,9.150000,9.400000,9.017620,3289600
2010-12-20,9.560000,9.990000,9.460000,9.890000,9.487690,2940500
2010-12-21,9.980000,10.080000,9.720000,9.870000,9.468500,2648700
2010-12-22,9.860000,10.020000,9.780000,9.890000,9.487690,1716500
2010-12-23,9.910000,10.000000,9.820000,9.830000,9.430128,994000
2010-12-27,9.810000,10.020000,9.750000,9.980000,9.574027,716200
2010-12-28,10.020000,10.150000,9.870000,9.930000,9.526063,1038400
2010-12-29,9.920000,10.310000,9.870000,10.240000,9.823451,2966800
2010-12-30,10.300000,10.840000,10.280000,10.560000,10.130435,3472300
2010-12-31,10.610000,10.850000,10.480000,10.600000,10.168805,2086100
2011-01-03,10.840000,11.000000,10.730000,10.810000,10.370266,3190600
2011-01-04,10.880000,10.900000,10.490000,10.720000,10.283924,3008400
2011-01-05,11.140000,11.870000,11.060000,11.650000,11.176092,7319500
2011-01-06,11.770000,11.870000,11.470000,11.640000,11.166503,3706400
2011-01-07,11.730000,12.020000,11.670000,11.920000,11.435112,3591700
2011-01-10,11.940000,12.290000,11.730000,12.200000,11.703723,2770900
2011-01-11,12.280000,12.300000,11.540000,11.590000,11.118536,4938700
2011-01-12,11.790000,11.790000,11.400000,11.530000,11.060976,3394300
2011-01-13,11.500000,11.860000,11.500000,11.600000,11.128129,2342900
2011-01-14,11.500000,11.960000,11.450000,11.840000,11.358365,2838600
2011-01-18,11.870000,11.950000,11.730000,11.940000,11.454297,2117800
2011-01-19,11.870000,12.100000,11.310000,11.380000,10.917078,2877600
2011-01-20,11.600000,11.660000,11.090000,11.510000,11.041792,2842200
2011-01-21,11.780000,12.100000,11.670000,11.720000,11.243249,3083300
2011-01-24,11.700000,11.950000,11.590000,11.870000,11.387146,1659200
2011-01-25,11.740000,11.800000,11.310000,11.550000,11.080160,1807400
2011-01-26,11.560000,11.780000,11.340000,11.480000,11.013012,2106600
2011-01-27,11.590000,11.590000,11.210000,11.450000,10.984230,1727400
2011-01-28,11.530000,11.610000,10.800000,10.840000,10.399044,3295400
2011-01-31,10.880000,11.160000,10.800000,10.840000,10.399044,2449300
2011-02-01,11.010000,11.310000,10.980000,11.250000,10.792367,1732300
2011-02-02,11.240000,11.280000,11.040000,11.100000,10.648468,914100
2011-02-03,11.150000,11.500000,11.050000,11.170000,10.715619,1571200
2011-02-04,11.120000,11.120000,10.640000,10.720000,10.283924,2583700
2011-02-07,10.820000,11.400000,10.780000,11.010000,10.562130,2994500
2011-02-08,11.930000,12.630000,11.850000,12.370000,11.866808,9716100
2011-02-09,12.370000,12.780000,12.250000,12.420000,11.914770,3911500
2011-02-10,12.380000,12.430000,11.820000,12.140000,11.646161,4870000
2011-02-11,12.080000,12.360000,11.890000,12.190000,11.694128,3673700
2011-02-14,12.170000,12.180000,11.940000,12.000000,11.511857,2301700
2011-02-15,11.950000,12.000000,11.750000,11.790000,11.310399,1610700
2011-02-16,11.830000,11.880000,11.540000,11.620000,11.147317,1695500
2011-02-17,11.610000,11.750000,11.550000,11.680000,11.204874,1459900
2011-02-18,11.720000,11.750000,11.400000,11.420000,10.955450,1588600
2011-02-22,11.180000,11.340000,10.820000,10.880000,10.437417,2517100
2011-02-23,10.960000,10.960000,10.080000,10.370000,9.948164,4108600
2011-02-24,10.270000,10.560000,10.140000,10.300000,9.881011,2940800
2011-02-25,10.520000,10.740000,10.430000,10.730000,10.293518,2182900
2011-02-28,10.840000,11.010000,10.530000,10.690000,10.255143,2447200
2011-03-01,10.500000,10.730000,9.890000,9.910000,9.506875,4791500
2011-03-02,9.910000,10.190000,9.760000,10.050000,9.641181,3147400
2011-03-03,10.240000,10.450000,10.140000,10.380000,9.957756,2557000
2011-03-04,10.380000,10.450000,9.920000,10.130000,9.717925,2507400
2011-03-07,9.700000,9.960000,9.400000,9.660000,9.267045,4511800
2011-03-08,9.690000,9.990000,9.650000,9.820000,9.420535,1977900
2011-03-09,9.730000,9.980000,9.670000,9.880000,9.478094,1850300
2011-03-10,9.610000,9.830000,9.480000,9.500000,9.113552,2497200
2011-03-11,9.370000,9.870000,9.200000,9.820000,9.420535,2481800
2011-03-14,9.690000,9.690000,9.330000,9.490000,9.103958,2009500
2011-03-15,9.110000,9.450000,9.050000,9.360000,8.979250,2326000
2011-03-16,9.300000,9.340000,9.030000,9.070000,8.701045,2599200
2011-03-17,9.280000,9.300000,9.120000,9.160000,8.787382,1495400
2011-03-18,9.330000,9.360000,8.980000,9.010000,8.643485,2462000
2011-03-21,9.170000,9.350000,9.100000,9.330000,8.950469,3009200
2011-03-22,9.400000,9.500000,9.100000,9.100000,8.729826,1651900
2011-03-23,9.050000,9.100000,8.840000,9.000000,8.633891,2614300
2011-03-24,9.100000,9.480000,8.940000,9.330000,8.950469,2271900
2011-03-25,9.430000,9.670000,9.270000,9.460000,9.075180,2025100
