Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,9.920000,10.000000,9.833333,9.883333,8.408147,2700
2010-06-30,9.883333,10.010000,9.766667,10.000000,8.507401,20400
2010-07-01,9.833333,10.000000,9.833333,10.000000,8.507401,2400
2010-07-02,10.360000,11.156667,10.270000,10.983333,9.343963,24600
2010-07-06,10.626667,10.636667,9.756667,9.783333,8.323071,29100
2010-07-07,9.783333,10.033333,9.783333,9.966667,8.479046,2400
2010-07-08,10.280000,10.280000,10.136667,10.136667,8.623671,1200
2010-07-09,10.543333,10.546667,10.533333,10.546667,8.972471,1800
2010-07-12,9.693333,10.343333,9.693333,10.340000,8.796650,1200
2010-07-13,9.730000,9.846667,9.716667,9.846667,8.376952,3900
2010-07-14,9.846667,9.846667,9.846667,9.846667,8.376952,0
2010-07-15,10.296667,10.300000,10.156667,10.156667,8.640683,8100
2010-07-16,10.116667,10.116667,10.116667,10.116667,8.606653,300
2010-07-19,10.213333,10.213333,10.080000,10.083333,8.578297,14100
2010-07-20,9.833333,9.990000,9.833333,9.953333,8.467697,4800
2010-07-21,10.000000,10.000000,9.696667,9.760000,8.303223,29100
2010-07-22,9.590000,10.000000,9.590000,10.000000,8.507401,2100
2010-07-23,10.000000,10.000000,10.000000,10.000000,8.507401,300
2010-07-26,9.996667,10.200000,9.956667,10.200000,8.677552,7200
2010-07-27,10.296667,10.500000,10.296667,10.333333,8.790981,4500
2010-07-28,10.286667,10.323333,10.286667,10.323333,8.782469,9000
2010-07-29,10.333333,10.820000,10.333333,10.750000,9.145453,5400
2010-07-30,10.743333,10.836667,10.740000,10.836667,9.219190,2100
2010-08-02,10.800000,11.310000,10.800000,11.153333,9.488586,1200
2010-08-03,11.143333,11.750000,11.000000,11.386667,9.687094,35100
2010-08-04,11.573333,11.660000,11.100000,11.236667,9.559482,14400
2010-08-05,11.466667,11.466667,11.163333,11.276667,9.593512,1500
2010-08-06,11.270000,11.500000,11.263333,11.500000,9.783510,3300
2010-08-09,11.500000,12.176667,11.500000,11.533333,9.811868,28200
2010-08-10,12.000000,12.010000,11.520000,11.903333,10.126643,10200
2010-08-11,11.506667,11.860000,11.366667,11.500000,9.783510,9900
2010-08-12,11.666667,11.823333,11.500000,11.633333,9.896943,17400
2010-08-13,11.500000,11.666667,11.500000,11.500000,9.783510,5100
2010-08-16,11.583333,11.666667,11.583333,11.666667,9.925301,900
2010-08-17,11.833333,11.833333,11.583333,11.666667,9.925301,19200
2010-08-18,11.643333,11.916667,11.643333,11.780000,10.021717,9900
2010-08-19,11.663333,11.726667,11.583333,11.666667,9.925301,14100
2010-08-20,11.913333,11.916667,11.663333,11.666667,9.925301,5100
2010-08-23,11.886667,12.626667,11.650000,12.240000,10.413057,72600
2010-08-24,12.006667,12.096667,11.933333,12.000000,10.208883,13500
2010-08-25,12.000000,12.066667,11.833333,11.833333,10.067088,20700
2010-08-26,11.916667,12.000000,11.633333,11.633333,9.896943,12300
2010-08-27,11.573333,11.580000,11.000000,11.150000,9.485754,16200
2010-08-30,11.126667,11.323333,10.916667,11.050000,9.400681,16800
2010-08-31,10.873333,10.886667,10.873333,10.886667,9.261724,1800
2010-09-01,11.463333,11.463333,10.963333,11.100000,9.443214,1800
2010-09-02,10.953333,11.310000,10.953333,11.236667,9.559482,1800
2010-09-03,11.290000,11.290000,11.000000,11.166667,9.499931,21600
2010-09-07,11.326667,11.590000,11.216667,11.420000,9.715449,1800
2010-09-08,11.333333,11.333333,11.333333,11.333333,9.641721,900
2010-09-09,11.300000,11.336667,10.786667,10.916667,9.322894,3000
2010-09-10,10.916667,10.916667,10.916667,10.916667,9.322894,600
2010-09-13,10.740000,11.000000,10.503333,10.666667,9.109386,13800
2010-09-14,10.666667,10.666667,10.646667,10.666667,9.109386,8400
2010-09-15,10.666667,10.683333,10.666667,10.683333,9.123624,6600
2010-09-16,10.673333,10.683333,10.366667,10.366667,8.853186,10500
2010-09-17,10.263333,10.263333,10.263333,10.263333,8.764939,900
2010-09-20,10.333333,10.333333,10.023333,10.270000,8.770635,18900
2010-09-21,10.416667,10.613333,10.416667,10.613333,9.063846,2100
2010-09-22,10.420000,10.420000,10.416667,10.416667,8.895889,2100
2010-09-23,10.416667,10.416667,10.416667,10.416667,8.895889,0
2010-09-24,10.603333,10.613333,10.603333,10.613333,9.063846,3300
2010-09-27,10.600000,10.666667,10.496667,10.496667,8.964210,11700
2010-09-28,10.666667,10.666667,10.666667,10.666667,9.109386,13200
2010-09-29,10.666667,10.666667,10.666667,10.666667,9.109386,0
2010-09-30,10.666667,10.666667,10.583333,10.666667,9.109386,9300
2010-10-01,10.513333,10.533333,10.513333,10.533333,8.995522,3900
2010-10-04,10.666667,10.666667,10.600000,10.600000,9.052459,1800
2010-10-05,10.666667,10.666667,10.666667,10.666667,9.109386,3900
2010-10-06,10.666667,10.750000,10.656667,10.666667,9.109386,38100
2010-10-07,10.750000,10.916667,10.736667,10.766667,9.194788,13500
2010-10-08,10.833333,11.103333,10.833333,10.956667,9.357048,8400
2010-10-11,10.826667,11.000000,10.826667,10.916667,9.322894,4500
2010-10-12,11.000000,11.076667,11.000000,11.076667,9.459531,1500
2010-10-13,8.963333,9.150000,5.900000,7.416667,6.333874,2276100
2010-10-14,7.166667,7.496667,6.913333,6.930000,5.918256,331800
2010-10-15,6.876667,6.876667,6.200000,6.316667,5.394468,321300
2010-10-18,5.996667,5.996667,4.890000,4.903333,4.187473,1110000
2010-10-19,5.050000,5.050000,4.410000,4.430000,3.783244,636300
2010-10-20,4.370000,4.700000,4.236667,4.616667,3.942657,299100
2010-10-21,4.536667,4.866667,4.536667,4.753333,4.059371,129000
2010-10-22,4.680000,4.793333,4.680000,4.716667,4.028057,99900
2010-10-25,4.756667,4.810000,4.580000,4.653333,3.973972,75900
2010-10-26,4.566667,4.676667,4.503333,4.623333,3.948350,54900
2010-10-27,4.703333,4.703333,4.443333,4.533333,3.871491,29400
2010-10-28,4.466667,4.546667,4.336667,4.340000,3.706383,54600
2010-10-29,4.360000,4.360000,4.170000,4.266667,3.643757,73200
2010-11-01,4.343333,4.703333,4.270000,4.300000,3.672224,220200
2010-11-02,4.230000,4.760000,4.190000,4.476667,3.823096,258000
2010-11-03,4.406667,4.500000,4.316667,4.316667,3.686457,34500
2010-11-04,4.323333,4.370000,4.306667,4.350000,3.714924,29400
2010-11-05,4.370000,4.700000,4.336667,4.636667,3.959740,78900
2010-11-08,4.663333,4.710000,4.576667,4.606667,3.934119,30900
2010-11-09,4.486667,4.703333,4.486667,4.666667,3.985358,27300
2010-11-10,4.483333,4.666667,4.483333,4.616667,3.942657,84000
2010-11-11,4.410000,4.666667,4.406667,4.660000,3.979664,27000
2010-11-12,4.633333,4.633333,4.500000,4.566667,3.899960,15900
2010-11-15,4.596667,4.650000,4.596667,4.633333,3.956892,3000
2010-11-16,4.546667,4.546667,3.966667,4.393333,3.751931,109800
2010-11-17,4.220000,4.556667,4.216667,4.330000,3.697844,11100
2010-11-18,4.320000,4.350000,4.203333,4.210000,3.595363,14700
2010-11-19,4.216667,4.263333,4.216667,4.226667,3.609596,21300
2010-11-22,4.250000,4.433333,4.250000,4.256667,3.635216,11400
2010-11-23,4.250000,4.306667,4.250000,4.303333,3.675068,18600
2010-11-24,4.256667,4.303333,4.250000,4.303333,3.675068,6600
2010-11-26,4.416667,4.416667,4.310000,4.316667,3.686457,3300
2010-11-29,4.253333,4.356667,4.250000,4.310000,3.680763,6300
2010-11-30,4.320000,4.320000,4.320000,4.320000,3.689303,300
2010-12-01,4.400000,4.400000,4.333333,4.340000,3.706383,21600
2010-12-02,4.433333,4.666667,4.433333,4.583333,3.914190,391200
2010-12-03,4.586667,4.726667,4.586667,4.700000,4.013824,11100
2010-12-06,4.730000,4.766667,4.716667,4.720000,4.030906,24600
2010-12-07,4.720000,4.750000,4.620000,4.620000,3.945506,7500
2010-12-08,4.600000,4.666667,4.600000,4.650000,3.971125,7800
2010-12-09,4.583333,4.633333,4.566667,4.566667,3.936644,10200
2010-12-10,4.556667,4.656667,4.466667,4.643333,4.002732,26700
2010-12-13,4.650000,4.650000,4.496667,4.600000,3.965378,8100
2010-12-14,4.583333,4.653333,4.403333,4.493333,3.873425,17400
2010-12-15,4.493333,4.576667,4.453333,4.506667,3.884921,19200
2010-12-16,4.503333,4.506667,4.420000,4.473333,3.856186,27600
2010-12-17,4.453333,4.540000,4.403333,4.463333,3.847566,33600
2010-12-20,4.373333,4.493333,4.373333,4.376667,3.772858,27900
2010-12-21,4.390000,4.500000,4.386667,4.466667,3.850440,15600
2010-12-22,4.486667,4.533333,4.406667,4.420000,3.810212,26700
2010-12-23,4.443333,4.466667,4.443333,4.466667,3.850440,2100
2010-12-27,4.500000,4.553333,4.500000,4.553333,3.925149,21600
2010-12-28,4.500000,4.510000,4.486667,4.510000,3.887794,6900
2010-12-29,4.500000,4.533333,4.433333,4.453333,3.838946,25800
2010-12-30,4.500000,4.516667,4.450000,4.516667,3.893542,22800
2010-12-31,4.433333,4.593333,4.433333,4.593333,3.959631,36600
2011-01-03,4.603333,4.700000,4.603333,4.696667,4.048710,21300
2011-01-04,4.746667,4.766667,4.616667,4.766667,4.109051,59700
2011-01-05,4.650000,4.816667,4.583333,4.710000,4.060203,42900
2011-01-06,4.706667,4.706667,4.523333,4.660000,4.017099,117600
2011-01-07,4.646667,4.723333,4.593333,4.616667,3.979744,18600
2011-01-10,4.580000,4.666667,4.550000,4.666667,4.022848,10200
2011-01-11,4.706667,4.723333,4.653333,4.723333,4.071695,18600
2011-01-12,4.726667,4.970000,4.670000,4.970000,4.284331,62700
2011-01-13,4.993333,4.993333,4.930000,4.933333,4.252724,7500
2011-01-14,4.836667,5.156667,4.836667,5.083333,4.382030,17100
2011-01-18,5.083333,5.170000,5.083333,5.100000,4.396399,27000
2011-01-19,5.133333,5.150000,5.100000,5.146667,4.436625,12900
2011-01-20,5.150000,5.150000,4.983333,5.083333,4.382030,57600
2011-01-21,5.100000,5.126667,4.993333,5.050000,4.353297,27000
2011-01-24,5.050000,5.080000,4.943333,4.950000,4.267089,52500
2011-01-25,4.950000,4.950000,4.836667,4.930000,4.249851,28500
2011-01-26,4.873333,5.066667,4.860000,5.016667,4.324563,127800
2011-01-27,5.003333,5.033333,4.933333,5.030000,4.336057,142200
2011-01-28,4.953333,4.956667,4.950000,4.953333,4.269964,4200
2011-01-31,5.023333,5.023333,4.953333,5.023333,4.330307,2700
2011-02-01,4.923333,5.016667,4.920000,4.986667,4.298698,16200
2011-02-02,5.013333,5.013333,4.953333,4.973333,4.287205,1800
2011-02-03,5.010000,5.010000,4.950000,4.980000,4.292953,32700
2011-02-04,5.000000,5.000000,5.000000,5.000000,4.310194,5100
2011-02-07,5.066667,5.313333,5.060000,5.263333,4.537197,127500
2011-02-08,5.293333,5.386667,5.230000,5.356667,4.617655,83700
2011-02-09,5.376667,5.423333,5.320000,5.350000,4.611907,63900
2011-02-10,5.350000,5.360000,5.303333,5.360000,4.620528,33000
2011-02-11,5.370000,5.463333,5.366667,5.450000,4.698109,67200
2011-02-14,5.463333,5.536667,5.416667,5.450000,4.698109,42600
2011-02-15,5.406667,5.466667,5.400000,5.466667,4.712478,58800
2011-02-16,5.470000,5.566667,5.453333,5.470000,4.715351,50100
2011-02-17,5.523333,5.623333,5.523333,5.566667,4.798682,9900
2011-02-18,5.586667,5.690000,5.560000,5.633333,4.856151,24300
