Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,68.980003,69.019997,65.500000,66.239998,47.615631,4498100
2010-06-30,66.190002,67.360001,65.019997,65.129997,46.817726,3268500
2010-07-01,64.870003,66.639999,63.240002,64.820000,46.594898,5136200
2010-07-02,65.010002,65.669998,63.709999,64.239998,46.177963,3766900
2010-07-06,65.860001,66.300003,63.040001,63.570000,45.696346,3913900
2010-07-07,63.689999,67.589996,63.580002,67.410004,48.456673,4362500
2010-07-08,68.279999,69.199997,67.190002,68.940002,49.556507,3937700
2010-07-09,69.000000,71.639999,68.370003,71.529999,51.418266,3400900
2010-07-12,71.260002,71.699997,69.870003,70.660004,50.792900,3155700
2010-07-13,72.349998,74.239998,71.959999,73.730003,52.999706,4266500
2010-07-14,73.480003,75.379997,72.900002,74.639999,53.653839,4053000
2010-07-15,74.940002,74.940002,72.050003,72.699997,52.259308,4563000
2010-07-16,71.779999,72.540001,69.360001,69.500000,49.959045,3625200
2010-07-19,70.430000,71.010002,68.519997,70.660004,50.792900,1924400
2010-07-20,68.989998,72.739998,68.820000,72.540001,52.144295,2450500
2010-07-21,73.500000,75.239998,72.769997,73.150002,52.582779,3241200
2010-07-22,75.209999,76.360001,74.599998,75.900002,54.559608,2723800
2010-07-23,75.500000,77.980003,74.599998,76.970001,55.328724,3089100
2010-07-26,76.900002,78.430000,76.699997,77.849998,55.961323,2917300
2010-07-27,82.180000,82.339996,78.620003,79.430000,57.097076,6302100
2010-07-28,79.250000,80.389999,79.010002,79.760002,57.334286,3043500
2010-07-29,80.930000,81.089996,78.269997,79.139999,56.888626,2400000
2010-07-30,77.699997,80.139999,77.010002,79.610001,57.226460,2580900
2010-08-02,81.480003,82.129997,80.779999,81.410004,58.520374,2388000
2010-08-03,81.199997,81.870003,79.470001,80.040001,57.535580,3143900
2010-08-04,80.519997,81.639999,79.470001,81.489998,58.577869,2886500
2010-08-05,81.050003,81.980003,80.150002,81.639999,58.685696,1940900
2010-08-06,80.940002,82.209999,79.650002,81.129997,58.319092,2542100
2010-08-09,82.040001,82.459999,80.760002,81.120003,58.311905,1879800
2010-08-10,80.000000,81.879997,79.559998,81.480003,58.570667,3047300
2010-08-11,79.260002,80.129997,77.169998,77.809998,55.932552,4582600
2010-08-12,75.510002,78.519997,75.000000,77.970001,56.047581,4736600
2010-08-13,77.699997,78.419998,77.019997,77.750000,55.889435,2055400
2010-08-16,77.059998,78.419998,76.000000,77.769997,55.903797,1508900
2010-08-17,78.860001,81.239998,78.690002,80.570000,57.916542,2447000
2010-08-18,80.599998,82.169998,79.370003,81.830002,58.822277,2484100
2010-08-19,81.239998,82.690002,80.389999,81.239998,58.586468,3441900
2010-08-20,82.070000,82.150002,78.650002,79.510002,57.338863,2834100
2010-08-23,80.190002,80.190002,76.040001,76.500000,55.168221,3334200
2010-08-24,75.000000,76.239998,73.760002,74.769997,53.920609,3401100
2010-08-25,73.800003,74.300003,71.510002,73.480003,52.990318,4159100
2010-08-26,74.230003,75.620003,72.480003,72.570000,52.334061,3194400
2010-08-27,73.709999,76.500000,71.970001,76.190002,54.944664,3183400
2010-08-30,75.320000,76.000000,73.660004,73.820000,53.235508,1961500
2010-08-31,73.239998,75.230003,72.510002,74.410004,53.660980,2664900
2010-09-01,77.070000,81.209999,77.000000,79.879997,57.605709,5080100
2010-09-02,79.739998,81.839996,79.089996,81.800003,58.990307,3320500
2010-09-03,82.910004,84.690002,82.160004,83.160004,59.971081,3054500
2010-09-07,82.430000,82.750000,80.750000,80.879997,58.326832,2242200
2010-09-08,81.000000,82.419998,80.339996,81.959999,59.105694,1915200
2010-09-09,83.330002,83.489998,80.849998,81.440002,58.730698,1508400
2010-09-10,81.879997,82.820000,81.239998,81.919998,59.076847,1734600
2010-09-13,84.279999,84.930000,83.339996,84.809998,61.160965,2502600
2010-09-14,84.180000,85.580002,83.650002,85.019997,61.312408,1744000
2010-09-15,84.150002,84.489998,82.300003,83.320000,60.086472,3102000
2010-09-16,83.029999,84.500000,82.769997,84.080002,60.634533,2203300
2010-09-17,84.739998,85.570000,83.019997,85.139999,61.398979,2746500
2010-09-20,85.860001,88.430000,85.320000,87.949997,63.425373,2676500
2010-09-21,88.599998,90.470001,87.849998,89.129997,64.276344,3432300
2010-09-22,89.110001,90.000000,87.669998,88.389999,63.742695,2249000
2010-09-23,87.160004,89.620003,86.750000,88.309998,63.685020,3239800
2010-09-24,90.000000,92.500000,90.000000,90.860001,65.523964,3285600
2010-09-27,90.860001,90.860001,89.339996,89.599998,64.615334,1831200
2010-09-28,90.059998,91.169998,88.239998,90.959999,65.596062,1971400
2010-09-29,90.769997,91.900002,90.349998,91.300003,65.841270,1917100
2010-09-30,92.400002,92.860001,89.680000,90.580002,65.322037,2607700
2010-10-01,91.370003,91.699997,89.660004,91.309998,65.848480,2543500
2010-10-04,91.250000,91.680000,88.849998,89.690002,64.680222,3094400
2010-10-05,91.349998,92.970001,90.629997,92.239998,66.519150,2479800
2010-10-06,92.190002,93.599998,91.930000,93.220001,67.225899,1873300
2010-10-07,93.699997,93.800003,90.830002,92.279999,66.548012,2555200
2010-10-08,92.589996,93.660004,91.519997,92.910004,67.002335,1812800
2010-10-11,93.190002,94.190002,92.500000,93.059998,67.110481,1070000
2010-10-12,92.879997,92.879997,90.680000,92.260002,66.533607,1774500
2010-10-13,93.000000,93.750000,92.550003,92.820000,66.937424,1697500
2010-10-14,93.010002,94.769997,93.000000,93.760002,67.615288,1900600
2010-10-15,94.370003,94.870003,92.410004,93.639999,67.528770,1855300
2010-10-18,93.639999,93.639999,90.800003,91.349998,65.877312,2866500
2010-10-19,89.739998,91.580002,88.800003,90.169998,65.026382,2494900
2010-10-20,90.580002,93.139999,90.360001,92.050003,66.382133,1583100
2010-10-21,92.580002,93.809998,91.830002,93.750000,67.608109,2588700
2010-10-22,94.089996,94.089996,92.500000,93.629997,67.521515,1328200
2010-10-25,94.769997,96.129997,94.260002,94.489998,68.141747,2034800
2010-10-26,87.410004,91.559998,87.000000,89.000000,64.182640,10456900
2010-10-27,89.269997,90.250000,88.220001,89.260002,64.370094,4038400
2010-10-28,90.230003,90.230003,88.239998,89.010002,64.189812,3118400
2010-10-29,89.260002,89.860001,87.940002,88.099998,63.533573,2839600
2010-11-01,87.900002,89.500000,87.510002,88.199997,63.605679,2821900
2010-11-02,88.800003,91.760002,88.489998,91.370003,65.891762,3400100
2010-11-03,91.400002,91.680000,89.870003,91.470001,65.963867,1885200
2010-11-04,93.220001,95.720001,92.779999,95.639999,68.971054,2937700
2010-11-05,95.639999,96.629997,95.260002,96.389999,69.511932,1713800
2010-11-08,95.849998,96.099998,94.910004,95.400002,68.797997,1828000
2010-11-09,95.199997,95.510002,92.849998,93.300003,67.283554,2052700
2010-11-10,93.779999,94.970001,92.480003,94.529999,68.170593,1619100
2010-11-11,93.949997,95.019997,93.320000,95.010002,68.516739,1556800
2010-11-12,93.809998,94.830002,92.690002,94.059998,67.831657,2082300
2010-11-15,94.629997,94.709999,93.290001,93.980003,67.773918,2281400
2010-11-16,92.949997,92.989998,90.370003,91.320000,65.855675,2696000
2010-11-17,91.389999,92.709999,90.419998,92.019997,66.360504,1823500
2010-11-18,93.620003,95.339996,93.400002,93.809998,67.845268,1671500
2010-11-19,93.339996,94.440002,92.559998,94.309998,68.206894,1883100
2010-11-22,94.239998,95.750000,93.389999,95.589996,69.132584,1516700
2010-11-23,93.629997,95.190002,93.559998,94.910004,68.640793,1884400
2010-11-24,95.889999,98.730003,95.720001,98.650002,71.345634,2012300
2010-11-26,97.570000,98.639999,97.400002,98.199997,71.020226,618900
2010-11-29,97.260002,97.610001,95.500000,97.269997,70.347595,1450200
2010-11-30,96.059998,97.779999,95.589996,97.120003,70.239128,2463300
2010-12-01,99.739998,101.199997,99.250000,100.519997,72.698067,2508100
2010-12-02,100.839996,104.360001,100.519997,103.970001,75.193184,2367300
2010-12-03,102.720001,103.949997,102.260002,102.839996,74.375946,1932300
2010-12-06,102.750000,105.580002,102.430000,104.959999,75.909180,1465300
2010-12-07,106.489998,107.620003,105.599998,105.980003,76.646866,2573800
2010-12-08,106.029999,106.480003,103.570000,105.080002,75.995979,2215400
2010-12-09,106.110001,106.199997,104.000000,104.250000,75.395699,1342100
2010-12-10,105.000000,105.220001,104.000000,105.029999,75.959778,1006900
2010-12-13,106.400002,107.260002,105.699997,106.690002,77.160332,2145800
2010-12-14,106.550003,109.190002,106.550003,108.290001,78.317490,1924800
2010-12-15,108.410004,110.839996,108.040001,108.620003,78.556145,2171200
2010-12-16,109.250000,109.250000,107.139999,108.510002,78.476616,1221200
2010-12-17,108.470001,109.000000,107.800003,107.959999,78.078827,2071900
2010-12-20,108.489998,109.570000,107.680000,109.120003,78.917732,1241000
2010-12-21,109.720001,111.589996,109.250000,111.190002,80.414803,1218500
