Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,17.280001,17.299999,16.760000,16.809999,6.762204,192300
2010-06-30,17.030001,17.500000,17.000000,17.059999,6.862774,256600
2010-07-01,16.860001,17.360001,16.100000,17.160000,6.903001,280100
2010-07-02,17.090000,17.200001,16.690001,16.980000,6.830593,99100
2010-07-06,17.459999,17.459999,15.820000,16.160000,6.500727,502900
2010-07-07,16.350000,17.100000,16.000000,17.100000,6.878864,204100
2010-07-08,17.049999,17.219999,16.870001,17.080000,6.870821,153100
2010-07-09,17.100000,17.379999,16.920000,17.280001,6.951276,134300
2010-07-12,17.299999,17.469999,17.080000,17.430000,7.011613,117800
2010-07-13,17.549999,18.000000,17.459999,17.959999,7.224820,287900
2010-07-14,17.770000,18.500000,17.620001,18.420000,7.409864,352100
2010-07-15,18.459999,18.600000,17.799999,18.090000,7.277119,271500
2010-07-16,18.120001,18.490000,17.840000,18.299999,7.361592,202300
2010-07-19,18.500000,18.740000,18.110001,18.660000,7.506410,222400
2010-07-20,18.549999,19.049999,18.480000,18.950001,7.623070,263700
2010-07-21,19.160000,19.250000,18.700001,18.809999,7.566751,209700
2010-07-22,19.250000,19.250000,18.540001,18.750000,7.542612,286300
2010-07-23,18.820000,19.080000,18.600000,18.700001,7.522502,329200
2010-07-26,18.830000,19.139999,18.709999,19.090000,7.679388,331600
2010-07-27,19.129999,19.190001,18.870001,18.990000,7.639161,211600
2010-07-28,18.910000,19.230000,18.799999,19.000000,7.643184,310100
2010-07-29,18.780001,18.780001,17.500000,17.799999,7.324289,508300
2010-07-30,17.700001,17.930000,17.299999,17.680000,7.274910,263300
2010-08-02,17.809999,18.030001,17.570000,17.610001,7.246109,259300
2010-08-03,17.809999,17.879999,17.320000,17.850000,7.344862,136800
2010-08-04,18.000000,18.000000,17.600000,17.700001,7.283141,134200
2010-08-05,17.700001,17.709999,17.450001,17.520000,7.209073,148400
2010-08-06,17.400000,18.020000,17.400000,17.889999,7.361320,184400
2010-08-09,17.930000,18.100000,17.700001,18.100000,7.447733,158200
2010-08-10,17.910000,17.959999,17.570000,17.750000,7.303715,118300
2010-08-11,17.690001,17.690001,17.000000,17.250000,7.097974,318000
2010-08-12,17.049999,17.590000,16.500000,17.400000,7.159698,150100
2010-08-13,17.580000,17.670000,17.400000,17.590000,7.237878,113100
2010-08-16,17.410000,17.879999,17.150000,17.450001,7.180270,188500
2010-08-17,17.430000,17.690001,17.250000,17.670000,7.270794,102700
2010-08-18,17.660000,17.709999,17.389999,17.500000,7.200843,108900
2010-08-19,17.530001,17.610001,17.250000,17.330000,7.130890,125400
2010-08-20,17.209999,17.299999,16.900000,17.299999,7.118549,170900
2010-08-23,17.219999,17.469999,17.000000,17.469999,7.188503,141500
2010-08-24,17.100000,17.500000,17.020000,17.500000,7.200843,129700
2010-08-25,17.510000,17.549999,16.680000,17.190001,7.073289,263200
2010-08-26,17.250000,17.280001,17.000000,17.150000,7.056830,90900
2010-08-27,16.910000,17.270000,16.910000,17.270000,7.106204,96100
2010-08-30,17.360001,17.360001,16.959999,17.230000,7.089746,162700
2010-08-31,16.809999,17.290001,16.809999,17.110001,7.040367,105800
2010-09-01,17.360001,17.430000,17.010000,17.219999,7.085636,187700
2010-09-02,17.139999,17.299999,17.139999,17.230000,7.089746,74900
2010-09-03,17.750000,17.750000,17.230000,17.330000,7.130890,90000
2010-09-07,17.270000,17.559999,17.230000,17.540001,7.217306,84100
2010-09-08,17.660000,17.670000,17.400000,17.430000,7.172041,71600
2010-09-09,17.629999,17.629999,17.309999,17.400000,7.159698,77300
2010-09-10,17.580000,17.639999,17.450001,17.620001,7.250224,154200
2010-09-13,17.870001,18.450001,17.870001,18.370001,7.558831,423500
2010-09-14,18.500000,18.500000,17.980000,18.139999,7.464191,202200
2010-09-15,18.180000,18.250000,17.900000,18.000000,7.406584,117200
2010-09-16,18.110001,18.129999,17.799999,17.950001,7.386012,133900
2010-09-17,17.920000,18.490000,17.920000,18.490000,7.608208,158200
2010-09-20,18.340000,18.680000,18.219999,18.410000,7.575289,273100
2010-09-21,18.500000,18.500000,18.059999,18.250000,7.509453,164400
2010-09-22,18.250000,18.389999,17.910000,18.090000,7.443622,172400
2010-09-23,18.000000,18.389999,18.000000,18.049999,7.427156,76800
2010-09-24,18.299999,18.420000,18.100000,18.309999,7.534142,88900
2010-09-27,18.280001,18.400000,18.200001,18.350000,7.550596,152700
2010-09-28,18.410000,18.690001,18.330000,18.459999,7.595862,189000
2010-09-29,18.629999,18.690001,18.360001,18.639999,7.669931,124400
2010-09-30,18.690001,18.700001,18.430000,18.680000,7.686388,99800
2010-10-01,18.750000,18.990000,18.559999,18.990000,7.813948,167800
2010-10-04,19.000000,19.090000,18.790001,18.840000,7.752225,149100
2010-10-05,18.969999,19.340000,18.969999,19.240000,7.916815,327800
2010-10-06,19.240000,19.690001,19.200001,19.610001,8.069062,301000
2010-10-07,19.570000,19.680000,19.120001,19.450001,8.003223,185800
2010-10-08,19.450001,19.650000,19.320000,19.549999,8.044373,141200
2010-10-11,19.780001,20.389999,19.650000,19.879999,8.180159,223900
2010-10-12,19.940001,20.500000,19.510000,20.190001,8.307719,249700
2010-10-13,20.500000,20.500000,20.110001,20.400000,8.394128,188600
2010-10-14,20.420000,20.959999,20.360001,20.500000,8.435276,180400
2010-10-15,20.219999,20.549999,19.969999,20.370001,8.381786,163000
2010-10-18,20.379999,20.840000,20.250000,20.740000,8.534030,147200
2010-10-19,20.740000,20.900000,20.250000,20.500000,8.435276,238900
2010-10-20,20.350000,20.850000,20.200001,20.570000,8.464080,367500
2010-10-21,20.570000,20.820000,20.490000,20.530001,8.447622,191200
2010-10-22,20.530001,20.590000,20.100000,20.100000,8.270683,217000
2010-10-25,20.160000,20.459999,20.160000,20.430000,8.406473,246300
2010-10-26,20.389999,20.549999,20.230000,20.450001,8.414701,152700
2010-10-27,20.549999,20.549999,20.170000,20.180000,8.303604,234400
2010-10-28,20.600000,20.600000,19.070000,19.500000,8.196418,345800
2010-10-29,19.250000,19.450001,18.820000,19.180000,8.061916,399200
2010-11-01,19.219999,19.219999,18.809999,18.959999,7.969440,288100
2010-11-02,18.980000,19.190001,18.500000,18.719999,7.868561,470200
2010-11-03,18.860001,19.059999,18.799999,18.950001,7.965239,220600
2010-11-04,18.910000,19.100000,18.770000,18.860001,7.927408,361900
2010-11-05,18.790001,18.930000,18.580000,18.690001,7.855954,301500
2010-11-08,18.510000,19.690001,18.510000,19.549999,8.217437,405200
2010-11-09,19.570000,19.730000,19.120001,19.309999,8.116561,278500
2010-11-10,19.500000,19.650000,19.120001,19.209999,8.074523,110800
2010-11-11,19.150000,19.549999,19.150000,19.450001,8.175405,98300
2010-11-12,19.629999,19.980000,19.270000,19.580000,8.230044,161500
2010-11-15,19.799999,19.990000,19.660000,19.660000,8.263673,219800
2010-11-16,19.610001,19.840000,19.230000,19.650000,8.259471,214000
2010-11-17,19.530001,19.940001,19.459999,19.469999,8.183808,144000
2010-11-18,19.549999,19.990000,19.549999,19.580000,8.230044,113000
2010-11-19,19.820000,19.830000,19.350000,19.540001,8.213235,265900
2010-11-22,19.490000,19.850000,19.420000,19.600000,8.238452,129300
2010-11-23,19.740000,19.799999,19.600000,19.670000,8.267873,137400
2010-11-24,19.709999,19.900000,19.709999,19.900000,8.364552,158200
2010-11-26,20.100000,20.100000,19.879999,19.980000,8.398180,105600
2010-11-29,19.950001,20.180000,19.850000,20.030001,8.419196,144100
2010-11-30,20.090000,20.100000,19.770000,19.930000,8.377162,168100
2010-12-01,19.930000,19.990000,19.750000,19.770000,8.309908,128500
2010-12-02,19.969999,19.969999,19.370001,19.500000,8.196418,228200
2010-12-03,19.340000,19.379999,18.930000,19.110001,8.032489,252500
2010-12-06,19.059999,19.500000,19.020000,19.490000,8.192217,137800
2010-12-07,19.549999,19.889999,19.540001,19.750000,8.301501,131300
2010-12-08,19.610001,19.840000,19.590000,19.830000,8.335130,59200
2010-12-09,19.700001,19.860001,19.700001,19.850000,8.343535,60700
2010-12-10,19.860001,19.940001,19.680000,19.750000,8.301501,82600
2010-12-13,19.750000,19.900000,19.570000,19.770000,8.309908,142700
2010-12-14,19.780001,19.870001,19.740000,19.750000,8.301501,74000
2010-12-15,19.850000,19.850000,19.360001,19.730000,8.293096,133800
2010-12-16,19.629999,19.830000,19.290001,19.650000,8.259471,65700
2010-12-17,19.840000,19.840000,19.459999,19.549999,8.217437,84500
2010-12-20,19.680000,19.840000,19.520000,19.780001,8.314114,118400
2010-12-21,19.900000,19.920000,19.750000,19.860001,8.347742,118700
2010-12-22,19.930000,19.990000,19.750000,19.969999,8.393976,114700
2010-12-23,20.000000,20.389999,19.950001,20.309999,8.536886,172900
2010-12-27,20.389999,20.450001,19.910000,20.450001,8.595733,140600
2010-12-28,20.330000,20.760000,20.330000,20.730000,8.713425,158500
2010-12-29,20.430000,21.010000,20.340000,20.809999,8.747051,257700
2010-12-30,21.000000,21.090000,20.820000,21.000000,8.826913,105100
2010-12-31,21.090000,21.490000,21.010000,21.309999,8.957216,153900
2011-01-03,21.350000,21.830000,21.250000,21.600000,9.079111,356900
2011-01-04,21.600000,21.830000,21.260000,21.480000,9.028672,166100
2011-01-05,21.270000,21.980000,21.260000,21.790001,9.158978,161800
2011-01-06,21.709999,22.600000,21.650000,21.940001,9.222021,187900
2011-01-07,22.000000,22.200001,21.850000,22.120001,9.297680,142300
2011-01-10,22.250000,23.150000,22.020000,23.000000,9.667572,459300
2011-01-11,23.000000,24.000000,23.000000,23.900000,10.045867,335800
2011-01-12,23.990000,24.540001,23.580000,24.150000,10.150949,281000
2011-01-13,24.150000,24.400000,23.950001,24.290001,10.209794,252300
2011-01-14,24.180000,24.230000,23.799999,24.100000,10.129935,244200
