Date,Open,High,Low,Close,Volume
1992-02-28,10.125,10.5,10.125,10.5,247900
1992-03-02,10.375,10.5,10.375,10.5,144500
1992-03-03,10.625,10.625,10.5,10.5,21800
1992-03-04,10.5,10.75,10.375,10.5,163800
1992-03-05,10.5,10.5,10.375,10.375,19800
1992-03-06,10.375,10.375,10.375,10.375,22400
1992-03-09,10.5,10.5,10.5,10.5,2300
1992-03-10,10.375,10.5,10.0,10.5,19300
1992-03-11,10.5,10.5,10.375,10.5,92800
1992-03-12,10.5,10.5,10.375,10.5,19500
1992-03-13,10.5,10.5,10.5,10.5,9000
1992-03-16,10.5,10.625,10.5,10.5,10000
1992-03-17,10.5,10.5,10.375,10.5,8600
1992-03-18,10.5,10.5,10.5,10.5,1000
1992-03-19,10.375,10.375,10.375,10.375,16500
1992-03-20,10.5,10.5,10.375,10.375,14200
1992-03-23,10.5,10.5,10.5,10.5,3100
1992-03-24,10.5,10.75,10.375,10.75,38400
1992-03-25,10.625,10.75,10.625,10.625,6400
1992-03-26,10.875,11.0,10.75,10.75,55000
1992-03-27,10.875,10.875,10.5,10.625,23200
1992-03-30,10.5,10.875,10.5,10.875,7200
1992-03-31,10.875,10.875,10.75,10.875,9700
1992-04-01,10.875,10.875,10.75,10.75,6600
1992-04-02,10.75,10.75,10.75,10.75,5600
1992-04-03,10.625,10.75,10.625,10.75,9200
1992-04-06,10.75,10.875,10.75,10.875,7400
1992-04-07,11.0,11.0,10.75,10.75,7700
1992-04-08,10.75,10.875,10.75,10.875,40100
1992-04-09,11.0,11.0,10.875,10.875,18600
1992-04-10,11.0,11.0,11.0,11.0,4200
1992-04-13,11.0,11.0,10.75,10.75,2100
1992-04-14,10.75,10.75,10.75,10.75,3100
1992-04-15,10.75,10.75,10.5,10.5,14600
1992-04-16,10.5,10.5,10.5,10.5,0
1992-04-20,10.625,10.625,10.625,10.625,1000
1992-04-21,10.625,10.75,10.625,10.75,6100
1992-04-22,10.625,10.75,10.625,10.75,1800
1992-04-23,10.625,10.625,10.5,10.625,10400
1992-04-24,10.5,10.5,10.5,10.5,4900
1992-04-27,10.375,10.5,10.375,10.5,1200
1992-04-28,10.5,10.5,10.5,10.5,0
1992-04-29,10.75,10.75,10.75,10.75,1800
1992-04-30,10.75,10.75,10.75,10.75,2200
1992-05-01,10.625,10.625,10.5,10.5,4500
1992-05-04,10.625,10.625,10.5,10.5,4500
