Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,5.694444,5.714444,5.494444,5.550000,4.377678,50195700
2010-06-30,5.543333,5.600000,5.491111,5.514444,4.349632,41931900
2010-07-01,5.538889,5.595556,5.343333,5.458889,4.305812,48389400
2010-07-02,5.463333,5.494444,5.273333,5.300000,4.180484,54517500
2010-07-06,5.421111,5.452222,5.222222,5.275556,4.161204,57115800
2010-07-07,5.300000,5.496667,5.287778,5.478889,4.321589,53479800
2010-07-08,5.520000,5.652222,5.503333,5.640000,4.448668,72176400
2010-07-09,5.683333,5.791111,5.662222,5.751111,4.536309,56438100
2010-07-12,5.766667,5.846667,5.718889,5.828889,4.597656,65934900
2010-07-13,5.864444,5.988889,5.644444,5.746667,4.532804,134613000
2010-07-14,5.715556,5.844444,5.666667,5.771111,4.552083,71396100
2010-07-15,5.778889,5.793333,5.662222,5.780000,4.559094,52962300
2010-07-16,5.743333,5.755556,5.512222,5.568889,4.392577,73566000
2010-07-19,5.607778,5.616667,5.482222,5.532222,4.363654,42049800
2010-07-20,5.444444,5.641111,5.444444,5.623333,4.435522,45072000
2010-07-21,5.666667,5.666667,5.502222,5.557778,4.383813,33718500
2010-07-22,5.647778,5.812222,5.647778,5.746667,4.532804,36249300
2010-07-23,5.756667,5.887778,5.754444,5.850000,4.614310,51245100
2010-07-26,5.862222,6.026667,5.826667,5.984444,4.720355,38530800
2010-07-27,6.037778,6.037778,5.872222,5.887778,4.644107,46889100
2010-07-28,5.861111,5.891111,5.794444,5.856667,4.619566,33647400
2010-07-29,5.893333,5.936667,5.777778,5.833333,4.601164,26430300
2010-07-30,5.765556,5.881111,5.731111,5.857778,4.620444,27997200
2010-08-02,5.974444,5.994444,5.885556,5.986667,4.722110,22495500
2010-08-03,5.957778,6.011111,5.880000,5.968889,4.708085,19266300
2010-08-04,5.998889,6.038889,5.970000,6.034444,4.759793,20431800
2010-08-05,5.998889,6.071111,5.974444,6.065556,4.784334,23043600
2010-08-06,5.990000,6.025556,5.846667,5.933333,4.680041,30544200
2010-08-09,5.954444,6.000000,5.915556,5.985556,4.721233,23235300
2010-08-10,5.916667,5.946667,5.831111,5.927778,4.675657,25593300
2010-08-11,5.805556,5.832222,5.604444,5.672222,4.474084,37320300
2010-08-12,5.586667,5.676667,5.523333,5.635556,4.445161,34457400
2010-08-13,5.614444,5.665556,5.596667,5.598889,4.416240,23174100
2010-08-16,5.562222,5.626667,5.525556,5.586667,4.406600,20747700
2010-08-17,5.652222,5.756667,5.645556,5.695556,4.492490,22165200
2010-08-18,5.703333,5.776667,5.656667,5.745556,4.531928,21443400
2010-08-19,5.717778,5.717778,5.515556,5.587778,4.407476,25030800
2010-08-20,5.527778,5.576667,5.455556,5.532222,4.363654,25562700
2010-08-23,5.528889,5.543333,5.397778,5.404444,4.262867,30404700
2010-08-24,5.326667,5.337778,5.194444,5.272222,4.158573,47839500
2010-08-25,5.216667,5.341111,5.167778,5.311111,4.189248,29897100
2010-08-26,5.351111,5.450000,5.335556,5.384444,4.247092,41910300
2010-08-27,5.395556,5.563333,5.361111,5.532222,4.385375,34322400
2010-08-30,5.502222,5.568889,5.455556,5.456667,4.325482,21658500
2010-08-31,5.421111,5.581111,5.408889,5.543333,4.394182,34017300
2010-09-01,5.624444,5.791111,5.614444,5.772222,4.575623,42341400
2010-09-02,5.780000,5.883333,5.731111,5.873333,4.655772,31276800
2010-09-03,5.926667,6.033333,5.914444,5.963333,4.727114,30897900
2010-09-07,5.935556,6.000000,5.901111,5.941111,4.709498,28706400
2010-09-08,5.975556,6.110000,5.962222,6.072222,4.813430,37596600
2010-09-09,6.133333,6.135556,5.952222,5.996667,4.753538,29829600
2010-09-10,6.027778,6.121111,6.026667,6.080000,4.819595,29511000
2010-09-13,6.160000,6.166667,6.097778,6.120000,4.851304,16139700
2010-09-14,6.106667,6.200000,6.083333,6.124444,4.854826,17591400
2010-09-15,6.125556,6.198889,6.105556,6.165556,4.887417,21491100
2010-09-16,6.125556,6.143333,6.035556,6.084444,4.823120,28409400
2010-09-17,6.100000,6.161111,6.066667,6.100000,4.835450,50860800
2010-09-20,6.123333,6.166667,6.100000,6.140000,4.867158,24924600
2010-09-21,6.154444,6.311111,6.143333,6.227778,4.936740,30657600
2010-09-22,6.197778,6.223333,6.138889,6.155556,4.879490,23290200
2010-09-23,6.101111,6.136667,6.023333,6.043333,4.790531,20044800
2010-09-24,6.070000,6.237778,6.063333,6.237778,4.944667,29448000
2010-09-27,6.227778,6.251111,6.200000,6.204444,4.918243,15358500
2010-09-28,6.224444,6.242222,6.102222,6.203333,4.917361,25877700
2010-09-29,6.164444,6.217778,6.134444,6.184444,4.902389,21137400
2010-09-30,6.221111,6.255556,6.097778,6.146667,4.872443,22689900
2010-10-01,6.177778,6.185556,6.058889,6.128889,4.858350,24675300
2010-10-04,6.100000,6.174444,5.994444,6.050000,4.795816,22871700
2010-10-05,6.133333,6.257778,6.107778,6.228889,4.937617,22646700
2010-10-06,6.211111,6.312222,6.181111,6.312222,5.003678,27100800
2010-10-07,6.333333,6.337778,6.250000,6.298889,4.993109,30992400
2010-10-08,6.320000,6.418889,6.276667,6.387778,5.063570,19017900
2010-10-11,6.423333,6.546667,6.400000,6.463333,5.123463,41043600
2010-10-12,6.426667,6.443333,6.317778,6.362222,5.043312,54145800
2010-10-13,6.634444,6.683333,6.547778,6.628889,5.254699,98575200
2010-10-14,6.655556,6.665556,6.511111,6.658889,5.278480,38633400
2010-10-15,6.734444,6.737778,6.573333,6.615556,5.244130,28385100
