Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,7.040000,7.040000,6.500000,6.560000,5.930398,54900
2010-06-30,6.600000,6.680000,6.450000,6.460000,5.839995,52500
2010-07-01,6.490000,6.580000,6.400000,6.450000,5.830955,26700
2010-07-02,6.520000,6.520000,6.260000,6.260000,5.659190,28500
2010-07-06,6.400000,6.640000,6.250000,6.270000,5.668230,45900
2010-07-07,6.320000,6.550000,6.270000,6.550000,5.921359,34400
2010-07-08,6.600000,6.740000,6.420000,6.730000,6.084082,54500
2010-07-09,6.730000,7.310000,6.620000,7.250000,6.554174,78100
2010-07-12,7.180000,7.500000,7.130000,7.260000,6.563214,50900
2010-07-13,7.500000,7.910000,7.390000,7.850000,7.096588,55400
2010-07-14,7.840000,7.880000,7.630000,7.860000,7.105628,31100
2010-07-15,7.820000,7.960000,7.780000,7.940000,7.177951,29100
2010-07-16,7.850000,7.910000,7.680000,7.750000,7.006186,83900
2010-07-19,7.770000,7.890000,7.710000,7.840000,7.087549,21100
2010-07-20,7.720000,7.910000,7.690000,7.880000,7.123709,51500
2010-07-21,7.960000,7.990000,7.690000,7.690000,6.951945,22500
2010-07-22,7.830000,8.260000,7.790000,8.260000,7.467239,75000
2010-07-23,8.180000,8.400000,7.920000,8.360000,7.557641,31400
2010-07-26,8.360000,8.450000,8.060000,8.440000,7.629961,47900
2010-07-27,8.460000,8.490000,8.170000,8.290000,7.494359,29700
2010-07-28,8.250000,8.250000,7.850000,7.860000,7.105628,33700
2010-07-29,7.930000,8.190000,7.850000,7.850000,7.096588,25000
2010-07-30,7.700000,8.070000,7.700000,8.000000,7.232193,103800
2010-08-02,8.160000,8.280000,8.060000,8.200000,7.412996,21400
2010-08-03,8.140000,8.640000,7.690000,8.360000,7.557641,69400
2010-08-04,8.390000,8.390000,7.670000,7.780000,7.033307,42700
2010-08-05,7.690000,7.930000,7.560000,7.660000,6.924824,15900
2010-08-06,7.530000,7.730000,7.320000,7.500000,6.780180,23800
2010-08-09,7.580000,7.780000,7.530000,7.760000,7.015226,16100
2010-08-10,7.620000,7.840000,7.360000,7.540000,6.816341,46100
2010-08-11,7.360000,7.590000,6.930000,7.050000,6.373369,148600
2010-08-12,6.920000,7.270000,6.910000,7.010000,6.337210,52400
2010-08-13,7.090000,7.280000,7.030000,7.090000,6.409530,51800
2010-08-16,7.030000,7.450000,6.920000,7.040000,6.364329,54600
2010-08-17,7.160000,7.690000,7.050000,7.110000,6.427612,98900
2010-08-18,7.080000,7.220000,7.030000,7.130000,6.445692,45700
2010-08-19,7.110000,7.350000,7.020000,7.060000,6.382410,84900
2010-08-20,7.080000,7.370000,6.980000,7.180000,6.490892,89400
2010-08-23,7.250000,7.500000,6.600000,6.700000,6.056961,83300
2010-08-24,6.570000,6.950000,6.570000,6.750000,6.102162,29600
2010-08-25,6.720000,7.000000,6.600000,6.930000,6.264886,81900
2010-08-26,6.960000,7.000000,6.600000,6.680000,6.038881,58700
2010-08-27,6.780000,7.250000,6.780000,7.180000,6.490892,50300
2010-08-30,7.120000,7.150000,6.540000,6.550000,5.921359,118000
2010-08-31,6.560000,6.730000,6.230000,6.280000,5.677271,86700
2010-09-01,6.410000,6.620000,6.370000,6.580000,5.948478,48400
2010-09-02,6.550000,6.810000,6.550000,6.750000,6.102162,40900
2010-09-03,6.860000,7.090000,6.860000,7.060000,6.382410,58000
2010-09-07,7.040000,7.050000,6.870000,6.880000,6.219685,42500
2010-09-08,6.920000,7.010000,6.920000,6.980000,6.310087,6100
2010-09-09,7.110000,7.250000,7.060000,7.160000,6.472813,16400
2010-09-10,7.180000,7.240000,7.130000,7.140000,6.454732,15900
2010-09-13,7.230000,7.430000,7.230000,7.380000,6.671697,27400
2010-09-14,7.360000,7.420000,7.180000,7.380000,6.671697,50200
2010-09-15,7.310000,7.500000,7.310000,7.440000,6.725938,40300
2010-09-16,7.400000,7.400000,7.310000,7.380000,6.671697,13200
2010-09-17,7.490000,7.490000,7.320000,7.390000,6.680737,40200
2010-09-20,7.400000,7.500000,7.350000,7.490000,6.771141,27800
2010-09-21,7.460000,7.520000,7.250000,7.430000,6.716898,30500
2010-09-22,7.380000,7.480000,7.320000,7.410000,6.698818,10700
2010-09-23,7.330000,7.400000,7.200000,7.200000,6.508973,14000
2010-09-24,7.320000,7.450000,7.030000,7.450000,6.734980,23900
2010-09-27,7.500000,7.770000,7.500000,7.710000,6.970026,31100
2010-09-28,7.770000,7.910000,7.400000,7.640000,6.906744,78800
2010-09-29,7.620000,7.770000,7.330000,7.550000,6.825382,62000
2010-09-30,7.680000,7.680000,7.460000,7.640000,6.906744,33300
2010-10-01,7.730000,7.790000,7.720000,7.790000,7.042348,27200
2010-10-04,7.790000,7.850000,7.720000,7.790000,7.042348,28200
2010-10-05,7.890000,8.130000,7.820000,8.060000,7.286433,34700
2010-10-06,8.050000,8.130000,7.900000,8.050000,7.277393,31500
2010-10-07,8.030000,8.100000,7.850000,8.020000,7.250273,36600
2010-10-08,7.890000,8.210000,7.890000,8.160000,7.376837,20200
2010-10-11,8.130000,8.130000,7.870000,7.880000,7.123709,12700
