Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,7.130000,7.330000,6.850000,7.000000,6.870405,13400
2010-06-30,7.000000,7.040000,6.750000,6.760000,6.634849,14500
2010-07-01,7.250000,7.500000,7.140000,7.280000,7.145222,147200
2010-07-02,7.570000,7.840000,7.400000,7.760000,7.616335,95700
2010-07-06,7.800000,7.880000,7.420000,7.630000,7.488742,62100
2010-07-07,7.650000,7.990000,7.550000,7.890000,7.743928,37800
2010-07-08,8.000000,8.120000,7.770000,8.060000,7.910781,41500
2010-07-09,8.100000,8.600000,8.100000,8.560000,8.401525,404200
2010-07-12,8.600000,8.780000,8.570000,8.720000,8.558561,127900
2010-07-13,8.780000,8.780000,8.640000,8.750000,8.588008,66800
2010-07-14,8.750000,8.800000,8.750000,8.780000,8.617452,21600
2010-07-15,8.780000,8.800000,8.740000,8.800000,8.637080,35700
2010-07-16,8.750000,8.840000,8.400000,8.500000,8.342635,304800
2010-07-19,8.530000,8.620000,8.460000,8.530000,8.372080,41800
2010-07-20,8.360000,8.530000,8.040000,8.530000,8.372080,23800
2010-07-21,8.500000,8.500000,8.040000,8.280000,8.126708,63600
2010-07-22,8.800000,8.800000,8.110000,8.350000,8.195413,61300
2010-07-23,8.490000,8.590000,8.350000,8.400000,8.244487,30100
2010-07-26,8.460000,9.100000,8.450000,9.000000,8.833379,243900
2010-07-27,9.270000,9.430000,9.100000,9.160000,8.990417,140200
2010-07-28,9.220000,9.830000,9.220000,9.480000,9.304492,104400
2010-07-29,9.720000,9.890000,9.480000,9.580000,9.402640,158300
2010-07-30,9.680000,9.790000,9.350000,9.390000,9.216159,86300
2010-08-02,9.450000,9.900000,9.120000,9.500000,9.324121,133800
2010-08-03,9.600000,9.750000,8.920000,8.980000,8.813749,201300
2010-08-04,9.210000,9.580000,9.170000,9.540000,9.363380,93500
2010-08-05,9.470000,9.470000,9.090000,9.330000,9.157269,34300
2010-08-06,9.300000,9.540000,9.030000,9.160000,8.990417,43100
2010-08-09,9.290000,9.350000,8.250000,8.530000,8.372080,157200
2010-08-10,8.430000,8.440000,8.100000,8.130000,7.979485,56700
2010-08-11,7.930000,7.930000,7.330000,7.640000,7.498557,135600
2010-08-12,7.560000,7.990000,7.410000,7.940000,7.793003,64200
2010-08-13,7.940000,8.250000,7.900000,8.000000,7.851892,101900
2010-08-16,7.850000,8.210000,7.720000,8.000000,7.851892,149600
2010-08-17,8.120000,8.420000,8.100000,8.390000,8.234673,31100
2010-08-18,8.300000,8.360000,8.070000,8.150000,7.999115,75400
2010-08-19,7.960000,8.070000,7.200000,7.380000,7.243371,282300
2010-08-20,7.320000,7.420000,6.930000,7.220000,7.086333,458700
2010-08-23,7.220000,7.460000,6.940000,7.120000,6.988183,130400
2010-08-24,7.050000,7.200000,6.920000,7.020000,6.890035,53000
2010-08-25,6.930000,7.000000,6.620000,6.710000,6.585774,227700
2010-08-26,6.710000,6.960000,6.690000,6.870000,6.742812,32300
2010-08-27,6.980000,7.390000,6.790000,7.350000,7.213925,38100
2010-08-30,7.180000,7.420000,6.940000,7.030000,6.899851,125900
2010-08-31,7.000000,7.000000,6.650000,6.680000,6.556330,220000
2010-09-01,6.730000,7.270000,6.730000,7.080000,6.948925,30100
2010-09-02,7.100000,7.100000,6.890000,7.030000,6.899851,15700
2010-09-03,7.060000,7.400000,7.060000,7.400000,7.263000,29900
2010-09-07,7.420000,7.680000,7.360000,7.570000,7.429852,41900
2010-09-08,7.660000,7.990000,7.510000,7.710000,7.567261,69500
2010-09-09,7.730000,7.730000,7.350000,7.610000,7.469112,61000
2010-09-10,7.720000,8.000000,7.720000,7.880000,7.734114,29200
2010-09-13,8.000000,8.170000,7.900000,7.980000,7.832263,29300
2010-09-14,8.010000,8.410000,7.990000,8.120000,7.969670,21900
2010-09-15,8.130000,8.180000,8.000000,8.000000,7.851892,18300
2010-09-16,8.030000,8.120000,7.810000,7.860000,7.714484,78000
2010-09-17,7.980000,8.260000,7.860000,8.090000,7.940226,42400
2010-09-20,8.170000,8.170000,7.740000,7.800000,7.655594,99400
2010-09-21,7.760000,8.040000,7.430000,7.970000,7.822447,52100
2010-09-22,7.880000,8.000000,7.820000,7.900000,7.753743,68500
2010-09-23,7.860000,8.070000,7.850000,8.050000,7.900967,23300
2010-09-24,8.100000,8.100000,7.920000,8.000000,7.851892,28700
2010-09-27,7.980000,8.070000,7.890000,7.920000,7.773374,30300
2010-09-28,7.960000,8.000000,7.720000,7.950000,7.802817,25500
2010-09-29,7.950000,7.960000,7.740000,7.750000,7.606521,66000
2010-09-30,7.750000,7.750000,7.230000,7.470000,7.331704,145600
2010-10-01,7.540000,7.670000,7.330000,7.660000,7.518187,44000
2010-10-04,7.600000,7.650000,7.210000,7.360000,7.223741,48400
2010-10-05,7.490000,7.640000,7.240000,7.440000,7.302259,85600
2010-10-06,7.460000,7.580000,7.000000,7.060000,6.929294,42200
