Date,Open,High,Low,Close,Volume
1991-07-12,5.0,5.0625,4.9375,5.0,6450000
1991-07-15,5.0,5.125,5.0,5.0625,1151400
1991-07-16,5.125,5.5,5.0625,5.3125,722800
1991-07-17,5.25,5.375,5.25,5.375,762800
1991-07-18,5.1875,5.375,5.1875,5.3125,876800
1991-07-19,5.125,5.375,5.125,5.25,496200
1991-07-22,5.25,5.25,5.0,5.0,153200
1991-07-23,5.0625,5.125,5.0,5.0,259600
1991-07-24,5.0625,5.0625,5.0,5.0,719600
1991-07-25,5.125,5.125,5.0625,5.125,91200
1991-07-26,5.1875,5.25,5.125,5.25,548800
1991-07-29,5.25,5.25,5.1875,5.1875,215200
1991-07-30,5.25,5.375,5.1875,5.375,403000
1991-07-31,5.5,5.5,5.3125,5.3125,534200
1991-08-01,5.4375,5.4375,5.1875,5.25,677400
1991-08-02,5.3125,5.375,4.9375,4.9375,569000
1991-08-05,5.0,5.125,5.0,5.0625,492600
1991-08-06,5.0,5.125,5.0,5.0,148200
1991-08-07,5.0,5.125,5.0,5.125,238400
1991-08-08,5.0,5.0625,5.0,5.0,353200
1991-08-09,5.0,5.125,5.0,5.125,122800
1991-08-12,5.125,5.125,5.0,5.0625,23000
1991-08-13,5.125,5.125,5.0625,5.125,173800
1991-08-14,5.125,5.1875,5.0625,5.125,599600
1991-08-15,5.125,5.1875,5.0625,5.125,79800
1991-08-16,5.25,5.25,5.125,5.125,93000
1991-08-19,4.9375,5.0625,4.6875,4.9375,460400
1991-08-20,4.9375,5.125,4.9375,5.125,558600
1991-08-21,5.0625,5.3125,5.0625,5.3125,212200
1991-08-22,5.1875,5.375,5.1875,5.3125,471800
1991-08-23,5.375,5.5625,5.25,5.4375,767600
1991-08-26,5.5625,5.6875,5.4375,5.5625,774800
1991-08-27,5.6875,5.9375,5.5625,5.875,373000
1991-08-28,5.9375,6.625,5.875,6.5,1031400
1991-08-29,6.6875,6.6875,6.25,6.4375,365400
1991-08-30,6.5,6.6875,6.25,6.6875,327200
1991-09-03,6.6875,6.6875,6.375,6.5625,214200
1991-09-04,6.5,6.5,6.25,6.4375,219400
1991-09-05,6.4375,6.5625,6.25,6.5625,456600
1991-09-06,6.5625,6.625,6.5,6.625,76600
1991-09-09,6.6875,6.6875,6.5,6.625,65000
1991-09-10,6.6875,6.6875,6.3125,6.5,354400
1991-09-11,6.5625,6.5625,6.4375,6.5625,100200
1991-09-12,6.5625,6.625,6.5625,6.625,10400
1991-09-13,6.5625,6.75,6.5625,6.625,177400
1991-09-16,6.6875,6.75,6.625,6.625,42200
1991-09-17,6.75,6.75,6.5625,6.6875,486400
1991-09-18,6.75,6.75,6.625,6.625,72200
1991-09-19,6.5625,6.875,6.5625,6.875,445400
1991-09-20,6.875,7.125,6.6875,7.0625,124400
1991-09-23,7.0625,7.1875,7.0,7.125,181200
1991-09-24,7.1875,7.5625,7.1875,7.4375,251200
1991-09-25,7.5,7.5,7.0625,7.375,372600
1991-09-26,7.375,7.375,7.25,7.3125,14200
1991-09-27,7.3125,7.3125,6.5,6.75,342200
1991-09-30,6.75,6.75,6.625,6.75,233400
1991-10-01,6.75,6.8125,6.625,6.625,9800
1991-10-02,6.6875,6.6875,6.5,6.5625,17400
1991-10-03,6.5,6.625,6.5,6.625,7400
1991-10-04,6.625,7.0625,6.625,6.875,261200
1991-10-07,6.9375,7.0,6.5625,6.5625,195800
1991-10-08,6.6875,6.6875,6.375,6.5625,69000
1991-10-09,6.625,6.625,6.375,6.4375,201000
1991-10-10,6.4375,6.4375,6.3125,6.4375,158400
1991-10-11,6.5625,6.8125,6.5,6.8125,159400
1991-10-14,6.8125,6.875,6.625,6.875,47600
1991-10-15,6.875,6.9375,6.75,6.9375,161800
1991-10-16,7.0,7.0625,6.8125,7.0625,219000
1991-10-17,7.0,7.0625,6.9375,7.0,226400
1991-10-18,7.0625,7.0625,6.875,6.9375,180600
1991-10-21,7.0,7.0,6.6875,6.6875,71800
1991-10-22,6.875,6.875,6.6875,6.875,8600
1991-10-23,6.875,6.875,6.75,6.8125,20400
1991-10-24,6.8125,6.875,6.6875,6.8125,69200
1991-10-25,6.8125,6.8125,6.5625,6.6875,64800
1991-10-28,6.6875,6.6875,6.5625,6.6875,17000
1991-10-29,6.6875,6.75,6.5625,6.75,71200
1991-10-30,6.75,6.75,6.625,6.625,266200
1991-10-31,6.75,7.1875,6.6875,7.0625,1216800
1991-11-01,7.0,7.0625,6.625,6.8125,718400
1991-11-04,6.8125,6.8125,6.625,6.6875,1764200
1991-11-05,6.625,6.8125,6.625,6.6875,474000
1991-11-06,6.8125,6.8125,6.6875,6.8125,117000
1991-11-07,6.8125,7.0625,6.6875,6.875,100400
1991-11-08,6.9375,6.9375,6.75,6.875,407200
1991-11-11,6.9375,6.9375,6.75,6.75,320800
1991-11-12,6.875,6.875,6.75,6.875,246600
1991-11-13,6.625,6.8125,6.5625,6.5625,102600
1991-11-14,6.5625,6.6875,6.25,6.3125,696400
1991-11-15,6.375,6.5,6.1875,6.1875,154600
1991-11-18,6.3125,6.3125,6.125,6.3125,227600
1991-11-19,6.3125,6.3125,5.8125,5.9375,306800
1991-11-20,5.9375,5.9375,5.8125,5.875,232200
1991-11-21,5.9375,5.9375,5.8125,5.9375,234400
1991-11-22,5.9375,5.9375,5.8125,5.8125,16400
1991-11-25,5.8125,5.9375,5.6875,5.6875,166600
1991-11-26,5.6875,5.875,5.6875,5.8125,257200
1991-11-27,5.875,5.875,5.75,5.8125,44800
1991-11-29,5.75,5.875,5.75,5.875,31000
1991-12-02,5.875,6.375,5.8125,6.375,167800
1991-12-03,6.5,6.5,6.1875,6.25,127800
1991-12-04,6.3125,6.4375,6.25,6.4375,408200
1991-12-05,6.4375,6.6875,6.375,6.5625,111800
1991-12-06,6.6875,6.75,6.5625,6.75,135200
1991-12-09,6.75,6.75,6.5625,6.6875,104800
1991-12-10,6.625,6.6875,6.5,6.625,59800
1991-12-11,6.625,6.625,6.5,6.5,35800
1991-12-12,6.5,6.5625,6.4375,6.4375,92800
1991-12-13,6.4375,6.625,6.4375,6.5625,118400
1991-12-16,6.5625,6.6875,6.5,6.6875,81000
1991-12-17,6.6875,6.6875,6.4375,6.5,72200
1991-12-18,6.3125,6.4375,6.25,6.4375,40400
1991-12-19,6.375,6.375,6.25,6.375,27000
1991-12-20,6.5,6.5,6.3125,6.5,58200
1991-12-23,6.4375,6.4375,6.3125,6.4375,580800
1991-12-24,6.4375,6.5625,6.375,6.5625,285400
1991-12-26,6.4375,6.875,6.4375,6.75,308400
1991-12-27,6.875,6.9375,6.75,6.8125,473200
1991-12-30,7.0,7.0,6.8125,7.0,333800
1991-12-31,7.0,7.375,7.0,7.25,482600
1992-01-02,7.375,7.375,7.0625,7.0625,212800
1992-01-03,7.1875,7.5,7.125,7.375,512400
1992-01-06,7.5625,7.75,7.4375,7.6875,392200
1992-01-07,7.625,7.75,7.625,7.75,141400
1992-01-08,7.5625,7.75,7.5,7.6875,442000
1992-01-09,7.5625,7.875,7.5625,7.875,283200
1992-01-10,7.875,8.0625,7.75,7.9375,593800
1992-01-13,7.9375,8.75,7.875,8.5,367000
1992-01-14,8.5625,8.625,8.3125,8.625,484400
1992-01-15,8.625,8.875,8.5625,8.875,682200
1992-01-16,8.875,8.9375,8.5,8.625,516600
1992-01-17,8.625,8.625,8.4375,8.5625,221800
1992-01-20,8.625,8.625,8.5,8.5625,33800
1992-01-21,8.4375,8.5625,8.125,8.3125,242200
1992-01-22,8.25,8.3125,8.125,8.25,34400
1992-01-23,8.3125,8.5625,8.3125,8.375,880200
1992-01-24,8.3125,8.4375,8.25,8.3125,114800
