Date,Open,High,Low,Close,Volume
1991-11-22,15.0,15.125,15.0,15.125,36200
1991-11-25,15.125,15.125,15.0,15.125,16600
1991-11-26,15.125,15.125,15.0,15.125,11200
1991-11-27,15.125,15.125,15.0,15.0,7700
1991-11-29,15.125,15.125,15.0,15.125,71400
1991-12-02,15.125,15.125,15.0,15.0,9100
1991-12-03,15.0,15.125,15.0,15.125,20400
1991-12-04,15.125,15.125,15.0,15.125,22300
1991-12-05,15.125,15.25,15.0,15.25,68400
1991-12-06,15.25,15.25,15.125,15.25,11800
1991-12-09,15.25,15.25,15.125,15.125,17400
1991-12-10,15.125,15.25,15.125,15.25,4800
1991-12-11,15.125,15.375,15.0,15.375,28900
1991-12-12,15.375,15.375,15.125,15.125,10100
1991-12-13,15.125,15.25,15.125,15.25,4500
1991-12-16,15.25,15.25,15.125,15.25,4500
1991-12-17,15.125,15.25,15.125,15.125,19700
1991-12-18,15.25,15.25,15.125,15.25,10600
1991-12-19,15.0,15.0,14.75,14.75,82900
1991-12-20,14.875,14.875,14.75,14.75,14000
1991-12-23,14.875,14.875,14.75,14.875,24100
1991-12-24,14.875,14.875,14.75,14.75,16500
1991-12-26,14.875,14.875,14.75,14.75,10200
1991-12-27,14.875,14.875,14.75,14.75,14500
1991-12-30,14.875,14.875,14.75,14.875,7000
1991-12-31,14.875,14.875,14.75,14.875,7400
1992-01-02,14.875,14.875,14.75,14.875,55000
1992-01-03,14.75,14.875,14.75,14.875,23800
1992-01-06,14.75,14.875,14.75,14.75,11500
1992-01-07,14.875,14.875,14.75,14.875,5400
1992-01-08,14.875,14.875,14.75,14.875,31300
1992-01-09,14.875,14.875,14.75,14.875,11900
1992-01-10,14.875,14.875,14.75,14.875,31000
1992-01-13,14.75,14.875,14.75,14.875,50300
1992-01-14,14.875,15.0,14.875,14.875,21300
1992-01-15,15.0,15.125,14.875,15.125,21800
1992-01-16,15.0,15.25,15.0,15.0,29900
1992-01-17,15.125,15.125,14.875,15.0,82100
1992-01-20,15.0,15.0,14.875,15.0,28500
1992-01-21,15.0,15.125,15.0,15.125,11400
1992-01-22,15.125,15.125,14.875,15.125,29000
1992-01-23,15.125,15.125,15.0,15.125,27500
1992-01-24,15.125,15.125,15.0,15.125,14400
1992-01-27,15.125,15.125,15.0,15.0,13200
1992-01-28,15.125,15.25,15.0,15.25,11900
1992-01-29,15.25,15.25,15.125,15.125,13700
1992-01-30,15.25,15.25,15.125,15.25,9400
1992-01-31,15.25,15.25,15.125,15.25,14700
1992-02-03,15.125,15.25,15.125,15.25,15600
1992-02-04,15.25,15.25,15.125,15.125,17500
1992-02-05,15.25,15.375,15.125,15.375,20500
1992-02-06,15.375,15.5,15.25,15.5,44000
1992-02-07,15.375,15.75,15.375,15.625,34400
1992-02-10,15.5,15.5,15.375,15.375,49200
1992-02-11,15.375,15.5,15.375,15.5,34000
1992-02-12,15.5,15.5,15.25,15.25,25700
1992-02-13,15.25,15.25,15.125,15.125,12700
1992-02-14,15.0,15.125,15.0,15.125,24400
1992-02-18,15.0,15.125,15.0,15.0,20800
1992-02-19,14.875,15.0,14.875,15.0,21500
1992-02-20,15.0,15.0,14.875,14.875,13500
