Date,Open,High,Low,Close,adjclose,Volume
2000-07-11,10.875,11.625,10.25,11.1875,10.903116226196289,12890300
2000-07-12,12.25,12.4375,11.0625,12.1875,11.87769889831543,2817200
2000-07-13,12.4375,14.75,12.375,14.1875,13.826858520507812,2680400
2000-07-14,14.5625,15.25,12.875,13.25,12.913189888000488,1428900
2000-07-17,13.625,13.625,12.75,13.0625,12.730457305908203,521700
2000-07-18,12.625,12.9375,12.0625,12.5,12.18225383758545,511100
2000-07-19,12.6875,13.0625,11.9375,12.375,12.060430526733398,709100
2000-07-20,12.4375,12.75,11.75,11.8125,11.512229919433594,492600
2000-07-21,11.9375,12.0,11.0625,11.375,11.08584976196289,751800
2000-07-24,11.75,12.5,11.375,12.0,11.694965362548828,724900
2000-07-25,12.21875,12.5,11.625,11.75,11.451319694519043,629900
2000-07-26,11.5,11.875,11.125,11.75,11.451319694519043,528600
2000-07-27,11.6875,11.6875,9.5,10.25,9.989449501037598,830400
2000-07-28,10.375,10.625,9.5,9.8125,9.563069343566895,425900
2000-07-31,9.5625,9.6875,7.75,9.625,9.38033390045166,941700
2000-08-01,9.8125,10.0,9.0,9.4375,9.197600364685059,265900
2000-08-02,9.4375,9.5,8.875,9.0625,8.832134246826172,184200
2000-08-03,8.25,8.875,7.875,8.875,8.649399757385254,354900
2000-08-04,9.5,10.125,9.1875,9.9375,9.684889793395996,373500
2000-08-07,10.1875,10.25,8.5,9.21875,8.984411239624023,402000
2000-08-08,9.375,9.875,8.125,8.4375,8.2230224609375,659500
2000-08-09,8.5625,8.625,8.0,8.125,7.918464660644531,442000
2000-08-10,8.1875,8.25,7.5,7.5,7.309352397918701,428400
2000-08-11,7.5625,7.6875,7.0,7.25,7.065708160400391,708100
2000-08-14,7.359375,7.5,7.0,7.375,7.187530040740967,1109700
2000-08-15,7.875,9.96875,7.8125,8.75,8.52757740020752,2361500
2000-08-16,9.375,9.375,8.625,8.75,8.52757740020752,701100
2000-08-17,8.875,9.875,8.75,9.4375,9.197600364685059,876500
2000-08-18,10.3125,11.5,10.0625,11.0625,10.781293869018555,1266700
2000-08-21,11.125,12.0,10.875,11.0625,10.781293869018555,833800
2000-08-22,11.1875,11.25,10.75,10.8125,10.537650108337402,330700
2000-08-23,10.59375,10.625,9.5,10.125,9.86762523651123,360900
2000-08-24,10.25,11.0625,10.25,11.0,10.72038459777832,402900
2000-08-25,10.6875,10.875,10.0,10.875,10.59856128692627,164300
2000-08-28,10.875,11.25,10.75,10.9375,10.659472465515137,221700
2000-08-29,10.96875,11.125,10.5,11.125,10.842205047607422,206700
2000-08-30,11.09375,11.25,10.75,10.875,10.59856128692627,224300
2000-08-31,10.9375,11.25,10.75,11.125,10.842205047607422,254500
2000-09-01,11.125,11.375,10.75,11.0,10.72038459777832,147200
2000-09-05,11.0,11.0,10.5625,10.71875,10.446283340454102,117800
2000-09-06,10.90625,11.125,9.875,10.0625,9.806713104248047,322000
2000-09-07,10.0625,10.75,10.0,10.5625,10.294004440307617,114400
2000-09-08,10.625,11.0,10.375,10.5625,10.294004440307617,234300
2000-09-11,10.5,10.875,10.3125,10.5625,10.294004440307617,163500
2000-09-12,10.71875,11.0,10.125,10.25,9.989449501037598,203600
2000-09-13,10.375,10.5,10.125,10.125,9.86762523651123,157800
2000-09-14,10.125,10.875,10.125,10.8125,10.537650108337402,197200
2000-09-15,10.875,10.875,9.9375,10.0,9.745803833007812,224500
2000-09-18,10.09375,10.125,9.3125,9.4375,9.197600364685059,181500
