Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,8.290000,8.340000,8.207500,8.222500,3.165142,1584000
2010-06-30,8.192500,8.522500,8.192500,8.437500,3.247903,2838400
2010-07-01,8.397500,8.445000,8.212500,8.382500,3.226731,1126800
2010-07-02,8.422500,8.555000,8.385000,8.442500,3.249828,978400
2010-07-06,8.535000,8.622500,8.425000,8.505000,3.273886,1427200
2010-07-07,8.500000,8.570000,8.482500,8.562500,3.296020,3572400
2010-07-08,8.562500,8.625000,8.510000,8.557500,3.294095,1925200
2010-07-09,8.550000,8.655000,8.540000,8.565000,3.296983,1586800
2010-07-12,8.595000,8.750000,8.527500,8.747500,3.367233,1771200
2010-07-13,8.810000,9.080000,8.677500,9.020000,3.472128,3278000
2010-07-14,9.015000,9.070000,8.922500,8.975000,3.454806,1656800
2010-07-15,9.020000,9.020000,8.837500,8.865000,3.412463,1645600
2010-07-16,8.862500,8.862500,8.750000,8.810000,3.391292,1359200
2010-07-19,8.850000,8.890000,8.750000,8.777500,3.378781,1130800
2010-07-20,8.722500,8.867500,8.652500,8.867500,3.413426,1910000
2010-07-21,8.862500,8.920000,8.805000,8.860000,3.410538,1844400
2010-07-22,8.952500,8.952500,8.820000,8.840000,3.402839,1661200
2010-07-23,8.787500,8.887500,8.730000,8.877500,3.417274,1510000
2010-07-26,8.917500,9.000000,8.900000,8.945000,3.443259,882400
2010-07-27,9.012500,9.012500,8.737500,8.747500,3.367233,1769600
2010-07-28,8.747500,8.775000,8.710000,8.740000,3.364345,918400
2010-07-29,8.762500,8.800000,8.542500,8.717500,3.355685,1770400
2010-07-30,8.697500,8.927500,8.647500,8.890000,3.422087,1372000
2010-08-02,9.000000,9.057500,8.915000,9.050000,3.483677,1053600
2010-08-03,9.065000,9.065000,8.985000,9.015000,3.470205,1266800
2010-08-04,9.012500,9.060000,8.990000,9.025000,3.474053,1393200
2010-08-05,8.907500,8.925000,8.817500,8.925000,3.487731,1059200
2010-08-06,8.902500,8.982500,8.875000,8.960000,3.501407,7854000
2010-08-09,8.707500,8.925000,8.470000,8.675000,3.390034,2450800
2010-08-10,8.617500,8.632500,8.440000,8.547500,3.340209,1812800
2010-08-11,8.450000,8.510000,8.387500,8.455000,3.304062,1833200
2010-08-12,8.417500,8.572500,8.152500,8.525000,3.331418,1715600
2010-08-13,8.525000,8.725000,8.512500,8.667500,3.387103,1033600
2010-08-16,8.680000,8.800000,8.650000,8.702500,3.400781,1245600
2010-08-17,8.810000,8.810000,8.670000,8.687500,3.394919,1013600
2010-08-18,8.677500,8.820000,8.610000,8.797500,3.437905,1931200
2010-08-19,8.787500,8.842500,8.750000,8.772500,3.428137,1124800
2010-08-20,8.767500,8.805000,8.645000,8.777500,3.430090,1180400
2010-08-23,8.770000,8.867500,8.750000,8.775000,3.429112,805600
2010-08-24,8.705000,8.842500,8.687500,8.757500,3.422274,1034400
2010-08-25,8.750000,8.830000,8.710000,8.730000,3.411527,1318800
2010-08-26,8.782500,8.832500,8.730000,8.762500,3.424228,804400
2010-08-27,8.770000,8.847500,8.750000,8.810000,3.442792,838400
2010-08-30,8.835000,8.835000,8.682500,8.687500,3.394919,1172800
2010-08-31,8.675000,8.757500,8.675000,8.687500,3.394919,1124000
2010-09-01,8.777500,8.825000,8.742500,8.785000,3.433021,933600
2010-09-02,8.777500,8.862500,8.710000,8.857500,3.461352,1037200
2010-09-03,8.902500,8.952500,8.750000,8.872500,3.467215,1200400
2010-09-07,8.867500,9.097500,8.862500,9.075000,3.546348,2190800
2010-09-08,9.120000,9.222500,9.092500,9.152500,3.576634,2028800
2010-09-09,9.212500,9.212500,9.115000,9.157500,3.578588,977600
2010-09-10,9.155000,9.172500,9.095000,9.135000,3.569794,1385200
2010-09-13,9.205000,9.205000,9.127500,9.150000,3.575656,1025600
2010-09-14,9.170000,9.225000,9.065000,9.212500,3.600079,1050800
2010-09-15,9.180000,9.330000,9.150000,9.275000,3.624504,1765200
2010-09-16,9.245000,9.272500,9.140000,9.232500,3.607898,584400
2010-09-17,9.247500,9.250000,9.095000,9.107500,3.559047,982400
2010-09-20,9.182500,9.270000,9.117500,9.270000,3.622549,2268800
2010-09-21,9.462500,9.492500,9.292500,9.335000,3.647952,3039200
2010-09-22,9.362500,9.397500,9.197500,9.210000,3.599103,1444400
2010-09-23,9.187500,9.220000,9.062500,9.065000,3.542439,1073600
2010-09-24,9.147500,9.175000,9.107500,9.152500,3.576634,1000800
2010-09-27,9.157500,9.277500,9.157500,9.222500,3.603987,1229600
2010-09-28,9.222500,9.335000,9.177500,9.315000,3.640136,1109200
2010-09-29,9.340000,9.372500,9.277500,9.305000,3.636227,926800
2010-09-30,9.355000,9.355000,9.197500,9.280000,3.626458,1104400
2010-10-01,9.280000,9.370000,9.227500,9.330000,3.645998,1188800
2010-10-04,9.307500,9.357500,9.292500,9.317500,3.641113,767600
2010-10-05,9.325000,9.470000,9.300000,9.440000,3.688982,1430800
2010-10-06,9.457500,9.547500,9.445000,9.532500,3.725130,1090800
2010-10-07,9.560000,9.625000,9.490000,9.622500,3.760301,597600
2010-10-08,9.615000,9.650000,9.530000,9.597500,3.750530,901200
2010-10-11,9.600000,9.725000,9.560000,9.717500,3.797426,939200
2010-10-12,9.677500,9.717500,9.625000,9.687500,3.785702,564800
2010-10-13,9.732500,9.755000,9.700000,9.755000,3.812079,704800
2010-10-14,9.775000,9.832500,9.677500,9.722500,3.799380,661200
2010-10-15,9.730000,9.755000,9.635000,9.747500,3.809149,728800
2010-10-18,9.710000,9.827500,9.710000,9.812500,3.834549,752000
2010-10-19,9.760000,9.772500,9.575000,9.637500,3.766164,1076400
2010-10-20,9.632500,9.755000,9.632500,9.705000,3.792541,598800
2010-10-21,9.730000,9.770000,9.640000,9.720000,3.798403,671200
2010-10-22,9.717500,9.747500,9.655000,9.680000,3.782770,413600
2010-10-25,9.747500,9.810000,9.712500,9.722500,3.799380,669600
2010-10-26,9.700000,9.782500,9.680000,9.762500,3.815009,612800
2010-10-27,9.750000,9.770000,9.685000,9.737500,3.805239,429200
2010-10-28,9.770000,9.795000,9.720000,9.750000,3.810125,619600
2010-10-29,9.765000,9.792500,9.715000,9.777500,3.820872,1054400
2010-11-01,9.772500,9.850000,9.762500,9.845000,3.847250,931200
2010-11-02,9.875000,9.987500,9.862500,9.987500,3.902936,981600
2010-11-03,10.000000,10.000000,9.937500,9.985000,3.901959,682000
2010-11-04,9.937500,10.012500,9.895000,9.925000,3.931670,1168800
2010-11-05,9.960000,10.000000,9.910000,9.962500,3.946525,1109200
2010-11-08,9.975000,10.015000,9.962500,10.015000,3.967322,3992400
2010-11-09,9.947500,10.115000,9.942500,10.115000,4.006937,1519200
2010-11-10,10.067500,10.090000,9.922500,9.997500,3.960391,1412800
2010-11-11,9.960000,9.992500,9.922500,9.957500,3.944545,817600
2010-11-12,9.897500,9.950000,9.852500,9.860000,3.905921,665200
2010-11-15,9.937500,10.000000,9.862500,9.940000,3.937611,819600
