Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,17.719999,17.719999,17.370001,17.540001,5.521540,75100
2010-06-30,17.440001,17.600000,17.309999,17.309999,5.449134,48700
2010-07-01,17.309999,17.370001,16.980000,17.139999,5.395618,90400
2010-07-02,17.250000,17.290001,16.930000,17.000000,5.351549,66700
2010-07-06,17.200001,17.540001,17.100000,17.190001,5.411360,59100
2010-07-07,17.330000,17.760000,17.309999,17.750000,5.587646,56900
2010-07-08,17.900000,17.959999,17.740000,17.809999,5.606531,81900
2010-07-09,17.799999,17.940001,17.799999,17.940001,5.647454,30700
2010-07-12,17.980000,18.020000,17.920000,17.940001,5.647454,23000
2010-07-13,18.180000,18.420000,18.180000,18.330000,5.770227,42600
2010-07-14,18.250000,18.400000,18.180000,18.330000,5.770227,48900
2010-07-15,18.250000,18.400000,18.090000,18.309999,5.763934,43200
2010-07-16,18.290001,18.290001,17.870001,17.910000,5.638011,49300
2010-07-19,17.930000,18.030001,17.860001,18.030001,5.675788,36000
2010-07-20,17.969999,18.200001,17.750000,18.200001,5.729303,37100
2010-07-21,18.180000,18.200001,17.770000,17.910000,5.674492,50300
2010-07-22,18.190001,18.389999,18.170000,18.350000,5.813895,49700
2010-07-23,18.280001,18.500000,18.280001,18.469999,5.851917,52600
2010-07-26,18.530001,18.719999,18.510000,18.709999,5.927958,23900
2010-07-27,18.799999,18.950001,18.770000,18.809999,5.959639,44300
2010-07-28,18.850000,18.860001,18.670000,18.700001,5.924789,43100
2010-07-29,18.809999,18.840000,18.459999,18.700001,5.924789,60500
2010-07-30,18.639999,18.820000,18.600000,18.770000,5.946968,57600
2010-08-02,18.959999,19.129999,18.709999,19.049999,6.035682,49500
2010-08-03,18.969999,19.090000,18.920000,19.010000,6.023009,21300
2010-08-04,19.010000,19.049999,18.959999,19.010000,6.023009,32600
2010-08-05,18.969999,19.000000,18.840000,18.969999,6.010335,36800
2010-08-06,18.900000,18.969999,18.750000,18.940001,6.000828,50200
2010-08-09,19.040001,19.059999,18.889999,19.020000,6.026177,44100
2010-08-10,18.790001,18.980000,18.730000,18.860001,5.975483,61600
2010-08-11,18.690001,18.690001,18.270000,18.270000,5.788555,99000
2010-08-12,18.129999,18.230000,18.070000,18.180000,5.760042,48400
2010-08-13,18.209999,18.379999,18.200001,18.330000,5.807561,35500
2010-08-16,18.330000,18.370001,18.200001,18.330000,5.807561,61400
2010-08-17,18.469999,18.639999,18.469999,18.490000,5.858253,46300
2010-08-18,18.540001,18.690001,18.400000,18.590000,5.889940,67000
2010-08-19,18.790001,18.790001,18.230000,18.370001,5.820236,52100
2010-08-20,18.170000,18.170000,18.020000,18.150000,5.787393,41300
2010-08-23,18.200001,18.290001,18.150000,18.160000,5.790578,38800
2010-08-24,17.910000,17.990000,17.700001,17.900000,5.707676,85900
2010-08-25,17.850000,17.950001,17.590000,17.930000,5.717242,44300
2010-08-26,17.990000,18.070000,17.770000,17.830000,5.685358,45000
2010-08-27,17.870001,18.059999,17.750000,18.020000,5.745942,61900
2010-08-30,17.889999,18.100000,17.830000,17.860001,5.694921,29400
2010-08-31,17.840000,17.980000,17.719999,17.900000,5.707676,33500
2010-09-01,18.030001,18.420000,18.030001,18.350000,5.851162,78000
2010-09-02,18.350000,18.510000,18.350000,18.459999,5.886236,43400
2010-09-03,18.629999,18.750000,18.559999,18.700001,5.962767,50000
2010-09-07,18.700001,18.700001,18.430000,18.430000,5.876677,28300
2010-09-08,18.860001,18.920000,18.500000,18.610001,5.934073,44300
2010-09-09,18.770000,18.850000,18.670000,18.750000,5.978709,41200
2010-09-10,18.770000,18.879999,18.760000,18.870001,6.016978,36400
2010-09-13,19.030001,19.139999,19.030001,19.139999,6.103065,43300
2010-09-14,19.190001,19.340000,19.080000,19.230000,6.131766,36600
2010-09-15,19.160000,19.299999,19.160000,19.200001,6.122200,30400
2010-09-16,19.219999,19.280001,19.120001,19.280001,6.147709,49300
2010-09-17,19.430000,19.450001,19.280001,19.309999,6.157273,38200
2010-09-20,19.370001,19.559999,19.350000,19.510000,6.221046,42800
2010-09-21,19.389999,19.600000,19.299999,19.370001,6.213668,127300
2010-09-22,19.320000,19.500000,19.200001,19.250000,6.175175,82100
2010-09-23,19.200001,19.360001,19.080000,19.160000,6.146304,72700
2010-09-24,19.250000,19.590000,19.250000,19.559999,6.274620,49800
2010-09-27,19.760000,19.760000,19.410000,19.440001,6.236124,75800
2010-09-28,19.500000,19.660000,19.260000,19.600000,6.287450,96400
2010-09-29,19.620001,19.670000,19.540001,19.600000,6.287450,51700
2010-09-30,19.820000,19.820000,19.530001,19.650000,6.303494,76300
2010-10-01,19.719999,19.870001,19.670000,19.870001,6.374064,31000
2010-10-04,19.620001,19.639999,19.379999,19.469999,6.245749,140500
2010-10-05,19.580000,20.049999,19.549999,19.969999,6.406143,87600
2010-10-06,20.030001,20.080000,19.959999,20.040001,6.428596,40900
2010-10-07,20.260000,20.260000,20.010000,20.150000,6.463884,34900
2010-10-08,20.180000,20.240000,20.110001,20.200001,6.479920,42100
2010-10-11,20.170000,20.250000,20.120001,20.139999,6.460680,44900
2010-10-12,20.080000,20.219999,19.990000,20.209999,6.483128,49400
2010-10-13,20.250000,20.430000,20.250000,20.270000,6.502382,58000
2010-10-14,20.360001,20.360001,20.219999,20.290001,6.508796,66700
2010-10-15,20.360001,20.540001,20.219999,20.379999,6.537662,40300
2010-10-18,20.290001,20.379999,20.290001,20.330000,6.521626,41700
