Date,Open,High,Low,Close,adjclose,Volume
1972-06-01,0.0,21.125,20.75,20.875,1.2057613134384155,42000
1972-06-02,20.875,21.125,20.75,21.0,1.2129828929901123,17600
1972-06-05,21.0,21.25,20.875,20.875,1.2057613134384155,13200
1972-06-06,20.75,20.75,20.5,20.625,1.2066398859024048,15700
1972-06-07,20.625,20.75,20.625,20.625,1.2066398859024048,5000
1972-06-08,20.625,20.875,20.375,20.375,1.1920133829116821,32900
1972-06-09,20.375,20.5,20.25,20.25,1.1847001314163208,18500
1972-06-12,20.25,20.625,20.25,20.5,1.1993260383605957,10600
1972-06-13,20.5,20.5,20.0,20.25,1.1847001314163208,38400
1972-06-14,20.125,20.125,19.75,19.75,1.1554479598999023,126800
1972-06-15,19.75,19.875,19.75,19.875,1.1627614498138428,14100
1972-06-16,19.875,19.875,19.625,19.875,1.1627614498138428,9000
1972-06-19,19.875,20.0,19.75,19.875,1.1627614498138428,8500
1972-06-20,19.875,19.875,19.625,19.625,1.1481359004974365,40600
1972-06-21,19.625,19.875,19.375,19.375,1.133509635925293,57000
1972-06-22,19.375,19.625,19.375,19.625,1.1481359004974365,23700
1972-06-23,19.625,19.625,19.375,19.625,1.1481359004974365,53000
1972-06-26,19.625,19.75,19.375,19.5,1.1408220529556274,14400
1972-06-27,19.5,19.5,19.375,19.5,1.1408220529556274,14200
1972-06-28,19.5,19.875,19.375,19.875,1.1627614498138428,21000
1972-06-29,19.875,20.0,19.625,19.875,1.1627614498138428,13300
1972-06-30,19.875,20.375,19.875,20.25,1.1847001314163208,47100
1972-07-03,20.25,20.5,20.0,20.25,1.1847001314163208,7300
1972-07-05,20.5,21.0,20.5,20.875,1.2212648391723633,22400
1972-07-06,20.875,21.375,20.875,21.375,1.2505173683166504,15300
1972-07-07,21.375,21.625,21.25,21.625,1.2651432752609253,23900
1972-07-10,21.625,21.875,21.375,21.75,1.272454857826233,25600
1972-07-11,21.5,21.5,21.125,21.125,1.235891342163086,14400
1972-07-12,21.125,21.625,21.125,21.375,1.2505173683166504,4800
1972-07-13,21.375,21.625,21.125,21.125,1.235891342163086,6000
1972-07-14,21.125,21.5,21.0,21.25,1.2432043552398682,10600
1972-07-17,21.25,21.375,21.0,21.125,1.235891342163086,12300
1972-07-18,20.875,20.875,20.625,20.625,1.2066398859024048,4400
1972-07-19,20.625,20.75,20.5,20.5,1.1993260383605957,9300
1972-07-20,20.5,20.75,20.5,20.625,1.2066398859024048,7500
1972-07-21,20.625,20.875,20.5,20.875,1.2212648391723633,5500
1972-07-24,20.875,21.0,20.625,20.875,1.2212648391723633,12600
1972-07-25,20.875,21.125,20.5,20.75,1.2139524221420288,67600
1972-07-26,20.75,21.0,20.625,20.625,1.2066398859024048,13800
1972-07-27,20.625,20.75,20.375,20.375,1.1920133829116821,9900
1972-07-28,20.625,20.75,20.625,20.625,1.2066398859024048,14300
1972-07-31,20.625,20.625,20.25,20.375,1.1920133829116821,2800
1972-08-01,20.375,20.375,20.25,20.375,1.1920133829116821,9000
1972-08-02,20.375,20.75,20.25,20.25,1.1847001314163208,32100
1972-08-03,20.25,20.375,20.0,20.0,1.1700748205184937,10700
1972-08-04,20.0,20.125,20.0,20.0,1.1700748205184937,10500
1972-08-07,20.0,20.125,19.625,19.625,1.1481359004974365,87100
1972-08-08,19.625,19.75,19.5,19.75,1.1554479598999023,40600
1972-08-09,19.75,19.875,19.5,19.625,1.1481359004974365,17100
1972-08-10,19.625,19.75,19.375,19.625,1.1481359004974365,17200
1972-08-11,19.625,19.875,19.625,19.75,1.1554479598999023,19600
1972-08-14,19.75,19.875,19.625,19.875,1.1627614498138428,11200
1972-08-15,19.875,20.0,19.875,19.875,1.1627614498138428,25100
1972-08-16,19.875,20.0,19.875,20.0,1.1700748205184937,37800
1972-08-17,20.0,20.25,20.0,20.125,1.1773878335952759,17500
1972-08-18,20.125,20.875,20.125,20.75,1.2139524221420288,51800
1972-08-21,21.0,21.375,21.0,21.25,1.2432043552398682,12800
1972-08-22,21.375,21.875,21.375,21.625,1.2651432752609253,40400
1972-08-23,21.75,22.0,21.75,21.75,1.272454857826233,17600
1972-08-24,21.875,22.75,21.875,22.5,1.3163342475891113,64400
1972-08-25,22.5,22.75,22.25,22.375,1.3090213537216187,18500
1972-08-28,22.375,22.625,22.25,22.5,1.3163342475891113,28300
1972-08-29,22.5,22.5,22.375,22.5,1.3163342475891113,7700
1972-08-30,22.625,22.875,22.625,22.75,1.330959439277649,19500
1972-08-31,22.75,22.75,22.375,22.375,1.3090213537216187,12100
1972-09-01,22.375,22.5,22.125,22.375,1.3090213537216187,6600
1972-09-05,22.375,22.375,22.0,22.0,1.2870826721191406,19800
1972-09-06,22.0,22.375,22.0,22.125,1.294394612312317,8200
1972-09-07,22.125,22.125,22.0,22.0,1.2870826721191406,12700
1972-09-08,22.0,22.0,21.75,22.0,1.3027749061584473,9400
1972-09-11,22.0,22.0,21.5,21.5,1.273166298866272,19600
1972-09-12,21.5,22.0,21.5,21.875,1.2953726053237915,15900
1972-09-13,21.875,22.125,21.875,22.0,1.3027749061584473,32500
1972-09-14,22.0,22.25,22.0,22.125,1.3101762533187866,3600
1972-09-15,22.125,22.25,22.0,22.25,1.317578911781311,6400
1972-09-18,22.25,22.25,22.125,22.125,1.3101762533187866,13000
1972-09-19,22.125,22.25,21.875,21.875,1.2953726053237915,8100
1972-09-20,21.875,22.125,21.875,22.0,1.3027749061584473,2400
1972-09-21,22.0,22.125,21.625,21.625,1.28056800365448,8600
1972-09-22,21.625,21.875,21.5,21.5,1.273166298866272,10200
1972-09-25,21.5,21.625,21.375,21.5,1.273166298866272,11800
1972-09-26,21.5,21.625,21.25,21.375,1.2657641172409058,122300
