Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,5.950000,6.000000,5.550000,5.570000,4.052067,3800
2010-06-30,6.000000,6.000000,5.550000,5.800000,4.219387,1000
2010-07-01,5.610000,5.610000,5.550000,5.600000,4.073890,500
2010-07-02,5.600000,5.600000,5.600000,5.600000,4.073890,0
2010-07-06,5.600000,5.990000,5.550000,5.670000,4.124816,1500
2010-07-07,5.710000,5.710000,5.600000,5.600000,4.073890,600
2010-07-08,5.690000,5.700000,5.500000,5.500000,4.001145,3300
2010-07-09,5.500000,5.500000,5.500000,5.500000,4.001145,0
2010-07-12,5.990000,5.990000,5.600000,5.690000,4.139367,3400
2010-07-13,5.950000,6.050000,5.560000,6.050000,4.401259,4200
2010-07-14,6.000000,6.050000,6.000000,6.050000,4.401259,1300
2010-07-15,6.040000,6.050000,5.570000,5.660000,4.117540,3000
2010-07-16,5.660000,5.660000,5.660000,5.660000,4.117540,0
2010-07-19,5.650000,5.650000,5.650000,5.650000,4.110266,100
2010-07-20,5.590000,5.750000,5.560000,5.750000,4.183015,2300
2010-07-21,5.750000,5.750000,5.750000,5.750000,4.183015,0
2010-07-22,5.740000,5.750000,5.740000,5.750000,4.183015,1800
2010-07-23,5.630000,5.800000,5.600000,5.800000,4.219387,900
2010-07-26,5.930000,5.930000,5.710000,5.710000,4.153914,1200
2010-07-27,5.610000,5.610000,5.580000,5.580000,4.059343,700
2010-07-28,5.750000,5.750000,5.660000,5.670000,4.124816,9200
2010-07-29,5.670000,5.670000,5.670000,5.670000,4.154120,0
2010-07-30,5.670000,5.670000,5.670000,5.670000,4.154120,0
2010-08-02,5.320000,5.710000,5.320000,5.710000,4.183428,2700
2010-08-03,5.950000,5.970000,5.920000,5.920000,4.337284,400
2010-08-04,5.910000,5.910000,5.670000,5.900000,4.322631,2400
2010-08-05,5.580000,5.800000,5.380000,5.800000,4.249366,9500
2010-08-06,5.600000,5.900000,5.600000,5.850000,4.285999,7200
2010-08-09,6.990000,6.990000,5.410000,5.410000,3.963631,2000
2010-08-10,5.900000,5.920000,5.850000,5.850000,4.285999,2500
2010-08-11,5.920000,5.990000,5.870000,5.870000,4.300652,2300
2010-08-12,5.550000,5.750000,5.550000,5.690000,4.168775,700
2010-08-13,5.690000,5.690000,5.690000,5.690000,4.168775,0
2010-08-16,5.830000,5.830000,5.580000,5.680000,4.161448,2800
2010-08-17,5.580000,5.590000,5.580000,5.590000,4.095510,1500
2010-08-18,5.680000,5.690000,5.590000,5.690000,4.168775,1200
2010-08-19,5.620000,5.620000,5.620000,5.620000,4.117488,200
2010-08-20,5.520000,5.520000,5.520000,5.520000,4.044224,1300
2010-08-23,5.600000,5.600000,5.600000,5.600000,4.102836,100
2010-08-24,5.630000,5.630000,5.520000,5.520000,4.044224,500
2010-08-25,5.400000,5.400000,5.400000,5.400000,3.956307,300
2010-08-26,5.400000,5.400000,5.400000,5.400000,3.956307,0
2010-08-27,5.400000,5.400000,5.400000,5.400000,3.956307,0
2010-08-30,5.400000,5.520000,5.310000,5.310000,3.890367,2200
2010-08-31,5.530000,5.530000,5.530000,5.530000,4.051550,300
2010-09-01,5.600000,5.610000,5.590000,5.590000,4.095510,300
2010-09-02,5.450000,5.450000,5.450000,5.450000,3.992939,2700
2010-09-03,5.450000,5.450000,5.450000,5.450000,3.992939,0
2010-09-07,5.310000,5.460000,5.310000,5.460000,4.000265,1000
2010-09-08,5.400000,5.450000,5.400000,5.450000,3.992939,600
2010-09-09,5.450000,5.450000,5.450000,5.450000,3.992939,2000
2010-09-10,5.450000,5.450000,5.450000,5.450000,3.992939,0
2010-09-13,5.300000,5.300000,5.100000,5.100000,3.736511,1400
2010-09-14,5.040000,5.250000,5.010000,5.250000,3.846409,1500
2010-09-15,5.320000,5.320000,5.320000,5.320000,3.897695,200
2010-09-16,5.320000,5.320000,5.320000,5.320000,3.897695,0
2010-09-17,5.290000,5.350000,5.200000,5.350000,3.919673,1600
2010-09-20,5.350000,5.350000,5.350000,5.350000,3.919673,0
2010-09-21,5.200000,5.200000,5.200000,5.200000,3.809776,1000
2010-09-22,5.220000,5.280000,5.150000,5.280000,3.868388,1000
2010-09-23,5.450000,5.510000,5.100000,5.100000,3.736511,8700
2010-09-24,5.400000,5.410000,4.800000,5.000000,3.663247,10000
2010-09-27,5.150000,5.200000,5.150000,5.200000,3.809776,200
2010-09-28,5.000000,5.000000,5.000000,5.000000,3.663247,300
2010-09-29,5.200000,5.200000,5.200000,5.200000,3.809776,100
2010-09-30,5.200000,5.200000,5.200000,5.200000,3.809776,0
2010-10-01,5.200000,5.510000,5.200000,5.260000,3.853735,2100
2010-10-04,5.260000,5.260000,5.260000,5.260000,3.853735,0
2010-10-05,5.210000,5.250000,5.210000,5.240000,3.839081,900
2010-10-06,5.200000,5.200000,4.900000,5.000000,3.663247,1900
2010-10-07,5.000000,5.000000,5.000000,5.000000,3.663247,200
2010-10-08,5.100000,5.100000,5.090000,5.090000,3.729185,400
2010-10-11,5.000000,5.100000,5.000000,5.100000,3.736511,400
2010-10-12,5.000000,5.000000,5.000000,5.000000,3.663247,700
2010-10-13,5.000000,5.000000,5.000000,5.000000,3.663247,400
2010-10-14,5.090000,5.390000,5.090000,5.340000,3.912347,3400
2010-10-15,5.510000,5.510000,5.000000,5.250000,3.846409,6800
2010-10-18,5.050000,5.100000,5.000000,5.010000,3.670573,4900
2010-10-19,5.450000,5.500000,5.000000,5.140000,3.765817,2400
2010-10-20,5.250000,5.670000,5.000000,5.000000,3.663247,4100
2010-10-21,5.000000,5.000000,5.000000,5.000000,3.663247,0
2010-10-22,5.010000,5.010000,5.000000,5.000000,3.663247,800
2010-10-25,5.040000,5.040000,5.000000,5.040000,3.692552,900
2010-10-26,5.250000,5.620000,5.250000,5.620000,4.117488,1100
2010-10-27,5.020000,5.550000,4.930000,5.040000,3.692552,1800
2010-10-28,5.030000,5.460000,5.030000,5.410000,3.995341,800
2010-10-29,5.410000,5.410000,5.410000,5.410000,3.995341,0
2010-11-01,5.410000,5.410000,5.410000,5.410000,3.995341,0
2010-11-02,5.240000,5.270000,5.240000,5.270000,3.891950,1000
2010-11-03,5.300000,5.300000,5.010000,5.150000,3.803329,5300
2010-11-04,5.150000,5.250000,5.150000,5.250000,3.877179,3300
2010-11-05,5.350000,5.350000,5.030000,5.100000,3.766403,2800
2010-11-08,5.100000,5.100000,5.100000,5.100000,3.766403,0
2010-11-09,5.100000,5.100000,5.100000,5.100000,3.766403,0
2010-11-10,5.330000,5.390000,5.330000,5.390000,3.980571,200
2010-11-11,5.020000,5.200000,5.020000,5.050000,3.729479,2800
2010-11-12,5.050000,5.050000,5.050000,5.050000,3.729479,0
2010-11-15,5.360000,5.360000,5.250000,5.250000,3.877179,1100
2010-11-16,5.240000,5.240000,5.240000,5.240000,3.869794,200
2010-11-17,5.230000,5.230000,5.230000,5.230000,3.862409,300
2010-11-18,5.230000,5.230000,5.230000,5.230000,3.862409,0
2010-11-19,5.250000,5.250000,5.220000,5.220000,3.855025,500
2010-11-22,5.140000,5.140000,5.140000,5.140000,3.795943,200
2010-11-23,5.240000,5.250000,5.240000,5.250000,3.877179,900
2010-11-24,5.250000,5.250000,5.250000,5.250000,3.877179,0
2010-11-26,5.250000,5.250000,5.250000,5.250000,3.877179,0
2010-11-29,5.400000,5.400000,5.400000,5.400000,3.987956,100
2010-11-30,5.200000,5.210000,5.150000,5.150000,3.803329,5200
2010-12-01,5.150000,5.150000,5.050000,5.050000,3.729479,1400
2010-12-02,5.060000,5.060000,5.050000,5.050000,3.729479,500
2010-12-03,5.050000,5.200000,5.050000,5.100000,3.766403,5200
2010-12-06,5.100000,5.100000,5.100000,5.100000,3.766403,0
2010-12-07,5.100000,5.100000,5.100000,5.100000,3.766403,0
2010-12-08,5.100000,5.400000,5.100000,5.250000,3.877179,2600
2010-12-09,5.080000,5.390000,5.060000,5.370000,3.965800,2600
2010-12-10,5.400000,5.400000,5.400000,5.400000,3.987956,300
2010-12-13,5.110000,5.250000,5.110000,5.250000,3.877179,500
2010-12-14,5.250000,5.250000,5.250000,5.250000,3.877179,0
2010-12-15,5.060000,5.060000,5.000000,5.000000,3.692552,1800
2010-12-16,5.210000,5.220000,5.210000,5.220000,3.855025,800
2010-12-17,5.200000,5.380000,5.200000,5.380000,3.973187,900
2010-12-20,5.070000,5.420000,5.070000,5.100000,3.766403,6000
2010-12-21,5.480000,5.480000,5.160000,5.180000,3.825485,2100
2010-12-22,5.300000,5.340000,5.150000,5.240000,3.869794,10700
2010-12-23,5.360000,5.360000,5.310000,5.310000,3.921492,200
2010-12-27,5.300000,5.320000,5.200000,5.250000,3.877179,6900
2010-12-28,5.250000,5.250000,5.250000,5.250000,3.877179,1100
2010-12-29,5.250000,5.250000,5.250000,5.250000,3.877179,500
2010-12-30,5.150000,5.700000,5.150000,5.310000,3.921492,18000
2010-12-31,5.760000,5.780000,5.400000,5.780000,4.268590,500
2011-01-03,5.420000,6.740000,5.420000,5.870000,4.335056,12000
2011-01-04,5.640000,5.710000,5.580000,5.700000,4.209510,1600
2011-01-05,5.420000,5.480000,5.380000,5.480000,4.047037,1700
2011-01-06,5.410000,5.430000,5.400000,5.400000,3.987956,2500
2011-01-07,5.400000,5.400000,5.400000,5.400000,3.987956,0
2011-01-10,5.730000,5.750000,5.710000,5.750000,4.246434,4000
2011-01-11,5.750000,5.750000,5.750000,5.750000,4.246434,0
2011-01-12,5.740000,5.750000,5.510000,5.650000,4.172585,1600
2011-01-13,5.700000,5.750000,5.650000,5.650000,4.172585,1200
2011-01-14,5.650000,5.650000,5.650000,5.650000,4.172585,0
2011-01-18,5.510000,5.510000,5.510000,5.510000,4.069194,200
2011-01-19,5.610000,6.170000,5.610000,6.170000,4.556610,9100
2011-01-20,6.020000,6.160000,6.010000,6.150000,4.541839,1700
2011-01-21,6.130000,6.500000,6.130000,6.500000,4.800318,1000
2011-01-24,5.640000,6.500000,5.610000,6.500000,4.800318,7300
2011-01-25,6.320000,6.340000,6.300000,6.300000,4.652615,1600
2011-01-26,6.350000,6.630000,6.350000,6.580000,4.859399,4400
2011-01-27,6.360000,6.630000,6.360000,6.550000,4.837244,1700
2011-01-28,6.550000,6.620000,6.350000,6.570000,4.881826,400
2011-01-31,6.600000,6.600000,6.310000,6.400000,4.755507,2200
2011-02-01,6.400000,6.400000,6.400000,6.400000,4.755507,0
2011-02-02,6.500000,6.500000,6.310000,6.310000,4.688633,1000
2011-02-03,6.310000,6.310000,6.310000,6.310000,4.688633,200
2011-02-04,6.310000,6.310000,6.310000,6.310000,4.688633,0
2011-02-07,6.310000,6.350000,6.310000,6.310000,4.688633,900
2011-02-08,6.330000,6.330000,6.330000,6.330000,4.703494,100
2011-02-09,6.400000,6.400000,6.350000,6.350000,4.718357,1100
2011-02-10,6.310000,6.310000,6.310000,6.310000,4.688633,100
2011-02-11,6.350000,6.350000,6.310000,6.310000,4.688633,500
