Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,15.530000,15.930000,15.530000,15.710000,9.729101,74000
2010-06-30,15.760000,15.850000,15.660000,15.730000,9.741487,26200
2010-07-01,15.730000,15.730000,15.420000,15.460000,9.574277,29800
2010-07-02,15.610000,15.720000,15.430000,15.540000,9.623818,21200
2010-07-06,15.600000,15.820000,15.600000,15.760000,9.760066,71200
2010-07-07,15.680000,15.800000,15.500000,15.600000,9.660978,59800
2010-07-08,15.670000,15.740000,15.520000,15.600000,9.660978,36500
2010-07-09,15.540000,15.800000,15.500000,15.730000,9.741487,25000
2010-07-12,15.720000,15.830000,15.200000,15.200000,9.413262,62300
2010-07-13,15.280000,15.790000,15.200000,15.700000,9.722906,87500
2010-07-14,15.610000,15.610000,15.370000,15.490000,9.592855,31700
2010-07-15,15.590000,15.590000,15.140000,15.220000,9.425649,54800
2010-07-16,15.130000,15.310000,14.920000,14.950000,9.258438,98300
2010-07-19,15.000000,15.000000,14.890000,14.930000,9.246051,72700
2010-07-20,14.880000,14.990000,14.760000,14.950000,9.258438,68500
2010-07-21,15.000000,15.000000,14.670000,14.690000,9.097418,52400
2010-07-22,14.850000,15.010000,14.730000,14.970000,9.270819,54900
2010-07-23,14.940000,14.940000,13.760000,14.260000,8.831124,209000
2010-07-26,14.110000,14.400000,12.820000,13.160000,8.149902,383600
2010-07-27,13.200000,13.290000,12.890000,13.020000,8.063204,147800
2010-07-28,13.050000,13.170000,12.950000,13.130000,8.131321,133700
2010-07-29,13.200000,13.200000,13.000000,13.130000,8.131321,74500
2010-07-30,13.000000,13.580000,13.000000,13.300000,8.236605,167400
2010-08-02,13.450000,14.290000,13.250000,13.980000,8.657725,173600
2010-08-03,14.060000,14.060000,13.580000,13.600000,8.422388,83500
2010-08-04,13.640000,13.920000,13.490000,13.530000,8.379040,46300
2010-08-05,13.460000,13.500000,13.310000,13.390000,8.292339,34100
2010-08-06,13.350000,13.530000,13.350000,13.500000,8.360462,36600
2010-08-09,13.560000,13.750000,13.390000,13.640000,8.447164,46900
2010-08-10,13.500000,13.730000,13.050000,13.110000,8.118937,44000
2010-08-11,13.000000,13.280000,12.680000,12.690000,7.858832,67800
2010-08-12,12.570000,12.990000,12.350000,12.510000,7.747361,81700
2010-08-13,12.470000,12.660000,12.350000,12.360000,7.654465,74600
2010-08-16,12.300000,12.480000,12.000000,12.140000,7.518223,89100
2010-08-17,12.250000,12.670000,12.100000,12.500000,7.741169,84100
2010-08-18,12.540000,12.650000,12.200000,12.600000,7.803097,78800
2010-08-19,12.510000,12.510000,12.110000,12.140000,7.518223,65400
2010-08-20,12.150000,12.360000,12.150000,12.220000,7.567768,35800
2010-08-23,12.270000,12.420000,12.000000,12.000000,7.431520,56900
2010-08-24,12.060000,12.200000,11.770000,11.980000,7.419135,57200
2010-08-25,12.050000,12.330000,11.850000,12.200000,7.555380,86300
2010-08-26,12.220000,12.430000,12.000000,12.000000,7.431520,29000
2010-08-27,12.100000,12.450000,11.980000,12.410000,7.685427,69400
2010-08-30,12.320000,12.320000,11.500000,11.500000,7.121874,77300
2010-08-31,11.540000,11.870000,11.070000,11.420000,7.072330,243600
2010-09-01,11.560000,12.400000,11.270000,12.130000,7.512031,65700
2010-09-02,12.060000,12.250000,11.950000,12.070000,7.474870,37300
2010-09-03,12.120000,12.830000,12.120000,12.820000,7.939342,44400
2010-09-07,12.800000,12.800000,12.450000,12.700000,7.865028,45900
2010-09-08,12.760000,13.410000,12.710000,13.360000,8.273762,183500
2010-09-09,13.490000,13.590000,13.020000,13.190000,8.168477,94500
2010-09-10,13.100000,13.280000,13.040000,13.080000,8.100359,18700
2010-09-13,13.220000,13.550000,13.100000,13.480000,8.348075,74300
2010-09-14,13.490000,13.490000,13.390000,13.470000,8.341880,49300
2010-09-15,13.370000,13.450000,13.170000,13.390000,8.292339,20300
2010-09-16,13.360000,13.440000,13.350000,13.400000,8.298532,23100
2010-09-17,13.450000,13.450000,13.050000,13.100000,8.112743,152700
2010-09-20,13.120000,13.400000,13.120000,13.370000,8.279954,36700
2010-09-21,13.450000,13.500000,13.310000,13.400000,8.298532,33100
2010-09-22,13.490000,13.500000,13.320000,13.360000,8.273762,29000
2010-09-23,13.260000,13.410000,13.020000,13.020000,8.063204,34600
2010-09-24,13.270000,13.440000,13.000000,13.410000,8.304726,48300
2010-09-27,13.480000,13.480000,13.170000,13.420000,8.310918,52900
2010-09-28,13.450000,13.490000,13.200000,13.400000,8.298532,39200
