Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,6.310000,6.380000,6.080000,6.160000,3.663801,119000
2010-06-30,6.180000,6.315000,6.130000,6.140000,3.651905,50000
2010-07-01,6.125000,6.170000,6.010000,6.140000,3.651905,96200
2010-07-02,6.160000,6.250000,6.120000,6.155000,3.660827,32600
2010-07-06,6.210000,6.320000,6.185000,6.200000,3.687592,72200
2010-07-07,6.240000,6.410000,6.215000,6.380000,3.794651,88000
2010-07-08,6.420000,6.555000,6.420000,6.495000,3.863050,86600
2010-07-09,6.485000,6.595000,6.475000,6.570000,3.907658,105000
2010-07-12,6.550000,6.850000,6.535000,6.775000,4.029586,178800
2010-07-13,6.895000,7.115000,6.845000,7.095000,4.219913,266200
2010-07-14,7.050000,7.135000,6.940000,7.075000,4.208018,151400
2010-07-15,7.125000,7.125000,6.980000,7.005000,4.166384,62800
2010-07-16,6.955000,7.020000,6.795000,6.805000,4.047429,113200
2010-07-19,6.815000,6.940000,6.755000,6.940000,4.127724,82200
2010-07-20,6.860000,6.970000,6.825000,6.965000,4.142593,93400
2010-07-21,6.975000,6.995000,6.825000,6.855000,4.077168,92000
2010-07-22,6.955000,7.005000,6.855000,6.980000,4.151515,155600
2010-07-23,6.935000,7.050000,6.935000,7.050000,4.193149,124800
2010-07-26,7.045000,7.055000,6.995000,7.055000,4.196123,156400
2010-07-27,7.055000,7.205000,6.900000,7.175000,4.267496,145000
2010-07-28,7.130000,7.190000,7.090000,7.105000,4.225861,79000
2010-07-29,7.180000,7.205000,6.990000,7.095000,4.219913,43000
2010-07-30,7.035000,7.150000,6.810000,7.110000,4.228835,67800
2010-08-02,7.155000,7.155000,6.865000,6.935000,4.124750,115600
2010-08-03,6.880000,6.880000,6.445000,6.810000,4.050403,181000
2010-08-04,6.860000,7.000000,6.845000,6.945000,4.130698,76400
2010-08-05,6.920000,6.970000,6.770000,6.785000,4.035533,43800
2010-08-06,6.770000,6.890000,6.680000,6.800000,4.044456,48400
2010-08-09,6.860000,6.940000,6.795000,6.930000,4.121776,47400
2010-08-10,6.840000,6.840000,6.600000,6.725000,3.999847,99000
2010-08-11,6.610000,6.620000,6.235000,6.245000,3.714356,242000
2010-08-12,6.160000,6.295000,6.160000,6.250000,3.717330,102200
2010-08-13,6.215000,6.385000,6.215000,6.345000,3.773834,137200
2010-08-16,6.290000,6.620000,6.290000,6.615000,3.934423,165800
2010-08-17,6.690000,6.770000,6.510000,6.695000,3.982004,389400
2010-08-18,6.670000,6.745000,6.605000,6.710000,3.990926,74800
2010-08-19,6.690000,6.795000,6.420000,6.425000,3.821415,83400
2010-08-20,6.395000,6.580000,6.365000,6.390000,3.800599,145800
2010-08-23,6.405000,6.405000,6.270000,6.275000,3.732200,56800
2010-08-24,6.250000,6.315000,6.240000,6.240000,3.711383,61600
2010-08-25,6.250000,6.475000,6.250000,6.475000,3.851154,197400
2010-08-26,6.475000,6.475000,6.290000,6.370000,3.788703,78200
2010-08-27,6.450000,6.545000,6.300000,6.515000,3.874945,84200
2010-08-30,6.560000,6.925000,6.560000,6.825000,4.059325,275600
2010-08-31,6.850000,7.180000,6.650000,7.170000,4.264522,860400
2010-09-01,7.260000,7.490000,7.175000,7.490000,4.454849,220200
2010-09-02,7.500000,7.500000,7.320000,7.450000,4.431057,81800
2010-09-03,7.500000,7.500000,7.400000,7.495000,4.457823,74800
2010-09-07,7.445000,7.500000,7.370000,7.450000,4.431057,83800
2010-09-08,7.430000,7.500000,7.315000,7.440000,4.425110,230000
2010-09-09,7.490000,7.490000,7.385000,7.405000,4.404294,23800
2010-09-10,7.405000,7.615000,7.275000,7.425000,4.416189,89200
2010-09-13,7.415000,7.495000,7.295000,7.425000,4.416189,175600
