Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,11.060000,11.120000,10.730000,10.900000,10.900000,502700
2010-06-30,10.780000,11.190000,10.750000,10.800000,10.800000,472600
2010-07-01,10.790000,10.860000,10.180000,10.520000,10.520000,564400
2010-07-02,10.600000,10.650000,10.360000,10.530000,10.530000,327200
2010-07-06,10.720000,10.850000,10.090000,10.170000,10.170000,501100
2010-07-07,10.180000,10.520000,10.170000,10.470000,10.470000,661400
2010-07-08,10.600000,10.680000,10.380000,10.580000,10.580000,592500
2010-07-09,10.560000,10.670000,10.470000,10.660000,10.660000,489500
2010-07-12,10.590000,10.890000,10.310000,10.460000,10.460000,551600
2010-07-13,10.650000,10.840000,10.530000,10.820000,10.820000,738300
2010-07-14,10.830000,11.060000,10.440000,10.570000,10.570000,595100
2010-07-15,10.560000,10.720000,10.230000,10.550000,10.550000,519300
2010-07-16,10.450000,10.450000,10.120000,10.220000,10.220000,640100
2010-07-19,10.280000,10.430000,10.020000,10.310000,10.310000,359300
2010-07-20,10.160000,10.480000,10.050000,10.450000,10.450000,325700
2010-07-21,10.540000,10.540000,10.130000,10.130000,10.130000,356500
2010-07-22,10.310000,10.910000,10.300000,10.890000,10.890000,710400
2010-07-23,10.850000,11.330000,10.700000,11.300000,11.300000,710600
2010-07-26,11.320000,11.400000,11.070000,11.320000,11.320000,863300
2010-07-27,11.390000,11.390000,11.100000,11.170000,11.170000,721400
2010-07-28,10.860000,10.980000,9.340000,9.870000,9.870000,3185800
2010-07-29,9.880000,9.900000,9.430000,9.710000,9.710000,1516400
2010-07-30,9.560000,9.750000,9.510000,9.680000,9.680000,610200
2010-08-02,9.800000,9.890000,9.690000,9.720000,9.720000,607200
2010-08-03,9.650000,9.730000,9.400000,9.470000,9.470000,610300
2010-08-04,9.540000,9.640000,9.390000,9.530000,9.530000,599400
2010-08-05,9.480000,9.650000,9.400000,9.560000,9.560000,323700
2010-08-06,9.460000,9.660000,9.370000,9.590000,9.590000,380500
2010-08-09,9.650000,9.650000,9.470000,9.530000,9.530000,272700
2010-08-10,9.410000,9.410000,9.120000,9.140000,9.140000,450500
2010-08-11,8.910000,8.960000,8.680000,8.800000,8.800000,605000
2010-08-12,8.640000,8.740000,8.450000,8.610000,8.610000,630300
