Date,Open,High,Low,Close,Adj Close,Volume
2012-07-10,5.125000,5.155000,4.950000,5.005000,4.191235,2104600
2012-07-11,5.050000,5.050000,4.950000,5.000000,4.187050,307400
2012-07-12,5.000000,5.075000,4.975000,5.040000,4.220546,177800
2012-07-13,5.035000,5.100000,4.990000,5.080000,4.254042,95400
2012-07-16,5.010000,5.045000,5.005000,5.035000,4.216359,109400
2012-07-17,5.045000,5.045000,5.000000,5.020000,4.203797,146000
2012-07-18,5.005000,5.010000,5.000000,5.010000,4.195424,157400
2012-07-19,5.010000,5.045000,5.005000,5.045000,4.224732,141000
2012-07-20,5.075000,5.075000,5.000000,5.000000,4.187050,104200
2012-07-23,5.000000,5.080000,5.000000,5.080000,4.254042,133600
2012-07-24,5.075000,5.080000,5.050000,5.075000,4.249855,39000
2012-07-25,5.080000,5.080000,5.050000,5.050000,4.228920,103600
2012-07-26,5.075000,5.085000,5.070000,5.070000,4.245667,167000
2012-07-27,5.070000,5.070000,5.050000,5.060000,4.237294,82200
2012-07-30,5.050000,5.060000,5.030000,5.045000,4.224732,55600
2012-07-31,5.025000,5.060000,5.025000,5.030000,4.212172,92400
2012-08-01,5.035000,5.100000,5.030000,5.100000,4.270790,186000
2012-08-02,5.075000,5.125000,5.075000,5.115000,4.283351,138400
2012-08-03,5.140000,5.140000,5.135000,5.135000,4.300100,41000
2012-08-06,5.140000,5.140000,5.100000,5.125000,4.291727,22800
2012-08-07,5.145000,5.145000,5.100000,5.105000,4.274978,44000
2012-08-08,5.100000,5.140000,5.095000,5.140000,4.304287,101400
2012-08-09,5.105000,5.150000,5.100000,5.105000,4.274978,77800
2012-08-10,5.100000,5.175000,5.100000,5.150000,4.312660,50400
2012-08-13,5.150000,5.175000,5.150000,5.170000,4.329410,6800
2012-08-14,5.175000,5.175000,5.150000,5.170000,4.329410,12000
2012-08-15,5.175000,5.175000,5.150000,5.170000,4.329410,12800
2012-08-16,5.110000,5.170000,5.110000,5.170000,4.329410,11000
2012-08-17,5.170000,5.170000,5.155000,5.170000,4.329410,2000
2012-08-20,5.170000,5.170000,5.170000,5.170000,4.329410,1000
2012-08-21,5.165000,5.240000,5.150000,5.240000,4.388027,68600
2012-08-22,5.300000,5.385000,5.285000,5.330000,4.463396,40000
2012-08-23,5.370000,5.370000,5.240000,5.240000,4.388027,7000
2012-08-24,5.250000,5.310000,5.250000,5.310000,4.446646,11000
2012-08-27,5.310000,5.310000,5.220000,5.265000,4.408961,55600
2012-08-28,5.310000,5.350000,5.300000,5.300000,4.438273,42000
2012-08-29,5.300000,5.300000,5.275000,5.275000,4.417336,2200
2012-08-30,5.340000,5.350000,5.275000,5.350000,4.480143,17200
2012-08-31,5.350000,5.410000,5.335000,5.335000,4.467582,23400
2012-09-04,5.265000,5.335000,5.265000,5.335000,4.467582,28600
2012-09-05,5.320000,5.365000,5.310000,5.365000,4.492702,90000
2012-09-06,5.340000,5.355000,5.335000,5.355000,4.484330,17800
2012-09-07,5.300000,5.360000,5.300000,5.350000,4.480143,1600
2012-09-10,5.345000,5.350000,5.295000,5.350000,4.480143,54400
2012-09-11,5.325000,5.350000,5.325000,5.350000,4.480143,18000
2012-09-12,5.350000,5.355000,5.350000,5.350000,4.480143,22200
2012-09-13,5.350000,5.350000,5.330000,5.345000,4.475955,40000
2012-09-14,5.365000,5.365000,5.340000,5.355000,4.484330,41000
2012-09-17,5.300000,5.390000,5.300000,5.335000,4.467582,9800
2012-09-18,5.265000,5.390000,5.265000,5.390000,4.513639,11400
2012-09-19,5.365000,5.365000,5.355000,5.365000,4.492702,1600
2012-09-20,5.360000,5.415000,5.360000,5.415000,4.534574,12000
2012-09-21,5.400000,5.450000,5.365000,5.365000,4.492702,34200
2012-09-24,5.395000,5.450000,5.385000,5.450000,4.563884,30800
2012-09-25,5.400000,5.430000,5.380000,5.430000,4.547135,18800
2012-09-26,5.380000,5.380000,5.380000,5.380000,4.505265,1600
2012-09-27,5.380000,5.380000,5.380000,5.380000,4.505265,0
2012-09-28,5.380000,5.380000,5.380000,5.380000,4.505265,0
2012-10-01,5.380000,5.380000,5.335000,5.335000,4.467582,13600
2012-10-02,5.350000,5.350000,5.350000,5.350000,4.480143,1400
2012-10-03,5.380000,5.380000,5.380000,5.380000,4.505265,200
