Date,Open,High,Low,Close,Volume
1973-02-21,0.0,10.875,10.75,10.875,23600
1973-02-22,0.0,11.0625,10.9375,10.9375,92800
1973-02-23,0.0,10.96875,10.6875,10.6875,30400
1973-02-26,0.0,10.8125,10.625,10.8125,20000
1973-02-27,0.0,10.75,10.5625,10.75,14400
1973-02-28,0.0,10.90625,10.84375,10.84375,23200
1973-03-01,0.0,10.9375,10.625,10.625,54400
1973-03-02,0.0,10.59375,10.5,10.5625,29600
1973-03-05,0.0,10.5,10.3125,10.40625,13600
1973-03-06,0.0,10.53125,10.375,10.53125,54800
1973-03-07,0.0,10.59375,10.4375,10.5,32800
1973-03-08,0.0,10.5,10.375,10.375,10800
1973-03-09,0.0,10.34375,10.28125,10.34375,11200
1973-03-12,0.0,10.375,10.25,10.3125,26400
1973-03-13,0.0,10.34375,10.25,10.3125,21200
1973-03-14,0.0,10.3125,10.25,10.3125,6400
1973-03-15,0.0,10.25,10.15625,10.15625,18000
1973-03-16,0.0,10.34375,10.15625,10.25,23200
1973-03-19,0.0,10.3125,10.15625,10.21875,7200
1973-03-20,0.0,10.25,10.125,10.125,7600
1973-03-21,0.0,10.125,9.8125,9.8125,28400
1973-03-22,0.0,9.875,9.625,9.71875,27600
1973-03-23,0.0,9.875,9.53125,9.8125,29200
1973-03-26,0.0,9.9375,9.78125,9.78125,12000
1973-03-27,0.0,10.03125,9.78125,10.03125,14800
1973-03-28,0.0,10.1875,10.0625,10.125,20800
1973-03-29,0.0,10.125,10.03125,10.125,13600
1973-03-30,0.0,10.125,10.0,10.0625,18400
1973-04-02,0.0,10.0625,10.0,10.0,22400
1973-04-03,0.0,10.0,9.8125,9.875,30400
1973-04-04,0.0,9.875,9.71875,9.71875,21200
1973-04-05,0.0,9.75,9.65625,9.65625,8400
1973-04-06,0.0,9.875,9.65625,9.8125,25200
1973-04-09,0.0,10.0625,9.8125,10.0,17600
1973-04-10,0.0,10.1875,9.9375,10.0625,26400
1973-04-11,0.0,10.3125,10.0625,10.1875,21200
1973-04-12,0.0,10.25,10.1875,10.25,5600
1973-04-13,0.0,10.3125,10.1875,10.28125,10400
1973-04-16,0.0,10.3125,10.21875,10.25,14800
1973-04-17,0.0,10.3125,10.1875,10.1875,51200
1973-04-18,0.0,10.1875,10.125,10.125,9200
1973-04-19,0.0,10.1875,10.0625,10.125,30000
1973-04-23,0.0,10.03125,9.9375,9.9375,16400
1973-04-24,0.0,10.0,9.9375,10.0,26800
1973-04-25,0.0,9.875,9.625,9.75,80400
1973-04-26,0.0,9.9375,9.78125,9.875,20000
1973-04-27,0.0,10.0,9.875,9.875,11200
1973-04-30,0.0,10.0,9.75,9.9375,20800
1973-05-01,0.0,10.125,10.0,10.0625,15200
1973-05-02,0.0,10.15625,10.0,10.125,32000
1973-05-03,0.0,10.3125,10.0625,10.25,19600
1973-05-04,0.0,10.6875,10.1875,10.6875,55600
1973-05-07,0.0,10.8125,10.6875,10.6875,31600
1973-05-08,0.0,11.3125,11.0625,11.1875,50400
1973-05-09,0.0,11.25,11.0625,11.0625,38800
1973-05-10,0.0,11.0625,11.0,11.0625,4800
1973-05-11,0.0,11.0,10.875,10.96875,11200
1973-05-14,0.0,10.9375,10.78125,10.78125,10400
1973-05-15,0.0,10.8125,10.6875,10.75,20000
1973-05-16,0.0,10.75,10.625,10.625,30800
1973-05-17,0.0,10.65625,10.4375,10.5,51600
1973-05-18,0.0,10.46875,10.0,10.0625,81600
1973-05-21,0.0,10.0,9.875,9.875,30000
1973-05-22,0.0,10.0,9.875,9.875,61200
1973-05-23,0.0,9.96875,9.875,9.875,17600
1973-05-24,0.0,9.9375,9.8125,9.875,22800
1973-05-25,0.0,10.25,9.875,10.1875,130800
1973-05-29,0.0,10.25,10.1875,10.1875,8800
1973-05-30,0.0,10.4375,10.1875,10.4375,22400
1973-05-31,0.0,10.5625,10.3125,10.5,46000
1973-06-01,0.0,10.6875,10.4375,10.625,12800
1973-06-04,0.0,10.6875,10.5625,10.625,19200
1973-06-05,0.0,10.84375,10.75,10.84375,40400
1973-06-06,0.0,10.90625,10.6875,10.6875,15200
1973-06-07,0.0,10.75,10.625,10.75,28400
1973-06-08,0.0,10.9375,10.6875,10.9375,14400
1973-06-11,0.0,11.0625,10.9375,10.9375,28800
1973-06-12,0.0,11.25,11.0,11.25,22800
1973-06-13,0.0,11.3125,10.75,10.75,37200
1973-06-14,0.0,10.875,10.625,10.8125,11200
1973-06-15,0.0,10.78125,10.625,10.625,21600
1973-06-18,0.0,10.5625,10.1875,10.1875,26800
1973-06-19,0.0,10.25,10.0625,10.125,21200
1973-06-20,0.0,10.375,10.1875,10.3125,10000
1973-06-21,0.0,10.46875,10.375,10.375,15600
1973-06-22,0.0,10.5625,10.4375,10.5,26400
1973-06-25,0.0,10.5625,10.5,10.5,2800
1973-06-26,0.0,10.5,10.4375,10.4375,8000
1973-06-27,0.0,10.5625,10.40625,10.5,7600
1973-06-28,0.0,10.625,10.5,10.53125,9200
1973-06-29,0.0,10.5625,10.375,10.4375,18400
1973-07-02,0.0,10.5,10.4375,10.4375,4400
1973-07-03,0.0,10.46875,10.25,10.28125,14000
1973-07-05,0.0,10.25,10.0625,10.21875,13600
1973-07-06,0.0,10.3125,10.1875,10.1875,7600
1973-07-09,0.0,10.1875,10.03125,10.1875,11600
1973-07-10,0.0,10.3125,10.21875,10.21875,26000
1973-07-11,0.0,10.375,10.0625,10.375,63200
1973-07-12,0.0,10.5,10.40625,10.5,6000
1973-07-13,0.0,10.5,10.4375,10.5,7200
1973-07-16,0.0,10.5625,10.4375,10.5625,40000
1973-07-17,0.0,10.8125,10.5625,10.8125,47200
1973-07-18,0.0,11.375,10.90625,11.3125,26000
1973-07-19,0.0,11.75,11.3125,11.71875,24000
1973-07-20,0.0,11.9375,11.71875,11.875,23600
1973-07-23,0.0,11.9375,11.5625,11.5625,26800
1973-07-24,0.0,12.25,11.5625,12.25,49200
