Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,13.840000,13.950000,13.580000,13.630000,13.630000,3641000
2010-06-30,13.660000,14.150000,13.500000,13.930000,13.930000,5253200
2010-07-01,13.880000,13.930000,13.470000,13.730000,13.730000,3283300
2010-07-02,13.750000,13.900000,13.530000,13.640000,13.640000,2443800
2010-07-06,13.810000,13.910000,13.480000,13.580000,13.580000,2388800
2010-07-07,13.580000,14.030000,13.490000,14.020000,14.020000,1754800
2010-07-08,14.050000,14.310000,13.990000,14.230000,14.230000,3328400
2010-07-09,14.000000,14.110000,13.740000,13.990000,13.990000,3487300
2010-07-12,13.960000,14.160000,13.900000,14.120000,14.120000,2398100
2010-07-13,14.250000,14.530000,14.220000,14.310000,14.310000,2654700
2010-07-14,14.340000,14.460000,14.160000,14.430000,14.430000,2451000
2010-07-15,14.470000,14.580000,14.280000,14.570000,14.570000,2130800
2010-07-16,14.570000,14.740000,14.040000,14.120000,14.120000,2847900
2010-07-19,14.140000,14.300000,14.050000,14.250000,14.250000,2588900
2010-07-20,14.070000,14.290000,13.630000,13.840000,13.840000,4238800
2010-07-21,13.860000,13.920000,13.240000,13.310000,13.310000,3053900
2010-07-22,13.410000,13.690000,13.400000,13.440000,13.440000,2785700
2010-07-23,13.370000,13.460000,13.220000,13.370000,13.370000,2412400
2010-07-26,13.350000,13.830000,13.350000,13.830000,13.830000,2843000
2010-07-27,13.860000,15.080000,13.860000,15.040000,15.040000,7332700
2010-07-28,14.960000,15.080000,14.020000,14.060000,14.060000,6632700
2010-07-29,14.060000,14.190000,13.570000,13.980000,13.980000,2915000
2010-07-30,13.820000,14.250000,13.760000,14.140000,14.140000,2336300
2010-08-02,14.450000,14.690000,14.320000,14.580000,14.580000,5091200
2010-08-03,15.100000,15.820000,15.060000,15.440000,15.440000,8327400
2010-08-04,15.510000,16.030001,15.450000,15.900000,15.900000,4282200
2010-08-05,15.750000,16.209999,15.690000,16.059999,16.059999,3222700
2010-08-06,15.900000,16.299999,15.750000,16.090000,16.090000,2730000
2010-08-09,16.110001,16.120001,15.480000,15.570000,15.570000,3113500
2010-08-10,15.480000,15.730000,15.230000,15.540000,15.540000,2016300
2010-08-11,15.280000,15.320000,15.000000,15.020000,15.020000,1757800
2010-08-12,14.850000,15.080000,14.710000,14.930000,14.930000,2055500
2010-08-13,14.830000,14.990000,14.730000,14.760000,14.760000,1517100
2010-08-16,14.700000,14.850000,14.510000,14.600000,14.600000,2124200
2010-08-17,14.690000,15.100000,14.660000,14.900000,14.900000,2627800
2010-08-18,14.900000,15.190000,14.650000,15.100000,15.100000,2332200
2010-08-19,15.000000,15.150000,14.630000,14.760000,14.760000,2033400
2010-08-20,14.750000,14.960000,14.430000,14.680000,14.680000,1382900
2010-08-23,14.720000,14.990000,14.520000,14.670000,14.670000,2096500
2010-08-24,14.560000,14.560000,14.030000,14.040000,14.040000,3404000
2010-08-25,13.920000,14.430000,13.850000,14.380000,14.380000,1919600
2010-08-26,14.400000,14.420000,14.040000,14.060000,14.060000,2260000
2010-08-27,14.110000,14.320000,13.950000,14.170000,14.170000,2225400
2010-08-30,14.120000,14.300000,13.920000,14.100000,14.100000,3064000
2010-08-31,14.060000,14.320000,13.940000,14.180000,14.180000,2801700
2010-09-01,14.350000,14.720000,14.150000,14.570000,14.570000,2427600
2010-09-02,14.490000,14.820000,14.360000,14.800000,14.800000,1822400
2010-09-03,14.920000,15.180000,14.890000,15.120000,15.120000,1458300
2010-09-07,15.100000,15.190000,14.700000,14.730000,14.730000,1848300
2010-09-08,14.640000,15.200000,14.610000,14.990000,14.990000,2568500
2010-09-09,15.040000,15.370000,14.990000,15.220000,15.220000,2174200
2010-09-10,15.300000,15.450000,15.150000,15.260000,15.260000,1874100
2010-09-13,15.410000,15.650000,15.330000,15.610000,15.610000,1799200
2010-09-14,16.000000,16.410000,15.910000,16.340000,16.340000,4721700
2010-09-15,16.290001,16.600000,16.160000,16.340000,16.340000,4623000
2010-09-16,16.299999,16.670000,16.299999,16.330000,16.330000,2993800
2010-09-17,16.420000,16.629999,16.360001,16.540001,16.540001,3399600
2010-09-20,16.590000,16.680000,16.330000,16.420000,16.420000,4013700
2010-09-21,16.400000,16.490000,15.990000,16.040001,16.040001,5128300
2010-09-22,16.080000,16.430000,15.190000,15.420000,15.420000,8677200
2010-09-23,15.350000,16.270000,15.250000,16.260000,16.260000,5591800
2010-09-24,16.420000,16.930000,16.070000,16.660000,16.660000,5506100
2010-09-27,16.680000,16.680000,15.770000,16.450001,16.450001,8661000
2010-09-28,16.590000,16.700001,16.000000,16.260000,16.260000,3318500
2010-09-29,16.200001,16.320000,15.970000,16.070000,16.070000,2930600
2010-09-30,16.200001,16.400000,15.850000,16.010000,16.010000,3562300
2010-10-01,16.180000,16.180000,15.860000,16.120001,16.120001,2376800
2010-10-04,16.059999,16.230000,15.630000,15.800000,15.800000,2235000
2010-10-05,15.890000,16.330000,15.890000,16.040001,16.040001,4810600
2010-10-06,16.100000,16.170000,15.920000,16.100000,16.100000,3133100
2010-10-07,16.250000,16.430000,15.700000,16.180000,16.180000,2838700
2010-10-08,16.180000,16.270000,16.020000,16.070000,16.070000,1582200
2010-10-11,16.000000,16.139999,15.980000,16.020000,16.020000,2046100
2010-10-12,16.000000,16.059999,15.830000,15.920000,15.920000,2483400
2010-10-13,15.970000,16.139999,15.890000,16.020000,16.020000,1656800
2010-10-14,16.100000,16.330000,16.040001,16.150000,16.150000,2310700
2010-10-15,16.250000,16.309999,16.070000,16.170000,16.170000,2190600
2010-10-18,16.139999,16.500000,16.070000,16.500000,16.500000,2615100
2010-10-19,16.379999,16.490000,16.049999,16.150000,16.150000,2442700
2010-10-20,16.209999,16.450001,16.139999,16.309999,16.309999,1790900
2010-10-21,16.370001,16.420000,15.980000,16.110001,16.110001,2249000
2010-10-22,16.090000,16.240000,15.930000,16.180000,16.180000,2331600
2010-10-25,16.290001,16.520000,16.200001,16.219999,16.219999,1704600
2010-10-26,16.110001,16.469999,16.100000,16.250000,16.250000,1647400
2010-10-27,16.049999,16.280001,16.010000,16.209999,16.209999,2169500
2010-10-28,16.320000,16.370001,16.020000,16.049999,16.049999,1370300
2010-10-29,15.990000,16.070000,15.900000,16.030001,16.030001,1700900
2010-11-01,16.150000,16.400000,16.049999,16.120001,16.120001,2572300
2010-11-02,16.260000,16.299999,16.030001,16.049999,16.049999,1783800
2010-11-03,16.030001,16.150000,15.860000,16.020000,16.020000,2670100
2010-11-04,16.129999,16.299999,15.690000,16.010000,16.010000,6607000
2010-11-05,16.040001,16.049999,15.830000,15.830000,15.830000,3249300
2010-11-08,15.990000,16.350000,15.720000,16.280001,16.280001,4591700
2010-11-09,16.540001,17.290001,16.510000,16.730000,16.730000,6893200
2010-11-10,16.650000,16.889999,16.430000,16.820000,16.820000,3012600
2010-11-11,16.639999,17.090000,16.549999,16.969999,16.969999,3011600
2010-11-12,17.309999,17.309999,16.680000,16.760000,16.760000,2797500
2010-11-15,16.860001,16.879999,16.610001,16.709999,16.709999,1774100
2010-11-16,16.549999,16.639999,16.340000,16.410000,16.410000,2501400
2010-11-17,16.379999,16.510000,16.270000,16.450001,16.450001,1434400
2010-11-18,16.240000,16.370001,16.059999,16.209999,16.209999,7293800
2010-11-19,16.170000,16.320000,16.040001,16.150000,16.150000,2435200
2010-11-22,16.070000,16.250000,15.890000,15.990000,15.990000,2203900
2010-11-23,16.200001,16.500000,15.910000,16.440001,16.440001,5481300
2010-11-24,16.549999,16.850000,16.540001,16.750000,16.750000,2010700
2010-11-26,16.620001,16.719999,16.469999,16.580000,16.580000,538000
2010-11-29,16.469999,16.600000,16.260000,16.500000,16.500000,1837700
2010-11-30,16.309999,16.500000,16.200001,16.400000,16.400000,2740600
2010-12-01,16.780001,17.420000,16.750000,17.219999,17.219999,4953300
2010-12-02,17.240000,17.450001,17.170000,17.440001,17.440001,2519400
2010-12-03,17.420000,17.850000,17.280001,17.790001,17.790001,3159700
2010-12-06,17.750000,17.770000,17.459999,17.549999,17.549999,2066200
2010-12-07,17.709999,17.830000,17.570000,17.730000,17.730000,2318500
2010-12-08,17.750000,17.830000,17.459999,17.510000,17.510000,2528300
2010-12-09,17.520000,17.730000,17.440001,17.549999,17.549999,1769000
2010-12-10,17.059999,17.709999,17.059999,17.580000,17.580000,2145200
2010-12-13,17.590000,17.610001,17.209999,17.420000,17.420000,3677500
