Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,7.330000,7.420000,6.590000,6.930000,5.671426,36600
2010-06-30,7.000000,8.000000,7.000000,7.150000,5.851470,29500
2010-07-01,7.030000,7.600000,7.010000,7.280000,5.957861,3600
2010-07-02,7.690000,7.690000,6.820000,7.010000,5.736897,16800
2010-07-06,6.950000,7.500000,6.750000,6.760000,5.532300,15700
2010-07-07,6.700000,7.450000,6.550000,6.990000,5.720529,17100
2010-07-08,6.870000,7.150000,6.670000,6.920000,5.663242,4800
2010-07-09,6.780000,7.400000,6.780000,7.170000,5.867838,4500
2010-07-12,7.150000,7.150000,6.820000,6.850000,5.605954,8400
2010-07-13,7.000000,7.500000,6.840000,7.320000,5.990597,14600
2010-07-14,7.130000,7.190000,6.900000,7.050000,5.769632,13000
2010-07-15,7.000000,7.170000,6.760000,7.000000,5.728713,8600
2010-07-16,7.020000,7.020000,6.570000,6.750000,5.524116,4600
2010-07-19,6.530000,7.000000,6.530000,7.000000,5.728713,3300
2010-07-20,7.040000,7.050000,6.820000,6.820000,5.581403,2600
2010-07-21,7.180000,7.200000,6.690000,6.810000,5.573218,10300
2010-07-22,6.870000,6.950000,6.870000,6.950000,5.687793,1300
2010-07-23,6.970000,7.250000,6.950000,7.150000,5.851470,4300
2010-07-26,7.250000,7.780000,7.150000,7.780000,6.367055,25300
2010-07-27,7.930000,8.200000,7.770000,8.150000,6.669858,14400
2010-07-28,8.170000,8.210000,7.700000,7.980000,6.530733,12600
2010-07-29,7.520000,7.920000,7.420000,7.500000,6.137907,7700
2010-07-30,7.500000,7.500000,6.750000,7.100000,5.810551,7300
2010-08-02,7.140000,7.400000,7.070000,7.100000,5.810551,9800
2010-08-03,6.990000,7.090000,6.950000,7.090000,5.802367,4100
2010-08-04,7.140000,7.250000,7.140000,7.250000,5.933309,2300
2010-08-05,7.300000,7.500000,7.300000,7.400000,6.056067,7100
2010-08-06,7.400000,7.710000,6.860000,7.250000,5.933309,5600
2010-08-09,7.260000,7.750000,7.260000,7.700000,6.301584,6900
2010-08-10,7.340000,7.340000,7.340000,7.340000,6.006964,400
2010-08-11,7.360000,7.360000,7.130000,7.210000,5.900574,1400
2010-08-12,7.110000,7.260000,7.110000,7.220000,5.908757,700
2010-08-13,7.230000,7.250000,7.160000,7.160000,5.859654,400
2010-08-16,7.220000,7.220000,6.500000,6.780000,5.548667,30900
2010-08-17,7.000000,7.300000,7.000000,7.180000,5.876022,3600
2010-08-18,7.180000,7.180000,7.180000,7.180000,5.876022,0
2010-08-19,7.000000,7.000000,6.760000,6.900000,5.646873,2000
2010-08-20,6.900000,6.900000,6.640000,6.900000,5.646873,2000
2010-08-23,6.900000,7.030000,6.800000,6.900000,5.646873,12000
2010-08-24,7.010000,7.010000,6.650000,6.850000,5.605954,48400
2010-08-25,6.690000,6.740000,6.600000,6.610000,5.409542,7400
2010-08-26,6.670000,6.780000,6.620000,6.710000,5.491381,3700
2010-08-27,6.610000,6.740000,6.520000,6.650000,5.442277,4400
2010-08-30,6.600000,6.600000,6.160000,6.550000,5.360438,7500
2010-08-31,6.250000,6.450000,6.150000,6.300000,5.155842,13000
2010-09-01,6.170000,6.450000,6.170000,6.410000,5.245863,2500
2010-09-02,6.490000,6.800000,6.490000,6.510000,5.327702,2400
2010-09-03,6.830000,7.000000,6.760000,6.840000,5.597771,7800
2010-09-07,6.680000,6.800000,6.520000,6.630000,5.425909,6400
2010-09-08,6.700000,6.750000,6.680000,6.720000,5.499563,1400
2010-09-09,6.760000,6.990000,6.560000,6.560000,5.368622,9900
2010-09-10,6.940000,6.950000,6.660000,6.750000,5.524116,6600
2010-09-13,6.430000,7.170000,6.430000,7.100000,5.810551,500
2010-09-14,7.100000,7.500000,6.900000,7.250000,5.933309,6500
2010-09-15,7.120000,7.250000,7.070000,7.250000,5.933309,1100
2010-09-16,7.250000,7.250000,7.000000,7.250000,5.933309,2100
2010-09-17,7.250000,7.300000,6.960000,7.250000,5.933309,2000
2010-09-20,6.900000,7.250000,6.900000,7.170000,5.867838,2600
2010-09-21,7.070000,7.300000,7.050000,7.250000,5.933309,3800
2010-09-22,6.590000,7.180000,6.590000,7.050000,5.769632,2400
2010-09-23,7.050000,7.070000,6.900000,7.050000,5.769632,4700
2010-09-24,7.190000,7.250000,6.970000,7.250000,5.933309,600
2010-09-27,6.880000,6.900000,6.610000,6.900000,5.646873,6100
2010-09-28,6.960000,6.960000,6.890000,6.890000,5.638690,400
2010-09-29,6.890000,6.890000,6.880000,6.890000,5.638690,500
2010-09-30,7.000000,7.000000,6.620000,6.850000,5.605954,16900
2010-10-01,6.950000,6.970000,6.640000,6.960000,5.695977,1200
2010-10-04,6.750000,7.000000,6.560000,6.560000,5.368622,9500
2010-10-05,6.560000,6.800000,6.560000,6.750000,5.524116,2300
2010-10-06,6.880000,7.000000,6.750000,7.000000,5.728713,5500
2010-10-07,6.760000,7.140000,6.750000,6.990000,5.720529,3600
2010-10-08,7.000000,7.450000,6.610000,7.450000,6.096987,17300
2010-10-11,7.380000,7.380000,7.350000,7.350000,6.015148,28300
2010-10-12,7.280000,7.350000,7.160000,7.350000,6.015148,48800
2010-10-13,7.170000,7.350000,7.150000,7.350000,6.015148,6300
