Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,3.932500,3.942500,3.770000,3.830000,3.631572,115600
2010-06-30,3.825000,3.910000,3.755000,3.817500,3.619720,238800
2010-07-01,3.855000,3.855000,3.700000,3.802500,3.605496,176400
2010-07-02,3.852500,3.852500,3.700000,3.765000,3.569939,453200
2010-07-06,3.837500,3.855000,3.750000,3.782500,3.586533,241600
2010-07-07,3.690000,3.802500,3.565000,3.727500,3.534382,748800
2010-07-08,3.720000,3.720000,3.625000,3.637500,3.449045,86000
2010-07-09,3.637500,3.720000,3.595000,3.625000,3.437192,128000
2010-07-12,3.647500,3.852500,3.647500,3.812500,3.614979,398000
2010-07-13,3.825000,3.850000,3.765000,3.787500,3.591274,413200
2010-07-14,3.787500,3.800000,3.775000,3.775000,3.579421,28800
2010-07-15,3.775000,3.875000,3.755000,3.775000,3.579421,59600
2010-07-16,3.755000,3.785000,3.665000,3.710000,3.517789,39200
2010-07-19,3.750000,3.750000,3.705000,3.705000,3.513048,152400
2010-07-20,3.710000,3.810000,3.710000,3.807500,3.610237,44800
2010-07-21,3.810000,3.865000,3.810000,3.825000,3.626831,92800
2010-07-22,3.867500,3.900000,3.825000,3.900000,3.697945,110400
2010-07-23,3.900000,3.975000,3.825000,3.937500,3.733502,131200
2010-07-26,3.900000,4.015000,3.900000,4.015000,3.806987,142800
2010-07-27,4.007500,4.120000,4.005000,4.100000,3.887583,307200
2010-07-28,4.092500,4.295000,4.065000,4.270000,4.048776,944400
2010-07-29,4.270000,4.400000,4.270000,4.397500,4.169670,483600
2010-07-30,4.375000,4.625000,4.250000,4.625000,4.385384,686800
2010-08-02,4.675000,4.852500,4.585000,4.750000,4.503908,766400
2010-08-03,4.795000,4.925000,4.700000,4.767500,4.520500,299200
2010-08-04,4.825000,4.925000,4.757500,4.792500,4.544206,405200
2010-08-05,4.775000,4.987500,4.775000,4.915000,4.660359,323600
2010-08-06,4.907500,5.337500,4.835000,5.310000,5.034894,548400
2010-08-09,5.532500,5.545000,5.070000,5.237500,4.966151,801200
2010-08-10,5.247500,5.247500,4.800000,4.800000,4.551317,490400
2010-08-11,4.750000,4.810000,4.445000,4.452500,4.221821,403600
