Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,9.483774,9.483774,9.404743,9.404743,7.079200,8604
2010-06-30,9.523290,9.523290,9.523290,9.523290,7.168432,127
2010-07-01,9.452162,9.523290,9.373130,9.483774,7.138688,5188
2010-07-02,9.483774,9.641837,9.096520,9.483774,7.138688,27078
2010-07-06,9.294099,9.641837,9.246680,9.641837,7.257668,18221
2010-07-07,9.641837,9.641837,9.641837,9.641837,7.257668,0
2010-07-08,9.641837,9.641837,9.586515,9.586515,7.216022,759
2010-07-09,9.159745,9.602321,9.159745,9.523290,7.168432,10882
2010-07-12,9.641837,9.641837,9.412646,9.641837,7.257668,2531
2010-07-13,9.641837,10.179251,9.412646,10.179251,7.662189,23915
2010-07-14,10.179251,10.353120,10.060704,10.313605,7.763321,3669
2010-07-15,10.353120,10.566505,10.021188,10.116026,7.614599,7845
2010-07-16,10.036994,10.036994,10.036994,10.036994,7.555110,127
2010-07-19,10.353120,10.361023,10.297798,10.297798,7.751426,633
2010-07-20,10.052801,10.242476,10.052801,10.242476,7.709783,253
2010-07-21,10.242476,10.242476,10.242476,10.242476,7.709783,0
2010-07-22,10.242476,10.242476,10.242476,10.242476,7.709783,0
2010-07-23,9.957963,9.957963,9.799900,9.799900,7.376641,506
2010-07-26,9.799900,9.799900,9.799900,9.799900,7.376641,0
2010-07-27,9.799900,9.855222,9.649740,9.855222,7.418287,2784
2010-07-28,9.886835,9.934254,9.855222,9.855222,7.418287,1392
2010-07-29,9.388937,9.681353,9.167648,9.681353,7.287411,3543
2010-07-30,9.483774,9.720869,9.483774,9.720869,7.317154,759
2010-08-02,9.475871,9.878932,9.254583,9.475871,7.132741,1645
2010-08-03,9.317808,9.483774,9.317808,9.483774,7.138688,759
2010-08-04,9.483774,9.483774,9.483774,9.483774,7.138688,0
2010-08-05,9.167648,9.167648,8.764588,8.938457,6.728213,1518
2010-08-06,9.294099,9.294099,8.732976,8.780394,6.609235,3163
2010-08-09,8.693460,8.693460,8.574913,8.574913,6.454562,253
2010-08-10,8.495881,8.693460,8.464269,8.630235,6.496204,1645
2010-08-11,8.630235,8.669750,8.630235,8.669750,6.525950,886
2010-08-12,8.669750,8.669750,8.669750,8.669750,6.525950,0
2010-08-13,8.314109,8.495881,8.314109,8.495881,6.395074,759
2010-08-16,8.464269,8.495881,8.084918,8.156046,6.139270,9110
2010-08-17,8.061208,8.361528,8.021692,8.361528,6.293943,2151
2010-08-18,8.124433,8.219271,7.784598,7.784598,5.859674,1771
2010-08-19,7.587019,8.061208,7.587019,8.061208,6.067887,3163
