Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,5.650420,5.650420,5.425900,5.425900,2.843842,57296
2010-06-30,5.425900,5.800100,5.051700,5.575580,2.922293,101603
2010-07-01,5.463320,5.500740,5.126540,5.313640,2.785004,74613
2010-07-02,5.313640,5.425900,5.201380,5.313640,2.785004,12106
2010-07-06,5.351060,5.725260,5.051700,5.163960,2.706553,44281
2010-07-07,5.238800,5.650420,5.238800,5.575580,2.922293,38883
2010-07-08,5.687840,5.687840,5.500740,5.613000,2.941905,16889
2010-07-09,5.500740,5.613000,5.313640,5.575580,2.922293,41849
2010-07-12,5.538160,5.538160,5.276220,5.500740,2.883067,11117
2010-07-13,5.500740,5.687840,5.500740,5.575580,2.922293,70016
2010-07-14,5.575580,5.613000,5.351060,5.425900,2.843842,60422
2010-07-15,5.276220,5.575580,5.238800,5.575580,2.922293,13522
2010-07-16,5.463320,5.463320,5.089120,5.089120,2.667328,83912
2010-07-19,5.201380,5.276220,4.789760,4.827180,2.530038,83271
2010-07-20,4.827180,4.827180,4.415560,4.677500,2.451588,62480
2010-07-21,4.677500,4.827180,4.565240,4.565240,2.392750,58926
2010-07-22,4.565240,5.051700,4.565240,4.864600,2.549652,79583
2010-07-23,4.827180,4.864600,4.752340,4.789760,2.510426,19455
2010-07-26,4.677500,4.827180,4.602660,4.714920,2.471201,38856
2010-07-27,4.677500,4.752340,4.602660,4.714920,2.471201,30331
2010-07-28,4.714920,5.238800,4.714920,4.864600,2.549652,56681
2010-07-29,4.939440,4.976860,4.752340,4.864600,2.549652,40112
2010-07-30,4.939440,5.163960,4.789760,5.163960,2.706553,104035
2010-08-02,5.201380,5.388480,5.126540,5.313640,2.785004,64003
2010-08-03,5.238800,5.238800,5.051700,5.201380,2.726165,17103
2010-08-04,5.163960,5.238800,5.163960,5.201380,2.726165,12079
2010-08-05,5.163960,5.163960,4.939440,5.126540,2.686941,19963
2010-08-06,5.014280,5.089120,4.827180,4.939440,2.588877,29156
2010-08-09,4.939440,5.163960,4.789760,5.163960,2.706553,48503
2010-08-10,5.163960,5.163960,4.864600,4.902020,2.569264,11331
2010-08-11,4.827180,4.902020,4.677500,4.714920,2.471201,26189
2010-08-12,4.677500,4.714920,4.565240,4.677500,2.451588,32255
2010-08-13,4.640080,4.677500,4.602660,4.640080,2.431975,9246
2010-08-16,4.714920,4.864600,4.714920,4.789760,2.510426,16275
2010-08-17,4.752340,4.752340,4.640080,4.640080,2.431975,21860
2010-08-18,4.565240,4.640080,4.303300,4.452980,2.333912,79610
2010-08-19,4.452980,4.640080,3.891680,4.116200,2.157398,115019
2010-08-20,4.041360,4.153620,3.854260,3.854260,2.020108,75788
2010-08-23,4.041360,4.116200,3.929100,4.041360,2.118172,22769
2010-08-24,4.041360,4.078780,3.891680,4.041360,2.118172,49920
2010-08-25,3.966520,4.041360,3.816840,3.816840,2.000496,54650
2010-08-26,3.891680,3.929100,3.292960,3.442640,1.804369,118573
2010-08-27,3.442640,3.742000,3.367800,3.667160,1.922045,51817
2010-08-30,3.742000,3.742000,3.480060,3.517480,1.843594,19134
2010-08-31,3.592320,3.592320,3.330380,3.367800,1.765143,58792
2010-09-01,3.367800,3.517480,3.330380,3.367800,1.765143,51336
2010-09-02,3.367800,3.592320,3.255540,3.480060,1.823982,18680
2010-09-03,3.592320,3.667160,3.367800,3.554900,1.863207,61785
2010-09-07,3.629740,3.629740,3.480060,3.554900,1.863207,17103
2010-09-08,3.442640,3.517480,3.442640,3.517480,1.843594,12266
2010-09-09,3.480060,3.480060,3.442640,3.442640,1.804369,16515
2010-09-10,3.517480,3.554900,3.442640,3.554900,1.863207,18386
2010-09-13,3.554900,3.554900,3.367800,3.442640,1.804369,26857
2010-09-14,3.480060,3.704580,3.367800,3.554900,1.863207,23838
2010-09-15,3.554900,3.704580,3.517480,3.517480,1.843594,17718
2010-09-16,3.592320,3.667160,3.367800,3.517480,1.843594,34500
2010-09-17,3.554900,3.966520,3.480060,3.966520,2.078946,94067
2010-09-20,4.116200,4.265880,3.929100,4.116200,2.157398,78087
2010-09-21,4.116200,4.265880,3.966520,4.041360,2.118172,18626
2010-09-22,4.078780,4.228460,3.742000,4.003940,2.098559,31480
2010-09-23,3.891680,4.003940,3.742000,3.779420,1.980883,14885
2010-09-24,3.779420,4.003940,3.742000,3.929100,2.059334,19027
2010-09-27,3.854260,3.854260,3.629740,3.704580,1.941657,80305
2010-09-28,3.704580,4.153620,3.704580,4.116200,2.157398,138642
2010-09-29,4.003940,4.789760,4.003940,4.789760,2.510426,149920
2010-09-30,4.789760,5.425900,4.677500,5.201380,2.726165,175334
2010-10-01,5.201380,5.313640,4.565240,4.789760,2.510426,116007
2010-10-04,5.089120,5.575580,4.864600,4.902020,2.569264,157028
2010-10-05,5.014280,5.613000,4.864600,5.613000,2.941905,274131
2010-10-06,5.538160,5.538160,4.976860,5.126540,2.686941,86718
2010-10-07,5.238800,5.687840,5.163960,5.463320,2.863454,117851
