Date,Open,High,Low,Close,Adj Close,Volume
2011-07-08,11.650000,11.700000,11.430000,11.670000,10.203829,584700
2011-07-11,11.650000,11.740000,11.610000,11.650000,10.186341,129300
2011-07-12,11.650000,11.700000,11.620000,11.700000,10.230062,41600
2011-07-13,11.630000,11.650000,11.550000,11.590000,10.133882,25900
2011-07-14,11.600000,11.600000,11.520000,11.560000,10.107651,28000
2011-07-15,11.520000,11.750000,11.450000,11.650000,10.186341,179500
2011-07-18,11.750000,11.790000,11.650000,11.650000,10.186341,99700
2011-07-19,11.650000,11.740000,11.600000,11.740000,10.265035,61300
2011-07-20,11.750000,11.750000,11.650000,11.660000,10.195086,30400
2011-07-21,11.650000,11.670000,11.570000,11.620000,10.160109,50900
2011-07-22,11.600000,11.600000,11.560000,11.600000,10.142624,27900
2011-07-25,11.560000,11.560000,11.530000,11.560000,10.107651,39500
2011-07-26,11.570000,11.570000,11.500000,11.530000,10.081420,31300
2011-07-27,11.570000,11.570000,11.450000,11.490000,10.046443,36200
2011-07-28,11.410000,11.470000,11.410000,11.450000,10.011470,50300
2011-07-29,11.410000,11.450000,11.410000,11.410000,9.976497,48700
2011-08-01,11.420000,11.450000,11.420000,11.440000,10.002725,39200
2011-08-02,11.410000,11.490000,11.380000,11.380000,9.950264,69500
2011-08-03,11.460000,11.460000,11.330000,11.360000,9.932775,17400
2011-08-04,11.410000,11.410000,11.050000,11.090000,9.696696,73400
2011-08-05,11.000000,11.100000,10.910000,11.000000,9.618006,29900
2011-08-08,10.850000,10.980000,10.750000,10.850000,9.486853,28000
2011-08-09,10.930000,10.950000,10.800000,10.850000,9.486853,45100
2011-08-10,10.800000,10.970000,10.800000,10.960000,9.583031,70900
2011-08-11,10.860000,10.930000,10.860000,10.930000,9.556801,39000
2011-08-12,11.000000,11.100000,10.880000,10.900000,9.530569,38800
2011-08-15,10.900000,11.140000,10.900000,11.100000,9.705441,38700
2011-08-16,11.050000,11.050000,10.790000,10.790000,9.434389,21200
2011-08-17,10.880000,11.020000,10.880000,11.020000,9.635492,27500
2011-08-18,10.900000,10.910000,10.850000,10.900000,9.530569,30500
2011-08-19,10.800000,10.990000,10.700000,10.750000,9.399415,46900
2011-08-22,10.850000,10.990000,10.750000,10.800000,9.443131,18900
2011-08-23,10.930000,10.940000,10.870000,10.900000,9.530569,4000
2011-08-24,10.800000,10.900000,10.800000,10.900000,9.530569,13700
2011-08-25,10.900000,10.900000,10.900000,10.900000,9.530569,0
2011-08-26,10.910000,10.910000,10.860000,10.860000,9.495593,15000
2011-08-29,10.910000,11.020000,10.910000,10.960000,9.583031,34500
2011-08-30,11.000000,11.000000,10.990000,10.990000,9.609263,23200
2011-08-31,10.900000,11.000000,10.860000,11.000000,9.618006,8900
2011-09-01,10.910000,11.030000,10.860000,10.860000,9.495593,9500
