Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,42.480000,42.529999,41.049999,41.369999,30.194902,7171800
2010-06-30,41.279999,42.250000,41.110001,41.279999,30.129219,4533300
2010-07-01,41.209999,41.720001,40.730000,41.570000,30.340885,5913000
2010-07-02,41.700001,41.959999,40.959999,41.130001,30.019741,4395400
2010-07-06,41.619999,42.000000,40.790001,41.209999,30.078129,3337000
2010-07-07,41.209999,42.509998,41.130001,42.490002,31.012371,3431600
2010-07-08,42.779999,43.169998,42.529999,43.040001,31.413797,3688500
2010-07-09,43.080002,43.410000,42.919998,43.330002,31.625460,2491700
2010-07-12,43.279999,43.369999,42.689999,42.860001,31.282415,2795800
2010-07-13,44.209999,44.580002,43.779999,44.180000,32.245846,5383200
2010-07-14,43.939999,44.480000,43.619999,44.150002,32.223965,4071900
2010-07-15,44.040001,44.049999,43.180000,43.970001,32.092564,3489800
2010-07-16,43.580002,43.810001,42.599998,42.700001,31.165632,3130200
2010-07-19,42.849998,43.080002,42.279999,42.849998,31.275118,3712400
2010-07-20,42.209999,42.880001,41.380001,42.750000,31.202116,7394500
2010-07-21,43.090000,43.369999,41.950001,42.060001,30.698517,6070100
2010-07-22,42.939999,42.939999,41.660000,42.189999,30.793390,9462800
2010-07-23,42.299999,43.360001,42.119999,43.310001,31.610857,6339400
2010-07-26,43.509998,43.639999,42.959999,43.520000,31.764130,4302700
2010-07-27,43.849998,44.060001,43.400002,43.580002,31.807934,4697400
2010-07-28,43.560001,43.759998,43.110001,43.340000,31.632759,3136800
2010-07-29,43.680000,43.910000,43.090000,43.330002,31.625460,4201700
2010-07-30,42.919998,43.740002,42.540001,43.500000,31.749535,3664800
2010-08-02,44.270000,44.980000,43.990002,44.770000,32.676491,4041200
2010-08-03,44.689999,45.130001,44.549999,44.959999,32.815163,4377700
2010-08-04,45.290001,45.700001,44.990002,45.540001,33.238480,3698200
2010-08-05,45.330002,45.990002,45.160000,45.639999,33.311478,3301100
2010-08-06,45.200001,45.810001,45.020000,45.610001,33.289566,3821200
2010-08-09,45.730000,45.959999,45.259998,45.700001,33.355267,2346800
2010-08-10,45.209999,45.400002,44.830002,45.220001,33.004913,3904100
2010-08-11,44.439999,44.490002,43.349998,43.599998,31.822531,3885800
2010-08-12,42.830002,43.419998,42.799999,43.189999,31.523268,4140700
2010-08-13,42.959999,43.410000,42.860001,43.020000,31.399199,2455700
2010-08-16,42.689999,42.990002,42.270000,42.630001,31.114548,3813300
2010-08-17,42.860001,44.099998,42.860001,43.570000,31.800627,4340100
2010-08-18,42.889999,43.020000,42.549999,42.619999,31.107246,6070600
2010-08-19,42.470001,42.619999,41.939999,42.040001,30.683928,5082900
2010-08-20,41.779999,42.189999,41.580002,42.099998,30.727705,3473100
2010-08-23,42.369999,42.549999,41.779999,41.840000,30.537943,3470700
2010-08-24,41.369999,41.419998,40.860001,41.220001,30.085423,4866900
2010-08-25,40.930000,41.290001,40.330002,41.139999,30.027037,7023600
2010-08-26,41.400002,41.490002,40.750000,40.770000,29.756969,4266900
2010-08-27,41.119999,41.950001,40.560001,41.849998,30.545259,3749400
2010-08-30,41.650002,41.959999,41.169998,41.169998,30.048927,2438300
2010-08-31,40.939999,41.709999,40.799999,41.259998,30.114622,4565300
2010-09-01,41.930000,42.880001,41.820000,42.779999,31.224020,3418400
2010-09-02,42.970001,44.340000,42.869999,44.259998,32.304241,7148600
2010-09-03,44.759998,45.110001,44.500000,45.000000,32.844353,4251400
2010-09-07,44.860001,45.139999,44.660000,45.000000,32.844353,3421400
2010-09-08,44.919998,45.730000,44.919998,45.279999,33.048706,4263200
2010-09-09,45.630001,45.990002,44.880001,45.160000,32.961140,3077600
2010-09-10,45.200001,45.820000,45.080002,45.730000,33.377155,3084000
2010-09-13,46.099998,46.720001,46.090000,46.590000,34.004837,3693700
2010-09-14,46.580002,47.020000,46.180000,46.770000,34.136230,4216100
2010-09-15,46.930000,47.070000,46.400002,47.070000,34.355198,4234700
2010-09-16,46.900002,47.000000,46.509998,46.880001,34.216515,4145200
2010-09-17,46.900002,47.230000,46.189999,46.240002,33.749397,21470600
2010-09-20,46.490002,47.230000,46.259998,47.090000,34.369785,5613100
2010-09-21,47.119999,47.669998,46.970001,47.250000,34.486568,4126400
2010-09-22,47.090000,47.330002,46.189999,46.529999,33.961063,4205900
2010-09-23,46.189999,46.349998,45.520000,45.590000,33.274982,3007400
2010-09-24,46.520000,47.310001,46.410000,47.080002,34.362495,4243500
2010-09-27,47.240002,47.430000,46.869999,46.939999,34.260315,2904700
2010-09-28,46.669998,47.209999,46.130001,47.080002,34.613209,2550300
2010-09-29,46.939999,47.099998,46.619999,46.810001,34.414700,2939700
2010-09-30,46.980000,47.630001,46.560001,47.020000,34.569096,3379300
2010-10-01,47.230000,47.759998,47.080002,47.259998,34.745518,4603900
2010-10-04,47.220001,47.450001,46.410000,46.799999,34.407345,2567900
2010-10-05,47.389999,48.189999,47.180000,48.099998,35.363106,3276600
2010-10-06,48.090000,48.340000,47.919998,48.299999,35.510147,2543900
2010-10-07,48.599998,48.700001,48.139999,48.290001,35.502804,3393800
2010-10-08,48.240002,48.590000,48.040001,48.430000,35.605717,2223500
2010-10-11,48.520000,48.580002,48.040001,48.290001,35.502804,1390700
2010-10-12,48.130001,48.490002,47.410000,48.270000,35.488091,2398800
2010-10-13,48.419998,49.080002,48.419998,48.759998,35.848328,3759800
2010-10-14,48.770000,49.139999,48.560001,48.990002,36.017448,2871800
2010-10-15,49.410000,49.500000,48.660000,48.959999,35.995373,6595900
2010-10-18,49.040001,49.540001,48.900002,49.180000,36.157124,4380500
2010-10-19,46.250000,47.500000,45.570000,46.480000,34.172073,10465000
2010-10-20,46.450001,47.139999,46.080002,46.560001,34.230873,5693300
2010-10-21,46.820000,47.220001,46.439999,47.040001,34.583782,4030300
2010-10-22,47.119999,47.200001,46.099998,46.689999,34.326477,4823800
2010-10-25,47.049999,47.759998,46.799999,46.939999,34.510265,3199800
2010-10-26,46.610001,46.639999,46.119999,46.150002,33.929470,5117100
2010-10-27,45.750000,46.310001,45.570000,46.250000,34.002983,2958200
2010-10-28,46.520000,46.619999,45.689999,45.919998,33.760368,3064400
2010-10-29,45.740002,46.110001,45.570000,45.680000,33.583916,3139700
2010-11-01,46.060001,46.590000,45.930000,46.230000,33.988274,3528400
