Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,33.009998,33.419998,32.900002,33.080002,29.014135,2159000
2010-06-30,32.990002,33.560001,32.660000,32.669998,28.654533,1206200
2010-07-01,32.709999,33.169998,31.719999,33.040001,28.979053,1928300
2010-07-02,33.180000,33.240002,32.250000,32.709999,28.689617,1543100
2010-07-06,33.009998,33.459999,32.029999,32.279999,28.312464,1868800
2010-07-07,32.290001,33.549999,32.259998,33.500000,29.382500,2252900
2010-07-08,33.560001,34.070000,33.470001,34.029999,29.847366,1198000
2010-07-09,34.110001,34.470001,33.880001,34.310001,30.092964,954500
2010-07-12,34.240002,35.040001,34.160000,34.369999,30.145578,1382700
2010-07-13,34.669998,35.320000,34.650002,35.169998,30.847260,1512700
2010-07-14,35.189999,35.189999,34.500000,35.009998,30.706924,1380900
2010-07-15,35.340000,35.340000,34.180000,34.779999,30.505188,1140900
2010-07-16,34.849998,35.830002,34.639999,35.099998,30.785868,4342600
2010-07-19,35.189999,35.630001,34.840000,35.200001,30.873558,1301100
2010-07-20,34.799999,35.400002,34.330002,35.400002,31.048996,2239700
2010-07-21,35.439999,35.540001,34.320000,34.500000,30.259605,1347200
2010-07-22,34.900002,35.700001,34.869999,35.200001,30.873558,1307600
2010-07-23,35.080002,35.730000,34.889999,35.500000,31.136692,1517600
2010-07-26,35.700001,36.150002,35.500000,36.119999,31.680492,1086300
2010-07-27,36.189999,36.630001,35.660000,35.730000,31.338423,1390300
2010-07-28,35.759998,36.029999,35.330002,35.500000,31.241632,1100400
2010-07-29,35.770000,35.889999,35.080002,35.570000,31.303225,1078800
2010-07-30,35.369999,35.779999,34.930000,35.490002,31.232824,974400
2010-08-02,35.959999,36.349998,35.720001,36.090000,31.760849,1035100
2010-08-03,35.930000,36.209999,34.939999,35.529999,31.268024,1135700
2010-08-04,35.599998,36.480000,35.549999,36.410000,32.042461,1542600
2010-08-05,36.009998,36.340000,35.730000,35.820000,31.523222,1862100
2010-08-06,35.560001,35.619999,34.759998,35.220001,30.995216,2020800
2010-08-09,35.290001,35.750000,35.240002,35.639999,31.364824,962800
2010-08-10,35.259998,35.369999,34.520000,35.029999,30.827999,1480300
2010-08-11,34.500000,34.500000,33.360001,33.619999,29.587135,2132500
2010-08-12,33.270000,33.880001,32.639999,33.680000,29.639944,2341500
2010-08-13,33.490002,33.730000,33.049999,33.080002,29.111904,1598200
2010-08-16,32.980000,33.169998,32.759998,33.060001,29.094305,2039700
2010-08-17,33.919998,34.529999,33.610001,33.970001,29.895147,2130400
2010-08-18,33.840000,34.599998,33.459999,34.119999,30.027163,1121300
2010-08-19,33.990002,34.119999,33.060001,33.660000,29.622335,1451600
2010-08-20,33.480000,33.820000,33.020000,33.730000,29.683947,1400900
2010-08-23,33.980000,34.330002,33.450001,33.529999,29.507931,1182700
2010-08-24,33.209999,33.250000,32.369999,32.680000,28.759892,1300600
2010-08-25,32.430000,32.790001,32.049999,32.660000,28.742289,1357800
2010-08-26,32.750000,33.310001,32.560001,32.639999,28.724684,1430100
2010-08-27,32.810001,33.869999,32.570000,33.619999,29.587135,1843600
2010-08-30,33.410000,33.650002,32.790001,32.790001,28.856695,682300
2010-08-31,32.689999,33.029999,32.209999,32.750000,28.821495,1583300
2010-09-01,33.250000,34.320000,32.939999,34.250000,30.141562,1755000
2010-09-02,34.169998,34.799999,34.099998,34.610001,30.458385,1970700
2010-09-03,35.000000,35.299999,34.410000,34.509998,30.370380,1957800
