Date,Open,High,Low,Close,adjclose,Volume
1986-08-01,0.0,6.125,6.0,6.125,2.289743185043335,845000
1986-08-04,0.0,6.125,5.9375,6.0,2.243011713027954,228000
1986-08-05,0.0,5.9375,5.75,5.9375,2.2196478843688965,125200
1986-08-06,0.0,6.0,5.875,5.875,2.196281909942627,112600
1986-08-07,0.0,6.0,5.875,6.0,2.243011713027954,38200
1986-08-08,0.0,6.0,5.9375,6.0,2.243011713027954,4200
1986-08-11,0.0,6.125,5.9375,5.9375,2.2196478843688965,35200
1986-08-12,0.0,6.125,6.0,6.125,2.289743185043335,15400
1986-08-13,0.0,6.625,6.25,6.5625,2.453294515609741,103800
1986-08-14,0.0,6.8125,6.5,6.5,2.4299309253692627,41400
1986-08-15,0.0,6.75,6.5,6.75,2.5233876705169678,46200
1986-08-18,0.0,6.75,6.625,6.625,2.4766595363616943,35400
1986-08-19,0.0,6.5625,6.5,6.5,2.4299309253692627,35800
1986-08-20,0.0,6.5,6.375,6.375,2.3832013607025146,39600
1986-08-21,0.0,6.75,6.4375,6.6875,2.50002384185791,64800
1986-08-22,0.0,6.6875,6.625,6.6875,2.50002384185791,5000
1986-08-25,0.0,6.5625,6.5625,6.5625,2.453294515609741,1200
1986-08-26,0.0,6.4375,6.1875,6.1875,2.313107490539551,16400
1986-08-27,6.1875,6.1875,6.1875,6.1875,2.313107490539551,0
1986-08-28,0.0,6.5,6.375,6.4375,2.406564950942993,62800
1986-08-29,0.0,6.4375,6.4375,6.4375,2.406564950942993,24800
1986-09-02,0.0,6.4375,6.375,6.375,2.3832013607025146,18000
1986-09-03,0.0,6.4375,6.25,6.25,2.336470603942871,161800
1986-09-04,0.0,6.25,6.25,6.25,2.336470603942871,8400
1986-09-05,0.0,6.25,6.125,6.25,2.336470603942871,22800
1986-09-08,0.0,6.125,6.0625,6.0625,2.26637601852417,14200
1986-09-09,0.0,6.0625,6.0,6.0,2.243011713027954,4400
1986-09-10,0.0,6.0,5.9375,5.9375,2.2196478843688965,64400
1986-09-11,0.0,6.0,5.75,5.8125,2.1729180812835693,21000
1986-09-12,0.0,5.6875,5.1875,5.1875,1.9392712116241455,19600
1986-09-15,0.0,5.3125,5.3125,5.3125,1.9859998226165771,8800
1986-09-16,0.0,5.375,5.25,5.375,2.0093653202056885,2800
1986-09-17,0.0,5.5,5.5,5.5,2.0560948848724365,5000
1986-09-18,0.0,5.75,5.625,5.625,2.102825164794922,8600
1986-09-19,0.0,5.875,5.75,5.875,2.196281909942627,8400
1986-09-22,0.0,6.0,6.0,6.0,2.243011713027954,12200
1986-09-23,0.0,6.375,6.0,6.25,2.336470603942871,17400
1986-09-24,0.0,6.25,6.25,6.25,2.336470603942871,7400
1986-09-25,0.0,6.25,6.0625,6.0625,2.26637601852417,2200
1986-09-26,0.0,6.0625,5.8125,6.0,2.243011713027954,31200
1986-09-29,0.0,5.9375,5.9375,5.9375,2.2196478843688965,800
1986-09-30,0.0,6.125,6.0625,6.125,2.289743185043335,2600
1986-10-01,0.0,6.25,6.25,6.25,2.336470603942871,20800
1986-10-02,0.0,6.25,6.25,6.25,2.336470603942871,8200
1986-10-03,0.0,6.25,6.125,6.125,2.289743185043335,2800
1986-10-06,0.0,6.125,6.125,6.125,2.289743185043335,6800
1986-10-07,0.0,6.125,6.125,6.125,2.289743185043335,8200
1986-10-08,0.0,6.125,6.0625,6.0625,2.26637601852417,2200
1986-10-09,0.0,6.0625,5.75,5.75,2.1495540142059326,73600
1986-10-10,0.0,5.9375,5.8125,5.9375,2.2196478843688965,5800
1986-10-13,0.0,5.875,5.875,5.875,2.196281909942627,400
1986-10-14,0.0,5.9375,5.875,5.9375,2.2196478843688965,1200
1986-10-15,0.0,5.9375,5.9375,5.9375,2.2196478843688965,2200
1986-10-16,0.0,5.9375,5.9375,5.9375,2.2196478843688965,10400
1986-10-17,0.0,6.0,6.0,6.0,2.243011713027954,2000
1986-10-20,0.0,5.875,5.875,5.875,2.196281909942627,1000
1986-10-21,0.0,5.75,5.375,5.4375,2.032729148864746,97000
1986-10-22,0.0,5.4375,5.4375,5.4375,2.032729148864746,1000
1986-10-23,5.4375,5.4375,5.4375,5.4375,2.032729148864746,0
1986-10-24,0.0,5.4375,5.4375,5.4375,2.032729148864746,400
1986-10-27,0.0,5.4375,5.4375,5.4375,2.032729148864746,4000
1986-10-28,0.0,5.5,5.4375,5.4375,2.032729148864746,40800
1986-10-29,0.0,5.5,5.5,5.5,2.0560948848724365,68400
1986-10-30,0.0,5.6875,5.625,5.6875,2.126188278198242,4000
1986-10-31,0.0,5.75,5.75,5.75,2.1495540142059326,1400
1986-11-03,0.0,5.9375,5.875,5.9375,2.2196478843688965,10600
1986-11-04,0.0,6.0,5.9375,5.9375,2.2196478843688965,47600
1986-11-05,0.0,6.125,6.0,6.125,2.289743185043335,22000
1986-11-06,6.125,6.125,6.125,6.125,2.289743185043335,0
1986-11-07,0.0,6.0625,6.0625,6.0625,2.26637601852417,2800
1986-11-10,0.0,6.125,6.0625,6.0625,2.26637601852417,8000
1986-11-11,0.0,6.125,6.0625,6.125,2.289743185043335,2400
1986-11-12,0.0,6.0,5.875,5.875,2.196281909942627,52000
1986-11-13,0.0,5.875,5.875,5.875,2.196281909942627,800
1986-11-14,5.875,5.875,5.875,5.875,2.196281909942627,0
1986-11-17,0.0,5.875,5.875,5.875,2.196281909942627,1400
1986-11-18,0.0,5.75,5.75,5.75,2.1495540142059326,5000
1986-11-19,0.0,5.625,5.5625,5.5625,2.0794589519500732,3000
1986-11-20,0.0,5.375,5.25,5.3125,2.004013776779175,9000
1986-11-21,0.0,5.1875,5.1875,5.1875,1.9568605422973633,3000
1986-11-24,0.0,5.0625,4.8125,4.8125,1.8154003620147705,9600
1986-11-25,0.0,4.75,4.75,4.75,1.791823387145996,4600
1986-11-26,0.0,4.6875,4.5,4.625,1.7446708679199219,16200
1986-11-28,0.0,4.75,4.75,4.75,1.791823387145996,800
1986-12-01,0.0,4.9375,4.75,4.9375,1.8625545501708984,8200
1986-12-02,0.0,5.0,4.8125,4.8125,1.8154003620147705,28800
1986-12-03,0.0,4.8125,4.8125,4.8125,1.8154003620147705,53200
1986-12-04,0.0,5.0,4.9375,5.0,1.8861303329467773,6000
1986-12-05,0.0,5.0,5.0,5.0,1.8861303329467773,3000
1986-12-08,0.0,5.0625,5.0625,5.0625,1.9097070693969727,2000
1986-12-09,0.0,5.25,5.125,5.25,1.9804372787475586,27000
1986-12-10,0.0,6.0,5.375,6.0,2.2633564472198486,54000
1986-12-11,0.0,6.0,5.8125,5.8125,2.192626953125,47800
1986-12-12,0.0,5.875,5.8125,5.8125,2.192626953125,5600
1986-12-15,0.0,5.75,5.4375,5.4375,2.0511670112609863,11000
1986-12-16,0.0,5.5,5.5,5.5,2.074744701385498,1000
1986-12-17,5.5,5.5,5.5,5.5,2.074744701385498,0
1986-12-18,0.0,5.5,5.375,5.4375,2.0511670112609863,1600
1986-12-19,0.0,5.4375,5.4375,5.4375,2.0511670112609863,2400
1986-12-22,0.0,5.5,5.375,5.4375,2.0511670112609863,6400
1986-12-23,0.0,5.5,5.4375,5.5,2.074744701385498,2800
1986-12-24,0.0,5.5,5.375,5.4375,2.0511670112609863,12200
1986-12-26,5.4375,5.4375,5.4375,5.4375,2.0511670112609863,0
1986-12-29,0.0,5.375,5.375,5.375,2.027590751647949,6000
1986-12-30,0.0,5.5,5.375,5.4375,2.0511670112609863,10000
1986-12-31,0.0,5.4375,5.4375,5.4375,2.0511670112609863,1000
1987-01-02,5.4375,5.4375,5.4375,5.4375,2.0511670112609863,0
1987-01-05,0.0,5.375,5.25,5.25,1.9804372787475586,10200
